country,year,crop_item,actual_yield,predicted_yield,pesticide_value,rainfall,avg_temp
Albania,1990,"Rice, paddy",23333,80633.6518095782,121.0,1485.0,16.37
Albania,1991,"Rice, paddy",28538,84338.12508134231,121.0,1485.0,15.36
Albania,1992,"Rice, paddy",40000,81745.20677788144,121.0,1485.0,16.06
Albania,1993,"Rice, paddy",41786,81781.43886007306,121.0,1485.0,16.05
Albania,1990,Sorghum,12500,80633.6518095782,121.0,1485.0,16.37
Albania,1991,Sorghum,6667,84338.12508134231,121.0,1485.0,15.36
Albania,1992,Sorghum,3747,81745.20677788144,121.0,1485.0,16.06
Albania,1990,Soybeans,7000,80633.6518095782,121.0,1485.0,16.37
Albania,1991,Soybeans,6066,84338.12508134231,121.0,1485.0,15.36
Albania,1992,Soybeans,4507,81745.20677788144,121.0,1485.0,16.06
Albania,1993,Soybeans,7998,81781.43886007306,121.0,1485.0,16.05
Albania,1994,Soybeans,7927,78601.69232380472,201.0,1485.0,16.96
Albania,1995,Soybeans,11791,83209.1819164554,251.0,1485.0,15.67
Albania,1996,Soybeans,15480,83336.89414326375,313.96,1485.0,15.64
Albania,1997,Soybeans,12768,82394.10494565844,376.93,1485.0,15.9
Albania,1998,Soybeans,14327,81073.16923247802,439.89,1485.0,16.27
Albania,1999,Soybeans,17143,80029.07118099609,502.86,1485.0,16.57
Albania,2000,Soybeans,15000,79696.85499075033,565.82,1485.0,16.67
Albania,2001,Soybeans,20000,79992.27506869913,628.79,1485.0,16.59
Albania,2002,Soybeans,20000,80429.83267551813,691.75,1485.0,16.47
Albania,2004,Soybeans,13333,81565.82108505785,817.68,1485.0,16.16
Albania,2005,Soybeans,17500,83371.38649451085,880.64,1485.0,15.67
Albania,2006,Soybeans,20000,82467.80302359372,943.61,1485.0,15.92
Albania,2007,Soybeans,20000,79813.0318463191,1006.57,1485.0,16.67
Albania,2008,Soybeans,20000,79690.88214003672,1069.54,1485.0,16.71
Albania,2009,Soybeans,16667,79638.25703242606,1132.5,1485.0,16.73
Albania,2010,Soybeans,16667,80416.58811870062,1311.17,1485.0,16.52
Albania,2011,Soybeans,18519,80660.3992959839,1302.63,1485.0,16.45
Albania,2012,Soybeans,13333,79645.56663856992,766.25,1485.0,16.7
Albania,2013,Soybeans,10000,77300.45648671738,982.32,1485.0,17.41
Albania,1990,Wheat,30197,80633.6518095782,121.0,1485.0,16.37
Albania,1991,Wheat,20698,84338.12508134231,121.0,1485.0,15.36
Albania,1992,Wheat,24388,81745.20677788144,121.0,1485.0,16.06
Albania,1993,Wheat,29976,81781.43886007306,121.0,1485.0,16.05
Albania,1994,Wheat,24745,78601.69232380472,201.0,1485.0,16.96
Albania,1995,Wheat,28703,83209.1819164554,251.0,1485.0,15.67
Albania,1996,Wheat,21741,83336.89414326375,313.96,1485.0,15.64
Albania,1997,Wheat,28516,82394.10494565844,376.93,1485.0,15.9
Albania,1998,Wheat,28037,81073.16923247802,439.89,1485.0,16.27
Albania,1999,Wheat,24954,80029.07118099609,502.86,1485.0,16.57
Albania,2000,Wheat,30455,79696.85499075033,565.82,1485.0,16.67
Albania,2001,Wheat,28220,79992.27506869913,628.79,1485.0,16.59
Albania,2002,Wheat,31617,80429.83267551813,691.75,1485.0,16.47
Albania,2004,Wheat,31130,81565.82108505785,817.68,1485.0,16.16
Albania,2005,Wheat,31582,83371.38649451085,880.64,1485.0,15.67
Albania,2006,Wheat,30787,82467.80302359372,943.61,1485.0,15.92
Albania,2007,Wheat,35496,79813.0318463191,1006.57,1485.0,16.67
Albania,2008,Wheat,40168,79690.88214003672,1069.54,1485.0,16.71
Albania,2009,Wheat,40229,79638.25703242606,1132.5,1485.0,16.73
Albania,2010,Wheat,39905,80416.58811870062,1311.17,1485.0,16.52
Albania,2011,Wheat,42301,80660.3992959839,1302.63,1485.0,16.45
Albania,2012,Wheat,41096,79645.56663856992,766.25,1485.0,16.7
Albania,2013,Wheat,41292,77300.45648671738,982.32,1485.0,17.41
Algeria,1990,Maize,16500,54729.01891086038,1828.92,89.0,17.48
Algeria,1991,Maize,19231,55127.8403047342,2461.8,89.0,16.26
Algeria,1992,Maize,22828,54143.863435551946,1215.47,89.0,16.27
Algeria,1993,Maize,12500,54007.13416677843,1021.89,89.0,17.0
Algeria,1994,Maize,4512,54379.25136215975,1255.02,89.0,17.88
Algeria,1995,Maize,16115,55394.19999494953,2697.09,89.0,17.36
Algeria,1996,Maize,17154,53558.08955771786,479.77,89.0,16.76
Algeria,1997,Maize,21417,53684.05352381288,401.22,89.0,17.84
Algeria,1998,Maize,17222,53468.4355048227,322.84,89.0,17.14
Algeria,1999,Maize,22375,53927.946494418225,654.45,89.0,17.97
Algeria,2000,Maize,36186,53864.56734358825,603.67,89.0,17.9
Algeria,2001,Maize,27175,54028.86720310826,710.11,89.0,18.13
Algeria,2002,Maize,33480,54019.31084121872,816.55,89.0,17.85
Algeria,2004,Maize,31729,56233.28659608224,3747.86,89.0,17.38
Algeria,2005,Maize,33864,56129.505531654315,3662.87,89.0,17.19
Algeria,2006,Maize,65668,56749.4094138107,4110.72,89.0,18.13
Algeria,2007,Maize,85625,57545.956705139644,5390.79,89.0,17.42
Algeria,2008,Maize,44714,62454.45128933733,11556.12,89.0,17.55
Algeria,2009,Maize,30914,56433.26318483812,3867.99,89.0,17.78
Algeria,2010,Maize,25827,54330.156415830264,1295.88,89.0,17.59
Algeria,2011,Maize,23374,64351.710500178524,13861.76,89.0,17.79
Algeria,2012,Maize,25583,67165.37666926709,17379.76,89.0,17.91
Algeria,2013,Maize,33649,66984.28885050095,17278.65,89.0,17.65
Algeria,1990,Potatoes,78936,54729.01891086038,1828.92,89.0,17.48
Algeria,1991,Potatoes,90747,55127.8403047342,2461.8,89.0,16.26
Algeria,1992,Potatoes,107917,54143.863435551946,1215.47,89.0,16.27
Algeria,1993,Potatoes,111215,54007.13416677843,1021.89,89.0,17.0
Algeria,1994,Potatoes,95078,54379.25136215975,1255.02,89.0,17.88
Algeria,1995,Potatoes,136768,55394.19999494953,2697.09,89.0,17.36
Algeria,1996,Potatoes,134629,53558.08955771786,479.77,89.0,16.76
Algeria,1997,Potatoes,141042,53684.05352381288,401.22,89.0,17.84
Algeria,1998,Potatoes,160256,53468.4355048227,322.84,89.0,17.14
Algeria,1999,Potatoes,153532,53927.946494418225,654.45,89.0,17.97
Algeria,2000,Potatoes,166143,53864.56734358825,603.67,89.0,17.9
Algeria,2001,Potatoes,147018,54028.86720310826,710.11,89.0,18.13
Algeria,2002,Potatoes,183774,54019.31084121872,816.55,89.0,17.85
Algeria,2004,Potatoes,203585,56233.28659608224,3747.86,89.0,17.38
Algeria,2005,Potatoes,216267,56129.505531654315,3662.87,89.0,17.19
Algeria,2006,Potatoes,220689,56749.4094138107,4110.72,89.0,18.13
Algeria,2007,Potatoes,189927,57545.956705139644,5390.79,89.0,17.42
Algeria,2008,Potatoes,236393,62454.45128933733,11556.12,89.0,17.55
Algeria,2009,Potatoes,250764,56433.26318483812,3867.99,89.0,17.78
Algeria,2010,Potatoes,270526,54330.156415830264,1295.88,89.0,17.59
Algeria,2011,Potatoes,292806,64351.710500178524,13861.76,89.0,17.79
Algeria,2012,Potatoes,304291,67165.37666926709,17379.76,89.0,17.91
Algeria,2013,Potatoes,303218,66984.28885050095,17278.65,89.0,17.65
Algeria,1990,"Rice, paddy",28000,54729.01891086038,1828.92,89.0,17.48
Algeria,1991,"Rice, paddy",26786,55127.8403047342,2461.8,89.0,16.26
Algeria,1992,"Rice, paddy",24733,54143.863435551946,1215.47,89.0,16.27
Algeria,1993,"Rice, paddy",23111,54007.13416677843,1021.89,89.0,17.0
Algeria,1994,"Rice, paddy",21374,54379.25136215975,1255.02,89.0,17.88
Algeria,1995,"Rice, paddy",19598,55394.19999494953,2697.09,89.0,17.36
Algeria,1996,"Rice, paddy",17861,53558.08955771786,479.77,89.0,16.76
Algeria,1997,"Rice, paddy",15000,53684.05352381288,401.22,89.0,17.84
Algeria,1998,"Rice, paddy",15000,53468.4355048227,322.84,89.0,17.14
Algeria,1999,"Rice, paddy",13942,53927.946494418225,654.45,89.0,17.97
Algeria,2000,"Rice, paddy",13052,53864.56734358825,603.67,89.0,17.9
Algeria,2001,"Rice, paddy",12314,54028.86720310826,710.11,89.0,18.13
Algeria,2002,"Rice, paddy",12959,54019.31084121872,816.55,89.0,17.85
Algeria,2004,"Rice, paddy",12829,56233.28659608224,3747.86,89.0,17.38
Algeria,2005,"Rice, paddy",12998,56129.505531654315,3662.87,89.0,17.19
Algeria,2006,"Rice, paddy",12769,56749.4094138107,4110.72,89.0,18.13
Algeria,2007,"Rice, paddy",13375,57545.956705139644,5390.79,89.0,17.42
Algeria,2008,"Rice, paddy",13952,62454.45128933733,11556.12,89.0,17.55
Algeria,2009,"Rice, paddy",14594,56433.26318483812,3867.99,89.0,17.78
Algeria,2010,"Rice, paddy",15305,54330.156415830264,1295.88,89.0,17.59
Algeria,2011,"Rice, paddy",16081,64351.710500178524,13861.76,89.0,17.79
Algeria,2012,"Rice, paddy",16667,67165.37666926709,17379.76,89.0,17.91
Algeria,2013,"Rice, paddy",17778,66984.28885050095,17278.65,89.0,17.65
Algeria,1990,Sorghum,16571,54729.01891086038,1828.92,89.0,17.48
Algeria,1991,Sorghum,24231,55127.8403047342,2461.8,89.0,16.26
Algeria,1992,Sorghum,40000,54143.863435551946,1215.47,89.0,16.27
Algeria,1993,Sorghum,50000,54007.13416677843,1021.89,89.0,17.0
Algeria,1995,Sorghum,12667,55394.19999494953,2697.09,89.0,17.36
Algeria,1996,Sorghum,14750,53558.08955771786,479.77,89.0,16.76
Algeria,1997,Sorghum,40000,53684.05352381288,401.22,89.0,17.84
Algeria,1998,Sorghum,24500,53468.4355048227,322.84,89.0,17.14
Algeria,1999,Sorghum,27000,53927.946494418225,654.45,89.0,17.97
Algeria,2000,Sorghum,69500,53864.56734358825,603.67,89.0,17.9
Algeria,2001,Sorghum,27750,54028.86720310826,710.11,89.0,18.13
Algeria,2002,Sorghum,33900,54019.31084121872,816.55,89.0,17.85
Algeria,2004,Sorghum,43316,56233.28659608224,3747.86,89.0,17.38
Algeria,2005,Sorghum,33486,56129.505531654315,3662.87,89.0,17.19
Algeria,2006,Sorghum,56728,56749.4094138107,4110.72,89.0,18.13
Algeria,2007,Sorghum,119059,57545.956705139644,5390.79,89.0,17.42
Algeria,2008,Sorghum,61786,62454.45128933733,11556.12,89.0,17.55
Algeria,2009,Sorghum,90465,56433.26318483812,3867.99,89.0,17.78
Algeria,2010,Sorghum,30286,54330.156415830264,1295.88,89.0,17.59
Algeria,2011,Sorghum,100000,64351.710500178524,13861.76,89.0,17.79
Algeria,2012,Sorghum,206000,67165.37666926709,17379.76,89.0,17.91
Algeria,2013,Sorghum,60000,66984.28885050095,17278.65,89.0,17.65
Algeria,1990,Wheat,6315,54729.01891086038,1828.92,89.0,17.48
Algeria,1991,Wheat,10809,55127.8403047342,2461.8,89.0,16.26
Algeria,1992,Wheat,9939,54143.863435551946,1215.47,89.0,16.27
Algeria,1993,Wheat,8097,54007.13416677843,1021.89,89.0,17.0
Algeria,1994,Wheat,7999,54379.25136215975,1255.02,89.0,17.88
Algeria,1995,Wheat,8924,55394.19999494953,2697.09,89.0,17.36
Algeria,1996,Wheat,13090,53558.08955771786,479.77,89.0,16.76
Algeria,1997,Wheat,8016,53684.05352381288,401.22,89.0,17.84
Algeria,1998,Wheat,8847,53468.4355048227,322.84,89.0,17.14
Algeria,1999,Wheat,10711,53927.946494418225,654.45,89.0,17.97
Algeria,2000,Wheat,9194,53864.56734358825,603.67,89.0,17.9
Algeria,2001,Wheat,11104,54028.86720310826,710.11,89.0,18.13
Algeria,2002,Wheat,10739,54019.31084121872,816.55,89.0,17.85
Algeria,2004,Wheat,13582,56233.28659608224,3747.86,89.0,17.38
Algeria,2005,Wheat,15057,56129.505531654315,3662.87,89.0,17.19
Algeria,2006,Wheat,15068,56749.4094138107,4110.72,89.0,18.13
Algeria,2007,Wheat,12742,57545.956705139644,5390.79,89.0,17.42
Algeria,2008,Wheat,11038,62454.45128933733,11556.12,89.0,17.55
Algeria,2009,Wheat,15975,56433.26318483812,3867.99,89.0,17.78
Algeria,2010,Wheat,14838,54330.156415830264,1295.88,89.0,17.59
Algeria,2011,Wheat,17405,64351.710500178524,13861.76,89.0,17.79
Algeria,2012,Wheat,17639,67165.37666926709,17379.76,89.0,17.91
Algeria,2013,Wheat,19100,66984.28885050095,17278.65,89.0,17.65
Angola,1990,Cassava,41177,57542.309556288295,64.0,1010.0,24.12
Angola,1991,Cassava,40295,57604.70780002211,79.0,1010.0,24.02
Angola,1992,Cassava,42295,57611.46402350022,23.0,1010.0,23.96
Angola,1993,Cassava,42295,57577.73765252977,169.0,1010.0,24.15
Angola,1994,Cassava,58596,57567.310482993475,25.5,1010.0,24.04
Angola,1995,Cassava,51000,57461.99213422931,336.0,1010.0,24.56
Angola,1996,Cassava,48077,57535.945497614135,40.0,1010.0,24.11
Angola,1997,Cassava,44205,57563.304111418525,40.0,1010.0,24.06
Angola,1998,Cassava,55728,57160.6099341319,40.0,1010.0,24.96
Angola,1999,Cassava,59821,57403.13786428624,40.0,1010.0,24.37
Angola,2000,Cassava,82992,57384.11393436309,40.0,1010.0,24.41
Angola,2001,Cassava,94072,57374.742770768105,40.0,1010.0,24.43
Angola,2002,Cassava,110071,57222.113181848086,40.0,1010.0,24.79
Angola,2004,Cassava,125605,57477.8216339542,40.0,1010.0,24.22
Angola,2005,Cassava,117628,57384.11393436309,40.0,1010.0,24.41
Angola,2006,Cassava,117201,57519.81193206464,40.0,1010.0,24.14
Angola,2007,Cassava,115387,57467.55872837089,40.0,1010.0,24.24
Angola,2008,Cassava,148084,57452.34037170412,40.0,1010.0,24.27
Angola,2009,Cassava,151759,57422.53726452023,40.0,1010.0,24.33
Angola,2010,Cassava,155782,57370.09238931225,40.0,1010.0,24.44
Angola,2011,Cassava,133649,57514.48101067034,40.0,1010.0,24.15
Angola,2012,Cassava,100073,57467.55872837089,40.0,1010.0,24.24
Angola,2013,Cassava,140517,57320.48700833025,40.0,1010.0,24.55
Angola,1990,Maize,2736,57542.309556288295,64.0,1010.0,24.12
Angola,1991,Maize,4013,57604.70780002211,79.0,1010.0,24.02
Angola,1992,Maize,3778,57611.46402350022,23.0,1010.0,23.96
Angola,1993,Maize,2627,57577.73765252977,169.0,1010.0,24.15
Angola,1994,Maize,2463,57567.310482993475,25.5,1010.0,24.04
Angola,1995,Maize,3517,57461.99213422931,336.0,1010.0,24.56
Angola,1996,Maize,6993,57535.945497614135,40.0,1010.0,24.11
Angola,1997,Maize,5959,57563.304111418525,40.0,1010.0,24.06
Angola,1998,Maize,7396,57160.6099341319,40.0,1010.0,24.96
Angola,1999,Maize,6361,57403.13786428624,40.0,1010.0,24.37
Angola,2000,Maize,5745,57384.11393436309,40.0,1010.0,24.41
Angola,2001,Maize,5754,57374.742770768105,40.0,1010.0,24.43
Angola,2002,Maize,6706,57222.113181848086,40.0,1010.0,24.79
Angola,2004,Maize,5404,57477.8216339542,40.0,1010.0,24.22
Angola,2005,Maize,6736,57384.11393436309,40.0,1010.0,24.41
Angola,2006,Maize,4687,57519.81193206464,40.0,1010.0,24.14
Angola,2007,Maize,5091,57467.55872837089,40.0,1010.0,24.24
Angola,2008,Maize,7946,57452.34037170412,40.0,1010.0,24.27
Angola,2009,Maize,6614,57422.53726452023,40.0,1010.0,24.33
Angola,2010,Maize,7200,57370.09238931225,40.0,1010.0,24.44
Angola,2011,Maize,7376,57514.48101067034,40.0,1010.0,24.15
Angola,2012,Maize,7770,57467.55872837089,40.0,1010.0,24.24
Angola,2013,Maize,9467,57320.48700833025,40.0,1010.0,24.55
Angola,1990,Potatoes,40000,57542.309556288295,64.0,1010.0,24.12
Angola,1991,Potatoes,40000,57604.70780002211,79.0,1010.0,24.02
Angola,1992,Potatoes,40000,57611.46402350022,23.0,1010.0,23.96
Angola,1993,Potatoes,70000,57577.73765252977,169.0,1010.0,24.15
Angola,1994,Potatoes,90000,57567.310482993475,25.5,1010.0,24.04
Angola,1995,Potatoes,76738,57461.99213422931,336.0,1010.0,24.56
Angola,1996,Potatoes,70000,57535.945497614135,40.0,1010.0,24.11
Angola,1997,Potatoes,68571,57563.304111418525,40.0,1010.0,24.06
Angola,1998,Potatoes,62724,57160.6099341319,40.0,1010.0,24.96
Angola,1999,Potatoes,54597,57403.13786428624,40.0,1010.0,24.37
Angola,2000,Potatoes,29885,57384.11393436309,40.0,1010.0,24.41
Angola,2001,Potatoes,42552,57374.742770768105,40.0,1010.0,24.43
Angola,2002,Potatoes,42754,57222.113181848086,40.0,1010.0,24.79
Angola,2004,Potatoes,20150,57477.8216339542,40.0,1010.0,24.22
Angola,2005,Potatoes,23646,57384.11393436309,40.0,1010.0,24.41
Angola,2006,Potatoes,52148,57519.81193206464,40.0,1010.0,24.14
Angola,2007,Potatoes,62138,57467.55872837089,40.0,1010.0,24.24
Angola,2008,Potatoes,85085,57452.34037170412,40.0,1010.0,24.27
Angola,2009,Potatoes,86509,57422.53726452023,40.0,1010.0,24.33
Angola,2010,Potatoes,87425,57370.09238931225,40.0,1010.0,24.44
Angola,2011,Potatoes,81366,57514.48101067034,40.0,1010.0,24.15
Angola,2012,Potatoes,69381,57467.55872837089,40.0,1010.0,24.24
Angola,2013,Potatoes,63303,57320.48700833025,40.0,1010.0,24.55
Angola,1990,"Rice, paddy",9512,57542.309556288295,64.0,1010.0,24.12
Angola,1991,"Rice, paddy",10000,57604.70780002211,79.0,1010.0,24.02
Angola,1992,"Rice, paddy",9106,57611.46402350022,23.0,1010.0,23.96
Angola,1993,"Rice, paddy",8000,57577.73765252977,169.0,1010.0,24.15
Angola,1994,"Rice, paddy",8750,57567.310482993475,25.5,1010.0,24.04
Angola,1995,"Rice, paddy",14615,57461.99213422931,336.0,1010.0,24.56
Angola,1996,"Rice, paddy",17500,57535.945497614135,40.0,1010.0,24.11
Angola,1997,"Rice, paddy",20000,57563.304111418525,40.0,1010.0,24.06
Angola,1998,"Rice, paddy",20000,57160.6099341319,40.0,1010.0,24.96
Angola,1999,"Rice, paddy",14235,57403.13786428624,40.0,1010.0,24.37
Angola,2000,"Rice, paddy",13454,57384.11393436309,40.0,1010.0,24.41
Angola,2001,"Rice, paddy",13701,57374.742770768105,40.0,1010.0,24.43
Angola,2002,"Rice, paddy",13198,57222.113181848086,40.0,1010.0,24.79
Angola,2004,"Rice, paddy",11584,57477.8216339542,40.0,1010.0,24.22
Angola,2005,"Rice, paddy",6977,57384.11393436309,40.0,1010.0,24.41
Angola,2006,"Rice, paddy",4947,57519.81193206464,40.0,1010.0,24.14
Angola,2007,"Rice, paddy",5143,57467.55872837089,40.0,1010.0,24.24
Angola,2008,"Rice, paddy",5084,57452.34037170412,40.0,1010.0,24.27
Angola,2009,"Rice, paddy",6028,57422.53726452023,40.0,1010.0,24.33
Angola,2010,"Rice, paddy",7403,57370.09238931225,40.0,1010.0,24.44
Angola,2011,"Rice, paddy",8914,57514.48101067034,40.0,1010.0,24.15
Angola,2012,"Rice, paddy",7703,57467.55872837089,40.0,1010.0,24.24
Angola,2013,"Rice, paddy",12744,57320.48700833025,40.0,1010.0,24.55
Angola,2000,Sorghum,3333,57384.11393436309,40.0,1010.0,24.41
Angola,2001,Sorghum,3571,57374.742770768105,40.0,1010.0,24.43
Angola,2002,Sorghum,3400,57222.113181848086,40.0,1010.0,24.79
Angola,2004,Sorghum,3333,57477.8216339542,40.0,1010.0,24.22
Angola,2005,Sorghum,3333,57384.11393436309,40.0,1010.0,24.41
Angola,2006,Sorghum,4091,57519.81193206464,40.0,1010.0,24.14
Angola,2007,Sorghum,4031,57467.55872837089,40.0,1010.0,24.24
Angola,2008,Sorghum,929,57452.34037170412,40.0,1010.0,24.27
Angola,2009,Sorghum,2480,57422.53726452023,40.0,1010.0,24.33
Angola,2010,Sorghum,2814,57370.09238931225,40.0,1010.0,24.44
Angola,2011,Sorghum,3320,57514.48101067034,40.0,1010.0,24.15
Angola,2012,Sorghum,998,57467.55872837089,40.0,1010.0,24.24
Angola,2013,Sorghum,2415,57320.48700833025,40.0,1010.0,24.55
Angola,2000,Soybeans,2333,57384.11393436309,40.0,1010.0,24.41
Angola,2001,Soybeans,2500,57374.742770768105,40.0,1010.0,24.43
Angola,2002,Soybeans,2857,57222.113181848086,40.0,1010.0,24.79
Angola,2004,Soybeans,3600,57477.8216339542,40.0,1010.0,24.22
Angola,2005,Soybeans,3793,57384.11393436309,40.0,1010.0,24.41
Angola,2006,Soybeans,4286,57519.81193206464,40.0,1010.0,24.14
Angola,2007,Soybeans,6883,57467.55872837089,40.0,1010.0,24.24
Angola,2008,Soybeans,8575,57452.34037170412,40.0,1010.0,24.27
Angola,2009,Soybeans,4449,57422.53726452023,40.0,1010.0,24.33
Angola,2010,Soybeans,4446,57370.09238931225,40.0,1010.0,24.44
Angola,2011,Soybeans,5294,57514.48101067034,40.0,1010.0,24.15
Angola,2012,Soybeans,1641,57467.55872837089,40.0,1010.0,24.24
Angola,2013,Soybeans,4405,57320.48700833025,40.0,1010.0,24.55
Angola,1990,Sweet potatoes,89342,57542.309556288295,64.0,1010.0,24.12
Angola,1991,Sweet potatoes,83001,57604.70780002211,79.0,1010.0,24.02
Angola,1992,Sweet potatoes,90000,57611.46402350022,23.0,1010.0,23.96
Angola,1993,Sweet potatoes,88095,57577.73765252977,169.0,1010.0,24.15
Angola,1994,Sweet potatoes,83192,57567.310482993475,25.5,1010.0,24.04
Angola,1995,Sweet potatoes,81138,57461.99213422931,336.0,1010.0,24.56
Angola,1996,Sweet potatoes,85455,57535.945497614135,40.0,1010.0,24.11
Angola,1997,Sweet potatoes,78098,57563.304111418525,40.0,1010.0,24.06
Angola,1998,Sweet potatoes,76256,57160.6099341319,40.0,1010.0,24.96
Angola,1999,Sweet potatoes,82865,57403.13786428624,40.0,1010.0,24.37
Angola,2000,Sweet potatoes,34938,57384.11393436309,40.0,1010.0,24.41
Angola,2001,Sweet potatoes,44458,57374.742770768105,40.0,1010.0,24.43
Angola,2002,Sweet potatoes,42190,57222.113181848086,40.0,1010.0,24.79
Angola,2004,Sweet potatoes,45360,57477.8216339542,40.0,1010.0,24.22
Angola,2005,Sweet potatoes,46159,57384.11393436309,40.0,1010.0,24.41
Angola,2006,Sweet potatoes,44240,57519.81193206464,40.0,1010.0,24.14
Angola,2007,Sweet potatoes,58855,57467.55872837089,40.0,1010.0,24.24
Angola,2008,Sweet potatoes,65437,57452.34037170412,40.0,1010.0,24.27
Angola,2009,Sweet potatoes,66475,57422.53726452023,40.0,1010.0,24.33
Angola,2010,Sweet potatoes,63001,57370.09238931225,40.0,1010.0,24.44
Angola,2011,Sweet potatoes,65512,57514.48101067034,40.0,1010.0,24.15
Angola,2012,Sweet potatoes,52954,57467.55872837089,40.0,1010.0,24.24
Angola,2013,Sweet potatoes,73409,57320.48700833025,40.0,1010.0,24.55
Angola,1990,Wheat,7995,57542.309556288295,64.0,1010.0,24.12
Angola,1991,Wheat,8000,57604.70780002211,79.0,1010.0,24.02
Angola,1992,Wheat,8000,57611.46402350022,23.0,1010.0,23.96
Angola,1993,Wheat,8876,57577.73765252977,169.0,1010.0,24.15
Angola,1994,Wheat,10000,57567.310482993475,25.5,1010.0,24.04
Angola,1995,Wheat,11855,57461.99213422931,336.0,1010.0,24.56
Angola,1996,Wheat,13738,57535.945497614135,40.0,1010.0,24.11
Angola,1997,Wheat,15509,57563.304111418525,40.0,1010.0,24.06
Angola,1998,Wheat,17143,57160.6099341319,40.0,1010.0,24.96
Angola,1999,Wheat,17391,57403.13786428624,40.0,1010.0,24.37
Angola,2000,Wheat,17023,57384.11393436309,40.0,1010.0,24.41
Angola,2001,Wheat,16667,57374.742770768105,40.0,1010.0,24.43
Angola,2002,Wheat,15455,57222.113181848086,40.0,1010.0,24.79
Angola,2004,Wheat,12442,57477.8216339542,40.0,1010.0,24.22
Angola,2005,Wheat,10946,57384.11393436309,40.0,1010.0,24.41
Angola,2006,Wheat,10000,57519.81193206464,40.0,1010.0,24.14
Angola,2007,Wheat,10000,57467.55872837089,40.0,1010.0,24.24
Angola,2008,Wheat,10000,57452.34037170412,40.0,1010.0,24.27
Angola,2009,Wheat,10000,57422.53726452023,40.0,1010.0,24.33
