year_month,source,activity_index
2015-01,FISETIO_UK,0.2729
2015-02,FISETIO_UK,0.3084
2015-03,FISETIO_UK,0.4284
2015-04,FISETIO_UK,0.5206
2015-05,FISETIO_UK,0.6357
2015-06,FISETIO_UK,0.7533
2015-07,FISETIO_UK,0.9857
2015-08,FISETIO_UK,0.9009
2015-09,FISETIO_UK,0.6126
2015-10,FISETIO_UK,0.5278
2015-11,FISETIO_UK,0.3344
2015-12,FISETIO_UK,0.2801
2016-01,FISETIO_UK,0.2599
2016-02,FISETIO_UK,0.3406
2016-03,FISETIO_UK,0.4691
2016-04,FISETIO_UK,0.4933
2016-05,FISETIO_UK,0.5976
2016-06,FISETIO_UK,0.7782
2016-07,FISETIO_UK,1.0
2016-08,FISETIO_UK,0.9061
2016-09,FISETIO_UK,0.07
2016-10,FISETIO_UK,0.119
2016-11,FISETIO_UK,0.0627
2016-12,FISETIO_UK,0.0599
2017-01,FISETIO_UK,0.0542
2017-02,FISETIO_UK,0.0924
2017-03,FISETIO_UK,0.0926
2017-04,FISETIO_UK,0.1271
2017-05,FISETIO_UK,0.0856
2017-06,FISETIO_UK,0.0652
2017-07,FISETIO_UK,0.1218
2017-08,FISETIO_UK,0.1318
2017-09,FISETIO_UK,0.0651
2017-10,FISETIO_UK,0.0929
2017-11,FISETIO_UK,0.0507
2017-12,FISETIO_UK,0.0457
2018-01,FISETIO_UK,0.0519
2018-02,FISETIO_UK,0.0888
2018-03,FISETIO_UK,0.0965
2018-04,FISETIO_UK,0.1236
2018-05,FISETIO_UK,0.0857
2018-06,FISETIO_UK,0.0873
