source,sport,name,metric,value,z_score,is_outlier,temporal_context,is_peak_event,is_physique_shift
Olympic,Basketball,Rubn Oscar Wolkowyski,Weight,120.0,2.53,True,,True,False
Olympic,Basketball,Xu Xiaoliang,Weight,126.0,2.94,True,,True,False
Olympic,Basketball,Yao Ming,Weight,141.0,3.96,True,,True,False
Olympic,Basketball,Yao Ming,Weight,141.0,3.96,True,,True,False
Olympic,Basketball,Yao Ming,Weight,141.0,3.96,True,,True,False
Olympic,Basketball,Zheng Haixia,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Zheng Haixia,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Zheng Haixia,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Zheng Haixia,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Eurelijus ukauskas,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Eurelijus ukauskas,Weight,115.0,2.19,True,,True,False
Olympic,Basketball,Eurelijus ukauskas,Weight,115.0,2.19,True,,True,False
Olympic,Judo,Peter Adelaar,Height,213.0,3.9,True,,True,False
Olympic,Judo,Peter Adelaar,Height,213.0,3.9,True,,True,False
Olympic,Judo,Hugo Ricardo Andersen,Height,198.0,2.39,True,,True,False
Olympic,Judo,Jake Andrewartha,Height,196.0,2.19,True,,True,False
Olympic,Judo,Adriana Angeles Lozada,Height,150.0,-2.45,True,,False,True
Olympic,Judo,Vanesa Arenas Comeron,Height,155.0,-1.94,True,,False,True
Olympic,Judo,Galina Atayeva,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Galina Atayeva,Height,155.0,-1.94,True,,False,True
Olympic,Judo,Batjargalyn Odkh,Height,195.0,2.09,True,,True,True
Olympic,Judo,Batjargalyn Odkh,Height,195.0,2.09,True,,True,False
Olympic,Judo,Concepcin Bellorin Naranjo,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Vyacheslav Berduta,Height,193.0,1.89,True,,True,True
Olympic,Judo,Yanet Bermoy Acosta,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Yanet Bermoy Acosta,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Oiana Blanco Echevarra,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Stanislav Valeriyovych Bondarenko,Height,198.0,2.39,True,,True,False
Olympic,Judo,Michaela Bornemann,Height,155.0,-1.94,True,structural_break_1992,False,True
Olympic,Judo,Jean-Claude Brondani,Height,195.0,2.09,True,,True,True
Olympic,Judo,Jean-Claude Brondani,Height,195.0,2.09,True,,True,True
Olympic,Judo,Lyubov Aleksandrovna Bruletova,Height,150.0,-2.45,True,,False,True
Olympic,Judo,Lyubov Aleksandrovna Bruletova,Height,150.0,-2.45,True,,False,False
Olympic,Judo,Marcel Burkhard,Height,155.0,-1.94,True,,False,True
Olympic,Judo,Marcel Burkhard,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Matja Ceraj,Height,198.0,2.39,True,,True,False
Olympic,Judo,Matja Ceraj,Height,198.0,2.39,True,,True,False
Olympic,Judo,Anis Al-Chedli,Height,193.0,1.89,True,,True,False
Olympic,Judo,Imre Attila Cssz,Height,197.0,2.29,True,structural_break_1992,True,True
Olympic,Judo,Imre Attila Cssz,Height,197.0,2.29,True,,True,False
Olympic,Judo,Imre Attila Cssz,Height,197.0,2.29,True,,True,True
Olympic,Judo,Rafael Carlos da Silva,Height,203.0,2.89,True,,True,False
Olympic,Judo,Rafael Carlos da Silva,Height,203.0,2.89,True,,True,False
Olympic,Judo,Tiffany Day,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Laurent del Colombo,Height,193.0,1.89,True,,True,False
Olympic,Judo,Gerhard Dempf,Height,195.0,2.09,True,,True,False
Olympic,Judo,Khumujam Tombi Devi,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Tefilo Antonio Diek Andon,Height,152.0,-2.24,True,,False,False
Olympic,Judo,Mohamed Dione,Height,193.0,1.89,True,,True,True
Olympic,Judo,Irina Yuryevna Dolgova,Height,153.0,-2.14,True,,False,False
Olympic,Judo,David Douillet,Height,196.0,2.19,True,structural_break_1992,True,True
Olympic,Judo,David Douillet,Height,196.0,2.19,True,,True,False
Olympic,Judo,David Douillet,Height,196.0,2.19,True,,True,True
Olympic,Judo,Kelly Marie Edwards,Height,153.0,-2.14,True,,False,False
Olympic,Judo,Catherine Ewa Ekuta,Height,143.0,-3.15,True,,False,False
Olympic,Judo,Islam Amru Abdallah Ahmad El-Shehaby,Height,195.0,2.09,True,,True,False
Olympic,Judo,Islam Amru Abdallah Ahmad El-Shehaby,Height,195.0,2.09,True,,True,False
Olympic,Judo,Islam Amru Abdallah Ahmad El-Shehaby,Height,195.0,2.09,True,,True,False
Olympic,Judo,Islam Amru Abdallah Ahmad El-Shehaby,Height,195.0,2.09,True,,True,False
Olympic,Judo,Julia Figueroa Pea,Height,150.0,-2.45,True,,False,False
Olympic,Judo,Nicole Josiane Ghislaine Flagothier,Height,154.0,-2.04,True,structural_break_1992,False,True
Olympic,Judo,Gao Feng,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Gilberto Garca Pia,Height,151.0,-2.35,True,,False,False
Olympic,Judo,Gilberto Garca Pia,Height,151.0,-2.35,True,structural_break_1992,False,True
Olympic,Judo,Mara Altagarca Garca Caceres,Height,152.0,-2.24,True,,False,False
Olympic,Judo,Mara Altagarca Garca Caceres,Height,152.0,-2.24,True,,False,False
Olympic,Judo,"Antonius Johannes ""Anton"" Geesink",Height,196.0,2.19,True,,True,False
Olympic,Judo,Anna-Maria Gradante,Height,154.0,-2.04,True,,False,True
Olympic,Judo,Soraya Haddad,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Soraya Haddad,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Soraya Haddad,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Joyce Heron,Height,147.0,-2.75,True,,False,False
Olympic,Judo,Ana Cristina Teles Meneses Hormigo,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Radu Ivan,Height,193.0,1.89,True,structural_break_1992,True,True
Olympic,Judo,Radu Ivan,Height,193.0,1.89,True,,True,False
Olympic,Judo,Radu Ivan,Height,193.0,1.89,True,,True,True
Olympic,Judo,Faicel Jaballah,Height,196.0,2.19,True,,True,False
Olympic,Judo,Faicel Jaballah,Height,196.0,2.19,True,,True,False
Olympic,Judo,Barry Kirk Jackman,Height,196.0,2.19,True,,True,False
Olympic,Judo,Petr Jkl,Height,195.0,2.09,True,,True,True
Olympic,Judo,Clemens Jehle,Height,204.0,3.0,True,,True,False
Olympic,Judo,Clemens Jehle,Height,204.0,3.0,True,,True,False
Olympic,Judo,Jeong Bo-Kyeong,Height,153.0,-2.14,True,,False,False
Olympic,Judo,Jeong Jeong-Yeon,Height,155.0,-1.94,True,,False,False
Olympic,Judo,ormur rni Jnsson,Height,196.0,2.19,True,,True,False
Olympic,Judo,ormur rni Jnsson,Height,196.0,2.19,True,,True,False
Olympic,Judo,ormur rni Jnsson,Height,196.0,2.19,True,,True,False
Olympic,Judo,Maarit Katariina Kallio,Height,148.0,-2.65,True,,False,True
Olympic,Judo,Maria Karagiannopoulou,Height,150.0,-2.45,True,structural_break_1992,False,True
Olympic,Judo,Maria Karagiannopoulou,Height,150.0,-2.45,True,,False,False
Olympic,Judo,Kim Gwan-Hyeon,Height,195.0,2.09,True,,True,False
Olympic,Judo,Kim Myong-Gyu,Height,205.0,3.1,True,,True,False
Olympic,Judo,Kim Myong-Gyu,Height,205.0,3.1,True,,True,False
Olympic,Judo,Kim Sol-Mi,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Kim Yeong-Ran,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Vladimr Kocman,Height,197.0,2.29,True,,True,False
Olympic,Judo,Uangi Kokauri,Height,195.0,2.09,True,,True,False
Olympic,Judo,Nicholas Kokotaylo,Height,196.0,2.19,True,,True,False
Olympic,Judo,Nataliya Vladimirovna Kondratyeva,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Sergey Aleksandrovich Kosorotov,Height,194.0,1.99,True,,True,False
Olympic,Judo,Radomir Kovaevi,Height,193.0,1.89,True,,True,False
Olympic,Judo,Radomir Kovaevi,Height,193.0,1.89,True,,True,False
Olympic,Judo,Radomir Kovaevi,Height,193.0,1.89,True,,True,False
Olympic,Judo,Radomir Kovaevi,Height,193.0,1.89,True,,True,False
Olympic,Judo,Antal Kovcs,Height,200.0,2.59,True,structural_break_1992,True,True
Olympic,Judo,Antal Kovcs,Height,200.0,2.59,True,,True,False
Olympic,Judo,Antal Kovcs,Height,200.0,2.59,True,,True,True
Olympic,Judo,Antal Kovcs,Height,200.0,2.59,True,,True,False
Olympic,Judo,Ewa Larysa Krause,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Eric Krieger,Height,196.0,2.19,True,,True,False
Olympic,Judo,Luk Krplek,Height,197.0,2.29,True,,True,False
Olympic,Judo,Luk Krplek,Height,197.0,2.29,True,,True,False
Olympic,Judo,Rafa Andrzej Kubacki,Height,200.0,2.59,True,structural_break_1992,True,True
Olympic,Judo,Rafa Andrzej Kubacki,Height,200.0,2.59,True,,True,False
Olympic,Judo,Rafa Andrzej Kubacki,Height,200.0,2.59,True,,True,True
Olympic,Judo,Aleksandar Kukolj,Height,194.0,1.99,True,,True,False
Olympic,Judo,Lila Latrous,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Lila Latrous,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Marie Christianne Legentil,Height,153.0,-2.14,True,,False,False
Olympic,Judo,Marie Christianne Legentil,Height,153.0,-2.14,True,,False,False
Olympic,Judo,Liu Shenggang,Height,205.0,3.1,True,,True,False
Olympic,Judo,Makhgalyn Bayarjavkhlan,Height,195.0,2.09,True,,True,False
Olympic,Judo,El Mehdi Al-Malki,Height,198.0,2.39,True,,True,False
Olympic,Judo,Elios Manzi,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Claudia Carolina Mariani Ambrueso,Height,153.0,-2.14,True,structural_break_1992,False,True
Olympic,Judo,Claudia Carolina Mariani Ambrueso,Height,153.0,-2.14,True,,False,False
Olympic,Judo,Claudia Carolina Mariani Ambrueso,Height,153.0,-2.14,True,,False,True
Olympic,Judo,"Jeffrey Daniel ""Dan"" McCormick",Height,196.0,2.19,True,,True,False
Olympic,Judo,"Theodorus Johannes ""Theo"" Meijer",Height,194.0,1.99,True,,True,False
Olympic,Judo,"Theodorus Johannes ""Theo"" Meijer",Height,194.0,1.99,True,structural_break_1992,True,True
Olympic,Judo,"Marcus ""Marc"" Meiling",Height,194.0,1.99,True,,True,False
Olympic,Judo,"Marcus ""Marc"" Meiling",Height,194.0,1.99,True,,True,False
Olympic,Judo,Sarah Gabrielle Cabral de Menezes,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Sarah Gabrielle Cabral de Menezes,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Sarah Gabrielle Cabral de Menezes,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Dayaris Rosa Mestre lvarez,Height,150.0,-2.45,True,,False,False
Olympic,Judo,Dayaris Rosa Mestre lvarez,Height,150.0,-2.45,True,,False,False
Olympic,Judo,Aleksandr Vyacheslavovich Mikhaylin,Height,195.0,2.09,True,,True,False
Olympic,Judo,Glenda Cecilia Miranda Alvarado,Height,153.0,-2.14,True,,False,False
Olympic,Judo,Laura Manuela Moise (-Moricz),Height,153.0,-2.14,True,,False,True
Olympic,Judo,Valentina Moscatt,Height,152.0,-2.24,True,,False,False
Olympic,Judo,Tatyana Sergeyevna Moskvina,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Tatyana Sergeyevna Moskvina,Height,154.0,-2.04,True,,False,False
Olympic,Judo,Meriem Moussa,Height,150.0,-2.45,True,,False,False
Olympic,Judo,"Gabriel ""Gabi"" Munteanu",Height,195.0,2.09,True,,True,True
Olympic,Judo,"Gabriel ""Gabi"" Munteanu",Height,195.0,2.09,True,,True,False
Olympic,Judo,Illie Daniel Natea,Height,203.0,2.89,True,,True,False
Olympic,Judo,Chukwuemeka Onyemachi,Height,195.0,2.09,True,,True,False
Olympic,Judo,Konkiswinde Hanatou Ouelogo,Height,151.0,-2.35,True,,False,False
Olympic,Judo,Konkiswinde Hanatou Ouelogo,Height,151.0,-2.35,True,,False,False
Olympic,Judo,Martin Pacek,Height,197.0,2.29,True,,True,False
Olympic,Judo,Martin Padar,Height,194.0,1.99,True,,True,False
Olympic,Judo,Martin Padar,Height,194.0,1.99,True,,True,False
Olympic,Judo,Pak Jong-Gil,Height,213.0,3.9,True,,True,False
Olympic,Judo,Pak Jong-Gil,Height,213.0,3.9,True,,True,False
Olympic,Judo,Pak Ok-Song,Height,155.0,-1.94,True,,False,False
Olympic,Judo,Zoltn Plkovcs,Height,193.0,1.89,True,,True,False
Olympic,Judo,Zoltn Plkovcs,Height,193.0,1.89,True,,True,False
Olympic,Judo,Pan Song,Height,202.0,2.79,True,,True,True
