country_name,domain_rating_zscore,visit_volume_proxy,gdp_per_capita,visa_free_score,trend_cluster
Germany,-0.08224465725642212,538,27600.0,189.0,0
Ghana,0.24945995027203766,5,2200.0,67.0,0
Grand Cayman,0.35249521519715965,2,15000.0,100.0,0
Greece,0.13557886798637644,114,20000.0,187.0,0
Guatemala,-0.015487873821133273,7,4100.0,134.0,0
Honduras,-0.5061319925121905,3,2600.0,132.0,0
Hong Kong,0.1464246853469156,20,28800.0,100.0,0
Hungary,0.2468180204021627,78,13900.0,185.0,0
Iceland,0.157083505856411,29,30900.0,182.0,0
India,0.05165493125338025,2543,2900.0,59.0,0
Indonesia,0.11076026898704273,4842,3200.0,74.0,2
Iran,0.3073043095282465,57,7000.0,42.0,0
Iraq,0.5242206567390296,3,1500.0,30.0,0
Ireland,-0.048704046458182736,226,29600.0,189.0,0
Israel,0.016510655658718267,23,19800.0,168.0,0
Italy,-0.07372980157942426,278,26700.0,189.0,0
Jamaica,-0.1626811094284505,11,3900.0,88.0,0
Japan,0.017421182920340065,246,28200.0,190.0,0
Jordan,0.16269341138772433,38,4300.0,51.0,0
Kazakhstan,0.5242206567390296,3,6300.0,79.0,0
Kenya,-0.03388702827204794,16,1000.0,71.0,0
Kuwait,0.23940772930373302,41,19000.0,100.0,0
Kyrgyzstan,0.8676715398227698,1,1600.0,63.0,0
Laos,-0.7808926989791826,5,1700.0,48.0,0
Latvia,-0.027108392421710967,38,10200.0,183.0,0
Lebanon,0.13557886798637644,38,4800.0,44.0,0
Libya,0.8676715398227698,1,6400.0,38.0,0
Lithuania,0.1807697736552896,48,11400.0,182.0,0
Luxembourg,0.05197569249888708,24,55100.0,188.0,0
Malaysia,-0.13270247447237446,1581,9000.0,181.0,0
Maldives,0.13783841326982213,24,3900.0,93.0,0
Malta,0.22983418552439536,42,17700.0,185.0,0
Mariana Islands,0.3279630092626068,21,15000.0,100.0,0
Marshall Islands,0.8676715398227698,2,1600.0,128.0,0
Mauritius,-0.09620674496062981,31,11400.0,149.0,0
Mexico,0.1567282118394278,100,9000.0,158.0,0
Moldova,0.35249521519715965,6,1800.0,121.0,0
Monaco,-1.708210083305281,2,27000.0,177.0,0
Mongolia,0.29525340134986966,9,1800.0,65.0,0
Montenegro,0.04338942042179357,5,15000.0,128.0,0
Morocco,0.04338942042179358,15,4000.0,73.0,0
Mozambique,-0.6778574340540606,2,1200.0,62.0,0
Myanmar,-0.3098743450357676,14,15000.0,45.0,0
NIGERIA,-0.5490633528976581,8,15000.0,100.0,0
Namibia,0.6100833775099648,4,7200.0,79.0,0
Nepal,0.26940225961238384,31,1400.0,38.0,0
Netherlands,-0.2550410093031233,859,28600.0,188.0,0
New Caledonia,-0.5061319925121907,3,15000.0,100.0,0
New Zealand,-0.009417023671000531,1479,21600.0,187.0,0
Nicaragua,-0.16268110942845043,2,2300.0,127.0,0
Norway,-0.14921244734673514,153,37800.0,188.0,0
Oman,0.1521488667316446,36,13100.0,88.0,0
Pakistan,-0.1959182916623608,31,2100.0,32.0,0
Palestine,0.2788985973935011,7,15000.0,100.0,0
Panama,0.7204783042154527,7,6300.0,148.0,0
Papua New Guinea,0.6616010099725258,5,2200.0,86.0,0
Peru,0.09490705288435461,8,5100.0,143.0,0
Philippines,-0.17743556263968513,419,4600.0,65.0,0
Poland,-0.1898798594863243,644,11100.0,185.0,0
Portugal,-0.10660749586375821,147,18000.0,188.0,0
Puerto Rico,0.30566100386755873,11,16800.0,100.0,0
Qatar,0.0906842961251283,122,21500.0,112.0,0
Republic of North Macedonia,0.21692249819042014,19,15000.0,100.0,0
Romania,0.18076977365528962,195,7000.0,177.0,0
Russia,-0.006930127564893928,86,8900.0,100.0,0
Rwanda,0.09490705288435461,4,1300.0,63.0,0
Saudi Arabia,0.24484643094703215,134,11800.0,91.0,0
Senegal,-0.4202692717412555,4,1600.0,59.0,0
Serbia,0.23360837105278812,39,2200.0,138.0,0
Seychelles,-0.6778574340540606,2,7800.0,156.0,0
Singapore,-0.13478413709389658,2807,23700.0,193.0,0
Slovakia,0.09959047401731469,55,13300.0,183.0,0
Slovenia,-0.0782259742439242,61,19000.0,183.0,0
South Africa,-0.11198121716370787,630,10700.0,103.0,0
South Korea,-0.046350971609764306,124,15000.0,190.0,0
Spain,-0.20403305521779708,299,22000.0,189.0,0
Sri Lanka,0.19794231780947663,100,3700.0,42.0,0
St Martin / St Maarten,0.24945995027203766,5,15000.0,100.0,0
Sudan,0.8676715398227698,1,1900.0,41.0,0
Sweden,-0.26992971232448826,269,26800.0,188.0,0
Switzerland,-0.11892095830195078,259,32700.0,187.0,0
Taiwan,-0.06683435135856951,86,23400.0,100.0,0
Tanzania,-0.27716473712303047,9,600.0,70.0,0
Thailand,-0.21044580177784478,453,7400.0,81.0,0
Tonga,0.8676715398227698,1,2200.0,129.0,0
Trinidad and Tobago,0.6616010099725258,5,15000.0,148.0,0
Tunisia,0.18076977365528965,6,6900.0,67.0,0
Turkey,0.1658371265646922,138,6700.0,100.0,0
Turks and Caicos Islands,-0.1626811094284505,3,15000.0,100.0,0
Uganda,0.35249521519715965,2,1400.0,67.0,0
Ukraine,0.18076977365528965,24,5400.0,147.0,0
United Arab Emirates,-0.008809919842729483,529,23200.0,184.0,0
United Kingdom,0.0063874672041136435,6722,27700.0,186.0,2
United States,0.00303764441214669,6261,37800.0,182.0,2
Uruguay,-1.1930337586796709,2,12800.0,157.0,0
Uzbekistan,0.8676715398227698,1,1700.0,62.0,0
Vanuatu,-0.16268110942845046,3,2900.0,91.0,0
Vietnam,0.02695434748895203,163,2500.0,51.0,0
Yemen,0.35249521519715965,6,800.0,32.0,0
Zambia,-1.1930337586796707,2,800.0,67.0,0
Zimbabwe,0.8676715398227698,1,1900.0,63.0,0
