Area,Year,Item,crop_topic,ASI
Global,2020,Barley,topic_0,0.3604
Global,2020,Barley,topic_0,0.371
Global,2020,Barley,topic_0,0.356
Global,2020,Barley,topic_0,0.3614
Global,2020,Barley,topic_0,0.3711
Global,2020,Barley,topic_0,0.3646
Global,2020,Barley,topic_0,0.3698
Global,2020,Barley,topic_0,0.3446
Global,2020,Barley,topic_0,0.369
Global,2020,Barley,topic_0,0.3711
Global,2020,Barley,topic_0,0.3709
Global,2020,Barley,topic_0,0.3698
Global,2020,Barley,topic_0,0.368
Global,2020,Barley,topic_0,0.3448
Global,2020,Barley,topic_0,0.3425
Global,2020,Barley,topic_0,0.3479
Global,2020,Barley,topic_0,0.3554
Global,2020,Barley,topic_0,0.3637
Global,2020,Barley,topic_0,0.36
Global,2020,Barley,topic_0,0.3698
Global,2020,Barley,topic_0,0.3704
Global,2020,Barley,topic_0,0.3607
Global,2020,Barley,topic_0,0.3658
Global,2020,Barley,topic_0,0.3499
Global,2020,Barley,topic_0,0.342
Global,2020,Barley,topic_0,0.3505
Global,2020,Barley,topic_0,0.365
Global,2020,Barley,topic_0,0.3688
Global,2020,Barley,topic_0,0.3673
Global,2020,Barley,topic_0,0.3448
Global,2020,Barley,topic_0,0.3635
Global,2020,Barley,topic_0,0.3646
Global,2020,Barley,topic_0,0.3667
Global,2020,Barley,topic_0,0.3578
Global,2020,Barley,topic_0,0.3671
Global,2020,Barley,topic_0,0.3686
Global,2020,Barley,topic_0,0.3502
Global,2020,Barley,topic_0,0.3455
Global,2020,Barley,topic_0,0.3536
Global,2020,Barley,topic_0,0.3683
Global,2020,Barley,topic_0,0.369
Global,2020,Barley,topic_0,0.3604
Global,2020,Barley,topic_0,0.3594
Global,2020,Barley,topic_0,0.371
Global,2020,Barley,topic_0,0.3582
Global,2020,Barley,topic_0,0.3609
Global,2020,Barley,topic_0,0.3511
Global,2020,Barley,topic_0,0.3604
Global,2020,Barley,topic_0,0.3486
Global,2020,Barley,topic_0,0.3705
Global,2020,Barley,topic_0,0.3576
Global,2020,Barley,topic_0,0.3528
Global,2020,Barley,topic_0,0.4116
Global,2020,Barley,topic_0,0.344
Global,2020,Barley,topic_0,0.3546
Global,2020,Barley,topic_0,0.346
Global,2020,Barley,topic_0,0.363
Global,2020,Barley,topic_0,0.3527
Global,2020,Barley,topic_0,0.354
Global,2020,Barley,topic_0,0.3687
Global,2020,Barley,topic_0,0.3466
Global,2020,Barley,topic_0,0.3538
Global,2020,Barley,topic_0,0.3587
Global,2020,Barley,topic_0,0.3556
Global,2020,Barley,topic_0,0.3681
Global,2020,Barley,topic_0,0.3695
Global,2020,Barley,topic_0,0.3683
Global,2020,Barley,topic_0,0.3568
Global,2020,Barley,topic_0,0.3563
Global,2020,Barley,topic_0,0.3626
Global,2020,Barley,topic_0,0.366
Global,2020,Barley,topic_0,0.3674
Global,2020,Barley,topic_0,0.3577
Global,2020,Barley,topic_0,0.357
Global,2020,Barley,topic_0,0.3575
Global,2020,Barley,topic_0,0.352
Global,2020,Barley,topic_0,0.3649
Global,2020,Barley,topic_0,0.3632
Global,2020,Barley,topic_0,0.3682
Global,2020,Barley,topic_0,0.3531
Global,2020,Barley,topic_0,0.3594
Global,2020,Barley,topic_0,0.3606
Global,2020,Barley,topic_0,0.37
Global,2020,Barley,topic_0,0.3515
Global,2020,Barley,topic_0,0.3585
Global,2020,Barley,topic_0,0.3667
Global,2020,Barley,topic_0,0.3646
Global,2020,Barley,topic_0,0.3487
Global,2020,Barley,topic_0,0.3649
Global,2020,Barley,topic_0,0.3557
Global,2020,Barley,topic_0,0.3603
Global,2020,Barley,topic_0,0.3572
Global,2020,Barley,topic_0,0.3375
Global,2020,Barley,topic_0,0.361
Global,2020,Barley,topic_0,0.3577
Global,2020,Barley,topic_0,0.3578
Global,2020,Barley,topic_0,0.4011
Global,2020,Barley,topic_0,0.3431
Global,2020,Barley,topic_0,0.3516
Global,2020,Barley,topic_0,0.3702
Global,2020,Barley,topic_0,0.3657
Global,2020,Barley,topic_0,0.3586
Global,2020,Barley,topic_0,0.3686
Global,2020,Barley,topic_0,0.371
Global,2020,Barley,topic_0,0.3641
Global,2020,Barley,topic_0,0.3466
Global,2020,Barley,topic_0,0.3797
Global,2020,Barley,topic_0,0.3643
Global,2020,Barley,topic_0,0.3334
Global,2020,Barley,topic_0,0.3686
Global,2020,Barley,topic_0,0.355
Global,2020,Barley,topic_0,0.6469
Global,2020,Barley,topic_0,0.4806
Global,2020,Barley,topic_0,0.4758
Global,2020,Barley,topic_0,0.473
Global,2020,Barley,topic_0,0.4775
Global,2020,Barley,topic_0,0.4663
Global,2020,Barley,topic_0,0.4791
Global,2020,Barley,topic_0,0.49
Global,2020,Barley,topic_0,0.4913
Global,2020,Barley,topic_0,0.4918
Global,2020,Barley,topic_0,0.4926
Global,2020,Barley,topic_0,0.4931
Global,2020,Barley,topic_0,0.4819
Global,2020,Barley,topic_0,0.5208
Global,2020,Barley,topic_0,0.4978
Global,2020,Barley,topic_0,0.5132
Global,2020,Barley,topic_0,0.4739
Global,2020,Barley,topic_0,0.481
Global,2020,Barley,topic_0,0.4893
Global,2020,Barley,topic_0,0.4917
Global,2020,Barley,topic_0,0.4837
Global,2020,Barley,topic_0,0.4746
Global,2020,Barley,topic_0,0.4904
Global,2020,Barley,topic_0,0.5205
Global,2020,Barley,topic_0,0.5282
Global,2020,Barley,topic_0,0.4264
Global,2020,Barley,topic_0,0.5216
Global,2020,Barley,topic_0,0.5258
Global,2020,Barley,topic_0,0.6038
Global,2020,Barley,topic_0,0.5138
Global,2020,Barley,topic_0,0.5118
Global,2020,Barley,topic_0,0.4365
Global,2020,Barley,topic_0,0.5091
Global,2020,Barley,topic_0,0.5236
Global,2020,Barley,topic_0,0.4331
Global,2020,Barley,topic_0,0.514
Global,2020,Barley,topic_0,0.5035
Global,2020,Barley,topic_0,0.5261
Global,2020,Barley,topic_0,0.5136
Global,2020,Barley,topic_0,0.5157
Global,2020,Barley,topic_0,0.5202
Global,2020,Barley,topic_0,0.5142
Global,2020,Barley,topic_0,0.5194
Global,2020,Barley,topic_0,0.5179
Global,2020,Barley,topic_0,0.518
Global,2020,Barley,topic_0,0.5275
Global,2020,Barley,topic_0,0.4365
Global,2020,Barley,topic_0,0.5222
Global,2020,Barley,topic_0,0.5277
Global,2020,Barley,topic_0,0.524
Global,2020,Barley,topic_0,0.6139
Global,2020,Barley,topic_0,0.5624
Global,2020,Barley,topic_0,0.5266
Global,2020,Barley,topic_0,0.5216
Global,2020,Barley,topic_0,0.5285
Global,2020,Barley,topic_0,0.495
Global,2020,Barley,topic_0,0.5251
Global,2020,Barley,topic_0,0.5202
Global,2020,Barley,topic_0,0.5248
Global,2020,Barley,topic_0,0.5204
Global,2020,Barley,topic_0,0.523
Global,2020,Barley,topic_0,0.5203
Global,2020,Barley,topic_0,0.5087
Global,2020,Barley,topic_0,0.5283
Global,2020,Barley,topic_0,0.5174
Global,2020,Barley,topic_0,0.5121
Global,2020,Barley,topic_0,0.522
Global,2020,Barley,topic_0,0.5162
Global,2020,Barley,topic_0,0.5299
Global,2020,Barley,topic_0,0.5458
Global,2020,Barley,topic_0,0.4577
Global,2020,Barley,topic_0,0.5616
Global,2020,Barley,topic_0,0.5076
Global,2020,Barley,topic_0,0.4332
Global,2020,Barley,topic_0,0.5248
Global,2020,Barley,topic_0,0.5283
Global,2020,Barley,topic_0,0.4306
Global,2020,Barley,topic_0,0.5252
Global,2020,Barley,topic_0,0.4344
Global,2020,Barley,topic_0,0.42
Global,2020,Barley,topic_0,0.5229
Global,2020,Barley,topic_0,0.5267
Global,2020,Barley,topic_0,0.5223
Global,2020,Barley,topic_0,0.5128
Global,2020,Barley,topic_0,0.4322
Global,2020,Barley,topic_0,0.5284
Global,2020,Barley,topic_0,0.4305
Global,2020,Barley,topic_0,0.4322
Global,2020,Barley,topic_0,0.523
Global,2020,Barley,topic_0,0.528
Global,2020,Barley,topic_0,0.5282
Global,2020,Barley,topic_0,0.4906
Global,2020,Barley,topic_0,0.5196
Global,2020,Barley,topic_0,0.6032
Global,2020,Barley,topic_0,0.5189
Global,2020,Barley,topic_0,0.5102
Global,2020,Barley,topic_0,0.5169
Global,2020,Barley,topic_0,0.4439
Global,2020,Barley,topic_0,0.4983
Global,2020,Barley,topic_0,0.4325
Global,2020,Barley,topic_0,0.425
Global,2020,Barley,topic_0,0.6158
Global,2020,Barley,topic_0,0.5077
Global,2020,Barley,topic_0,0.5172
Global,2020,Barley,topic_0,0.437
Global,2020,Barley,topic_0,0.6076
Global,2020,Barley,topic_0,0.6111
Global,2020,Barley,topic_0,0.5244
Global,2020,Barley,topic_0,0.5268
Global,2020,Barley,topic_0,0.5263
Global,2020,Barley,topic_0,0.4246
Global,2020,Barley,topic_0,0.6157
Global,2020,Barley,topic_0,0.4315
Global,2020,Barley,topic_0,0.5236
Global,2020,Barley,topic_0,0.5252
Global,2020,Barley,topic_0,0.528
Global,2020,Barley,topic_0,0.5189
Global,2020,Barley,topic_0,0.5238
Global,2020,Barley,topic_0,0.5184
Global,2020,Barley,topic_0,0.5281
Global,2020,Barley,topic_0,0.4288
Global,2020,Barley,topic_0,0.4334
Global,2020,Barley,topic_0,0.4365
Global,2020,Barley,topic_0,0.4247
Global,2020,Barley,topic_0,0.4281
Global,2020,Barley,topic_0,0.5114
Global,2020,Barley,topic_0,0.5221
Global,2020,Barley,topic_0,0.4282
Global,2020,Barley,topic_0,0.5237
Global,2020,Barley,topic_0,0.5262
Global,2020,Barley,topic_0,0.5096
Global,2020,Barley,topic_0,0.5209
Global,2020,Barley,topic_0,0.4275
Global,2020,Barley,topic_0,0.4215
Global,2020,Barley,topic_0,0.4301
Global,2020,Barley,topic_0,0.5169
Global,2020,Barley,topic_0,0.5938
Global,2020,Barley,topic_0,0.4284
Global,2020,Barley,topic_0,0.4254
Global,2020,Barley,topic_0,0.602
Global,2020,Barley,topic_0,0.4914
Global,2020,Barley,topic_0,0.5273
Global,2020,Barley,topic_0,0.433
Global,2020,Barley,topic_0,0.4301
Global,2020,Barley,topic_0,0.4182
Global,2020,Barley,topic_0,0.5272
Global,2020,Barley,topic_0,0.514
Global,2020,Barley,topic_0,0.4343
Global,2020,Barley,topic_0,0.4279
Global,2020,Barley,topic_0,0.6034
Global,2020,Barley,topic_0,0.5123
Global,2020,Barley,topic_0,0.5287
Global,2020,Barley,topic_0,0.4337
Global,2020,Barley,topic_0,0.4358
Global,2020,Barley,topic_0,0.515
Global,2020,Barley,topic_0,0.515
Global,2020,Barley,topic_0,0.5247
Global,2020,Barley,topic_0,0.5041
Global,2020,Barley,topic_0,0.5276
Global,2020,Barley,topic_0,0.5268
Global,2020,Barley,topic_0,0.5282
Global,2020,Barley,topic_0,0.5098
Global,2020,Barley,topic_0,0.5245
Global,2020,Barley,topic_0,0.4363
Global,2020,Barley,topic_0,0.4356
Global,2020,Barley,topic_0,0.4367
Global,2020,Barley,topic_0,0.4369
Global,2020,Barley,topic_0,0.5106
Global,2020,Barley,topic_0,0.5072
Global,2020,Barley,topic_0,0.4308
Global,2020,Barley,topic_0,0.5198
Global,2020,Barley,topic_0,0.5269
Global,2020,Barley,topic_0,0.5235
Global,2020,Barley,topic_0,0.522
Global,2020,Barley,topic_0,0.4188
Global,2020,Barley,topic_0,0.4311
Global,2020,Barley,topic_0,0.4343
Global,2020,Barley,topic_0,0.4252
Global,2020,Barley,topic_0,0.4886
Global,2020,Barley,topic_0,0.5283
Global,2020,Barley,topic_0,0.3974
Global,2020,Barley,topic_0,0.3984
Global,2020,Barley,topic_0,0.4602
Global,2020,Barley,topic_0,0.3929
Global,2020,Barley,topic_0,0.3938
Global,2020,Barley,topic_0,0.4005
Global,2020,Barley,topic_0,0.481
Global,2020,Barley,topic_0,0.4931
Global,2020,Barley,topic_0,0.5093
Global,2020,Barley,topic_0,0.5097
Global,2020,Barley,topic_0,0.3919
Global,2020,Barley,topic_0,0.3956
Global,2020,Barley,topic_0,0.5134
Global,2020,Barley,topic_0,0.4855
Global,2020,Barley,topic_0,0.4844
Global,2020,Barley,topic_0,0.4012
Global,2020,Barley,topic_0,0.3887
Global,2020,Barley,topic_0,0.494
Global,2020,Barley,topic_0,0.3987
Global,2020,Barley,topic_0,0.3868
Global,2020,Barley,topic_0,0.4936
Global,2020,Barley,topic_0,0.4006
Global,2020,Barley,topic_0,0.4922
Global,2020,Barley,topic_0,0.4862
Global,2020,Barley,topic_0,0.3912
Global,2020,Barley,topic_0,0.3708
Global,2020,Barley,topic_0,0.3929
Global,2020,Barley,topic_0,0.4887
Global,2020,Barley,topic_0,0.4931
Global,2020,Barley,topic_0,0.3974
Global,2020,Barley,topic_0,0.3993
Global,2020,Barley,topic_0,0.4824
Global,2020,Barley,topic_0,0.4913
Global,2020,Barley,topic_0,0.4929
Global,2020,Barley,topic_0,0.4725
Global,2020,Barley,topic_0,0.4933
Global,2020,Barley,topic_0,0.4849
Global,2020,Barley,topic_0,0.3944
Global,2020,Barley,topic_0,0.4752
Global,2020,Barley,topic_0,0.4828
Global,2020,Barley,topic_0,0.4921
Global,2020,Barley,topic_0,0.4871
Global,2020,Barley,topic_0,0.4606
Global,2020,Barley,topic_0,0.484
Global,2020,Barley,topic_0,0.4841
Global,2020,Barley,topic_0,0.3772
Global,2020,Barley,topic_0,0.4882
Global,2020,Barley,topic_0,0.4017
Global,2020,Barley,topic_0,0.489
Global,2020,Barley,topic_0,0.4781
Global,2020,Barley,topic_0,0.4785
Global,2020,Barley,topic_0,0.4744
Global,2020,Barley,topic_0,0.4012
Global,2020,Barley,topic_0,0.475
Global,2020,Barley,topic_0,0.4738
Global,2020,Barley,topic_0,0.4935
Global,2020,Barley,topic_0,0.4878
Global,2020,Barley,topic_0,0.4742
Global,2020,Barley,topic_0,0.4942
Global,2020,Barley,topic_0,0.4825
Global,2020,Barley,topic_0,0.4894
Global,2020,Barley,topic_0,0.4865
Global,2020,Barley,topic_0,0.481
Global,2020,Barley,topic_0,0.4805
Global,2020,Barley,topic_0,0.4833
Global,2020,Barley,topic_0,0.4934
Global,2020,Barley,topic_0,0.4918
Global,2020,Barley,topic_0,0.4789
Global,2020,Barley,topic_0,0.4008
Global,2020,Barley,topic_0,0.4014
Global,2020,Barley,topic_0,0.4943
Global,2020,Barley,topic_0,0.4829
Global,2020,Barley,topic_0,0.4929
Global,2020,Barley,topic_0,0.4935
Global,2020,Barley,topic_0,0.4832
Global,2020,Barley,topic_0,0.4813
Global,2020,Barley,topic_0,0.4925
Global,2020,Barley,topic_0,0.4845
Global,2020,Barley,topic_0,0.4944
Global,2020,Barley,topic_0,0.4776
Global,2020,Barley,topic_0,0.4783
Global,2020,Barley,topic_0,0.4819
Global,2020,Barley,topic_0,0.4937
Global,2020,Barley,topic_0,0.4811
Global,2020,Barley,topic_0,0.4755
Global,2020,Barley,topic_0,0.4899
Global,2020,Barley,topic_0,0.4844
Global,2020,Barley,topic_0,0.4819
Global,2020,Barley,topic_0,0.4839
Global,2020,Barley,topic_0,0.472
Global,2020,Barley,topic_0,0.4816
Global,2020,Barley,topic_0,0.4761
Global,2020,Barley,topic_0,0.4921
Global,2020,Barley,topic_0,0.4897
Global,2020,Barley,topic_0,0.4762
Global,2020,Barley,topic_0,0.4814
Global,2020,Barley,topic_0,0.4936
Global,2020,Barley,topic_0,0.4819
Global,2020,Barley,topic_0,0.4812
Global,2020,Barley,topic_0,0.494
Global,2020,Barley,topic_0,0.4811
Global,2020,Barley,topic_0,0.4816
Global,2020,Barley,topic_0,0.4849
Global,2020,Barley,topic_0,0.4795
Global,2020,Barley,topic_0,0.4792
Global,2020,Barley,topic_0,0.4785
Global,2020,Barley,topic_0,0.4792
Global,2020,Barley,topic_0,0.4771
Global,2020,Barley,topic_0,0.4678
Global,2020,Barley,topic_0,0.4748
Global,2020,Barley,topic_0,0.5145
Global,2020,Barley,topic_0,0.5118
Global,2020,Barley,topic_0,0.5103
Global,2020,Barley,topic_0,0.5126
Global,2020,Barley,topic_0,0.5104
Global,2020,Barley,topic_0,0.5144
Global,2020,Bean,topic_1,0.5618
Global,2020,Bean,topic_1,0.5587
Global,2020,Bean,topic_1,0.4445
Global,2020,Bean,topic_1,0.5116
Global,2020,Bean,topic_1,0.4423
Global,2020,Bean,topic_1,0.5587
Global,2020,Bean,topic_1,0.4926
Global,2020,Bean,topic_1,0.4237
Global,2020,Bean,topic_1,0.4363
Global,2020,Bean,topic_1,0.4165
Global,2020,Bean,topic_1,0.4246
Global,2020,Bean,topic_1,0.4662
Global,2020,Bean,topic_1,0.5264
Global,2020,Bean,topic_1,0.5243
Global,2020,Bean,topic_1,0.4164
Global,2020,Bean,topic_1,0.4265
Global,2020,Bean,topic_1,0.515
Global,2020,Bean,topic_1,0.6123
Global,2020,Bean,topic_1,0.4238
Global,2020,Bean,topic_1,0.4367
Global,2020,Bean,topic_1,0.4327
Global,2020,Bean,topic_1,0.437
Global,2020,Bean,topic_1,0.4309
Global,2020,Bean,topic_1,0.4352
Global,2020,Bean,topic_1,0.4365
Global,2020,Bean,topic_1,0.5207
Global,2020,Bean,topic_1,0.5277
Global,2020,Bean,topic_1,0.4354
Global,2020,Bean,topic_1,0.4355
Global,2020,Bean,topic_1,0.489
Global,2020,Bean,topic_1,0.5277
Global,2020,Bean,topic_1,0.4224
Global,2020,Bean,topic_1,0.5216
Global,2020,Bean,topic_1,0.4311
Global,2020,Bean,topic_1,0.4298
Global,2020,Bean,topic_1,0.4151
Global,2020,Bean,topic_1,0.4357
Global,2020,Bean,topic_1,0.5263
Global,2020,Bean,topic_1,0.4204
Global,2020,Bean,topic_1,0.4309
Global,2020,Bean,topic_1,0.4279
Global,2020,Bean,topic_1,0.4328
Global,2020,Bean,topic_1,0.4212
Global,2020,Bean,topic_1,0.4365
Global,2020,Bean,topic_1,0.4067
Global,2020,Bean,topic_1,0.4052
Global,2020,Bean,topic_1,0.4341
Global,2020,Bean,topic_1,0.4312
Global,2020,Bean,topic_1,0.4311
Global,2020,Bean,topic_1,0.6048
Global,2020,Bean,topic_1,0.4313
Global,2020,Bean,topic_1,0.5389
Global,2020,Bean,topic_1,0.3933
Global,2020,Bean,topic_1,0.3967
Global,2020,Bean,topic_1,0.3962
Global,2020,Bean,topic_1,0.3906
Global,2020,Bean,topic_1,0.5173
Global,2020,Bean,topic_1,0.4018
Global,2020,Bean,topic_1,0.3929
Global,2020,Bean,topic_1,0.3976
Global,2020,Bean,topic_1,0.4014
Global,2020,Bean,topic_1,0.4939
Global,2020,Bean,topic_1,0.4233
Global,2020,Bean,topic_1,0.4017
Global,2020,Bean,topic_1,0.4373
Global,2020,Bean,topic_1,0.4933
Global,2020,Bean,topic_1,0.4924
Global,2020,Bean,topic_1,0.3964
Global,2020,Bean,topic_1,0.3986
Global,2020,Bean,topic_1,0.4836
Global,2020,Bean,topic_1,0.4784
Global,2020,Bean,topic_1,0.4009
Global,2020,Bean,topic_1,0.4009
Global,2020,Bean,topic_1,0.4841
Global,2020,Bean,topic_1,0.5172
Global,2020,Bean,topic_1,0.4794
Global,2020,Bean,topic_1,0.4925
Global,2020,Bean,topic_1,0.4893
Global,2020,Bean,topic_1,0.4009
Global,2020,Bean,topic_1,0.4937
Global,2020,Bean,topic_1,0.491
Global,2020,Bean,topic_1,0.4914
Global,2020,Bean,topic_1,0.4944
Global,2020,Bean,topic_1,0.483
Global,2020,Bean,topic_1,0.493
Global,2020,Bean,topic_1,0.4944
Global,2020,Bean,topic_1,0.4907
Global,2020,Bean,topic_1,0.4936
Global,2020,Bean,topic_1,0.4855
Global,2020,Bean,topic_1,0.4931
Global,2020,Bean,topic_1,0.4915
Global,2020,Bean,topic_1,0.4597
Global,2020,Bean,topic_1,0.4937
Global,2020,Bean,topic_1,0.4776
Global,2020,Bean,topic_1,0.5145
Global,2020,Bean,topic_1,0.5121
Global,2020,Bean,topic_1,0.3724
Global,2020,Bean,topic_1,0.3976
Global,2020,Bean,topic_1,0.4008
Global,2020,Bean,topic_1,0.4887
Global,2020,Bean,topic_1,0.456
Global,2020,Bean,topic_1,0.3844
Global,2020,Bean,topic_1,0.51
Global,2020,Bean,topic_1,0.4285
Global,2020,Bean,topic_1,0.4361
Global,2020,Bean,topic_1,0.463
Global,2020,Bean,topic_1,0.4608
Global,2020,Bean,topic_1,0.565
Global,2020,Bean,topic_1,0.518
Global,2020,Bean,topic_1,0.4253
Global,2020,Bean,topic_1,0.5227
Global,2020,Bean,topic_1,0.4923
Global,2020,Bean,topic_1,0.4796
Global,2020,Bean,topic_1,0.6092
Global,2020,Bean,topic_1,0.5235
Global,2020,Bean,topic_1,0.5247
Global,2020,Bean,topic_1,0.5252
Global,2020,Bean,topic_1,0.5099
Global,2020,Bean,topic_1,0.5187
Global,2020,Bean,topic_1,0.4629
Global,2020,Bean,topic_1,0.5262
Global,2020,Bean,topic_1,0.613
Global,2020,Bean,topic_1,0.5109
Global,2020,Bean,topic_1,0.5131
Global,2020,Bean,topic_1,0.4416
Global,2020,Bean,topic_1,0.3847
Global,2020,Bean,topic_1,0.5259
Global,2020,Bean,topic_1,0.4349
Global,2020,Bean,topic_1,0.5204
Global,2020,Bean,topic_1,0.5272
Global,2020,Bean,topic_1,0.5164
Global,2020,Bean,topic_1,0.5003
Global,2020,Bean,topic_1,0.5167
Global,2020,Bean,topic_1,0.4746
Global,2020,Bean,topic_1,0.4721
Global,2020,Bean,topic_1,0.5521
Global,2020,Bean,topic_1,0.5558
Global,2020,Bean,topic_1,0.4501
Global,2020,Bean,topic_1,0.4496
Global,2020,Bean,topic_1,0.5203
Global,2020,Bean,topic_1,0.4364
Global,2020,Bean,topic_1,0.5123
Global,2020,Bean,topic_1,0.4216
Global,2020,Bean,topic_1,0.4324
Global,2020,Bean,topic_1,0.6088
Global,2020,Bean,topic_1,0.5199
Global,2020,Bean,topic_1,0.5267
Global,2020,Bean,topic_1,0.5187
Global,2020,Bean,topic_1,0.5284
Global,2020,Bean,topic_1,0.5046
Global,2020,Bean,topic_1,0.5091
Global,2020,Bean,topic_1,0.4156
Global,2020,Bean,topic_1,0.5327
Global,2020,Bean,topic_1,0.5086
Global,2020,Bean,topic_1,0.4727
Global,2020,Bean,topic_1,0.4755
Global,2020,Bean,topic_1,0.3988
Global,2020,Bean,topic_1,0.4762
Global,2020,Bean,topic_1,0.4842
Global,2020,Bean,topic_1,0.4002
Global,2020,Bean,topic_1,0.4424
Global,2020,Bean,topic_1,0.5648
Global,2020,Bean,topic_1,0.4628
Global,2020,Bean,topic_1,0.5648
Global,2020,Bean,topic_1,0.5635
Global,2020,Bean,topic_1,0.4465
Global,2020,Bean,topic_1,0.6031
Global,2020,Bean,topic_1,0.4563
Global,2020,Bean,topic_1,0.4738
Global,2020,Bean,topic_1,0.435
Global,2020,Bean,topic_1,0.4369
Global,2020,Bean,topic_1,0.4295
Global,2020,Bean,topic_1,0.5242
Global,2020,Bean,topic_1,0.4213
Global,2020,Bean,topic_1,0.5251
Global,2020,Bean,topic_1,0.4058
Global,2020,Bean,topic_1,0.4262
Global,2020,Bean,topic_1,0.426
Global,2020,Bean,topic_1,0.4177
Global,2020,Bean,topic_1,0.4257
Global,2020,Bean,topic_1,0.3572
Global,2020,Bean,topic_1,0.3581
Global,2020,Bean,topic_1,0.3705
Global,2020,Bean,topic_1,0.3614
Global,2020,Bean,topic_1,0.371
Global,2020,Bean,topic_1,0.3656
Global,2020,Bean,topic_1,0.3649
Global,2020,Bean,topic_1,0.3456
Global,2020,Bean,topic_1,0.3692
Global,2020,Bean,topic_1,0.3563
Global,2020,Bean,topic_1,0.3707
Global,2020,Bean,topic_1,0.3553
Global,2020,Bean,topic_1,0.3548
Global,2020,Bean,topic_1,0.3573
Global,2020,Bean,topic_1,0.3706
Global,2020,Bean,topic_1,0.3588
Global,2020,Bean,topic_1,0.3575
Global,2020,Bean,topic_1,0.3482
