feature_name,diff_ratio
crt_amt_sum_16_30_1625_50008165_30d_filled,0.0077
crt_amt_sum_16_30_1625_50008165_90d_filled,0.0085
crt_amt_sum_16_30_1625_50008165_180d_filled,0.0091
crt_amt_sum_16_30_1625_50008165_365d_filled,0.0091
pay_amt_sum_16_30_1625_50008165_30d_filled,0.0075
pay_amt_sum_16_30_1625_50008165_90d_filled,0.0083
pay_amt_sum_16_30_1625_50008165_180d_filled,0.0089
pay_amt_sum_16_30_1625_50008165_365d_filled,0.0087
itm_cnt_crt_amt_16_30_1625_50008165_30d_filled,0.0073
itm_cnt_crt_amt_16_30_1625_50008165_180d_filled,0.0087
itm_cnt_crt_amt_16_30_1625_50008165_365d_filled,0.0087
pay_ord_cnt_sum_16_30_1625_50008165_30d_filled,0.0071
pay_ord_cnt_sum_16_30_1625_50008165_90d_filled,0.008
pay_ord_cnt_sum_16_30_1625_50008165_180d_filled,0.0087
pay_ord_cnt_sum_16_30_1625_50008165_365d_filled,0.0083
itm_cnt_crt_amt_16_30_1625_50008165_90d_filled,0.0081
itm_cnt_pay_amt_16_30_1625_50008165_30d_filled,0.0072
itm_cnt_pay_amt_16_30_1625_50008165_90d_filled,0.0079
itm_cnt_pay_amt_16_30_1625_50008165_180d_filled,0.0085
itm_cnt_pay_amt_16_30_1625_50008165_365d_filled,0.0082
ds_cnt_pay_amt_16_30_1625_50008165_30d_filled,0.0069
ds_cnt_pay_amt_16_30_1625_50008165_90d_filled,0.0077
ds_cnt_pay_amt_16_30_1625_50008165_180d_filled,0.0083
ds_cnt_pay_amt_16_30_1625_50008165_365d_filled,0.0079
crt_ord_cnt_sum_50008164_27_124050001_30d_filled,0.0023
crt_amt_sum_50008164_27_124050001_30d_filled,0.0023
pay_ord_cnt_sum_50008164_27_124050001_30d_filled,0.0023
itm_cnt_crt_amt_50008164_27_124050001_30d_filled,0.0023
pay_amt_sum_50008164_27_124050001_30d_filled,0.0023
itm_cnt_pay_amt_50008164_27_124050001_30d_filled,0.0023
ds_cnt_pay_amt_50008164_27_124050001_30d_filled,0.0022
crt_ord_cnt_sum_50023878_30d_filled,0.0037
crt_amt_sum_50023878_30d_filled,0.0038
pay_ord_cnt_sum_50023878_30d_filled,0.0036
itm_cnt_crt_amt_50023878_30d_filled,0.0037
pay_amt_sum_50023878_30d_filled,0.0037
itm_cnt_pay_amt_50023878_30d_filled,0.0036
ds_cnt_pay_amt_50023878_30d_filled,0.0035
crt_ord_cnt_sum_1801_50010788_30d_filled,0.0043
crt_amt_sum_1801_50010788_30d_filled,0.0047
pay_ord_cnt_sum_1801_50010788_30d_filled,0.0041
pay_amt_sum_1801_50010788_30d_filled,0.0045
itm_cnt_pay_amt_1801_50010788_30d_filled,0.0041
ds_cnt_pay_amt_1801_50010788_30d_filled,0.0039
itm_cnt_crt_amt_1801_50010788_30d_filled,0.0043
crt_ord_cnt_sum_50008165_25_50014812_122650005_30d_filled,0.0036
crt_amt_sum_50008165_25_50014812_122650005_30d_filled,0.0039
pay_ord_cnt_sum_50008165_25_50014812_122650005_30d_filled,0.0035
itm_cnt_crt_amt_50008165_25_50014812_122650005_30d_filled,0.0037
pay_amt_sum_50008165_25_50014812_122650005_30d_filled,0.0038
itm_cnt_pay_amt_50008165_25_50014812_122650005_30d_filled,0.0035
ds_cnt_pay_amt_50008165_25_50014812_122650005_30d_filled,0.0035
crt_ord_cnt_sum_26_201162107_30d_filled,0.0028
crt_amt_sum_26_201162107_30d_filled,0.0031
pay_ord_cnt_sum_26_201162107_30d_filled,0.0029
itm_cnt_crt_amt_26_201162107_30d_filled,0.0029
pay_amt_sum_26_201162107_30d_filled,0.0031
itm_cnt_pay_amt_26_201162107_30d_filled,0.0029
ds_cnt_pay_amt_26_201162107_30d_filled,0.0028
crt_ord_cnt_sum_50011397_30d_filled,0.0008
crt_amt_sum_50011397_30d_filled,0.0008
pay_ord_cnt_sum_50011397_30d_filled,0.0008
itm_cnt_crt_amt_50011397_30d_filled,0.0008
pay_amt_sum_50011397_30d_filled,0.0008
itm_cnt_pay_amt_50011397_30d_filled,0.0008
ds_cnt_pay_amt_50011397_30d_filled,0.0008
itm_cnt_pay_amt_50011397_90d_filled,0.0008
ds_cnt_pay_amt_50011397_90d_filled,0.0008
ds_cnt_pay_amt_50011397_180d_filled,0.0009
ds_cnt_pay_amt_50011397_365d_filled,0.0009
itm_cnt_pay_amt_50011397_180d_filled,0.0009
itm_cnt_pay_amt_50011397_365d_filled,0.0009
pay_amt_sum_50011397_90d_filled,0.0008
pay_amt_sum_50011397_180d_filled,0.0009
pay_amt_sum_50011397_365d_filled,0.0009
itm_cnt_crt_amt_50011397_180d_filled,0.0009
itm_cnt_crt_amt_50011397_365d_filled,0.0009
pay_ord_cnt_sum_50011397_90d_filled,0.0008
pay_ord_cnt_sum_50011397_180d_filled,0.0009
pay_ord_cnt_sum_50011397_365d_filled,0.0009
crt_amt_sum_50011397_90d_filled,0.0008
crt_amt_sum_50011397_180d_filled,0.0009
crt_amt_sum_50011397_365d_filled,0.0009
crt_ord_cnt_sum_50011397_90d_filled,0.0008
crt_ord_cnt_sum_50011397_180d_filled,0.0009
crt_ord_cnt_sum_50011397_365d_filled,0.0009
ds_cnt_pay_amt_26_201162107_90d_filled,0.0026
ds_cnt_pay_amt_26_201162107_180d_filled,0.0031
ds_cnt_pay_amt_26_201162107_365d_filled,0.0033
itm_cnt_pay_amt_26_201162107_90d_filled,0.0026
itm_cnt_pay_amt_26_201162107_180d_filled,0.0031
itm_cnt_pay_amt_26_201162107_365d_filled,0.0034
pay_amt_sum_26_201162107_90d_filled,0.0029
pay_amt_sum_26_201162107_180d_filled,0.0033
pay_amt_sum_26_201162107_365d_filled,0.0035
itm_cnt_crt_amt_26_201162107_90d_filled,0.0026
itm_cnt_crt_amt_26_201162107_180d_filled,0.0031
itm_cnt_crt_amt_26_201162107_365d_filled,0.0035
pay_ord_cnt_sum_26_201162107_90d_filled,0.0026
pay_ord_cnt_sum_26_201162107_180d_filled,0.0032
pay_ord_cnt_sum_26_201162107_365d_filled,0.0034
crt_amt_sum_26_201162107_90d_filled,0.0029
crt_amt_sum_26_201162107_180d_filled,0.0033
crt_amt_sum_26_201162107_365d_filled,0.0037
crt_ord_cnt_sum_26_201162107_90d_filled,0.0026
crt_ord_cnt_sum_26_201162107_180d_filled,0.0032
crt_ord_cnt_sum_26_201162107_365d_filled,0.0036
ds_cnt_pay_amt_50008165_25_50014812_122650005_90d_filled,0.0041
ds_cnt_pay_amt_50008165_25_50014812_122650005_180d_filled,0.0043
ds_cnt_pay_amt_50008165_25_50014812_122650005_365d_filled,0.005
itm_cnt_pay_amt_50008165_25_50014812_122650005_90d_filled,0.0041
itm_cnt_pay_amt_50008165_25_50014812_122650005_180d_filled,0.0043
itm_cnt_pay_amt_50008165_25_50014812_122650005_365d_filled,0.0054
pay_amt_sum_50008165_25_50014812_122650005_90d_filled,0.0043
pay_amt_sum_50008165_25_50014812_122650005_180d_filled,0.0045
pay_amt_sum_50008165_25_50014812_122650005_365d_filled,0.0055
itm_cnt_crt_amt_50008165_25_50014812_122650005_90d_filled,0.0041
itm_cnt_crt_amt_50008165_25_50014812_122650005_180d_filled,0.0045
itm_cnt_crt_amt_50008165_25_50014812_122650005_365d_filled,0.0054
pay_ord_cnt_sum_50008165_25_50014812_122650005_90d_filled,0.0042
pay_ord_cnt_sum_50008165_25_50014812_122650005_180d_filled,0.0043
pay_ord_cnt_sum_50008165_25_50014812_122650005_365d_filled,0.0053
crt_amt_sum_50008165_25_50014812_122650005_90d_filled,0.0043
crt_amt_sum_50008165_25_50014812_122650005_180d_filled,0.0046
crt_amt_sum_50008165_25_50014812_122650005_365d_filled,0.0057
crt_ord_cnt_sum_50008165_25_50014812_122650005_90d_filled,0.0042
crt_ord_cnt_sum_50008165_25_50014812_122650005_180d_filled,0.0045
crt_ord_cnt_sum_50008165_25_50014812_122650005_365d_filled,0.0054
itm_cnt_crt_amt_1801_50010788_90d_filled,0.0044
itm_cnt_crt_amt_1801_50010788_180d_filled,0.0042
itm_cnt_crt_amt_1801_50010788_365d_filled,0.0045
ds_cnt_pay_amt_1801_50010788_90d_filled,0.0044
ds_cnt_pay_amt_1801_50010788_180d_filled,0.004
ds_cnt_pay_amt_1801_50010788_365d_filled,0.0045
itm_cnt_pay_amt_1801_50010788_180d_filled,0.0041
itm_cnt_pay_amt_1801_50010788_365d_filled,0.0045
pay_amt_sum_1801_50010788_90d_filled,0.0047
pay_amt_sum_1801_50010788_180d_filled,0.0045
pay_amt_sum_1801_50010788_365d_filled,0.0049
pay_ord_cnt_sum_1801_50010788_90d_filled,0.0044
pay_ord_cnt_sum_1801_50010788_180d_filled,0.0043
pay_ord_cnt_sum_1801_50010788_365d_filled,0.0047
crt_amt_sum_1801_50010788_90d_filled,0.0049
crt_amt_sum_1801_50010788_180d_filled,0.0047
crt_amt_sum_1801_50010788_365d_filled,0.0051
crt_ord_cnt_sum_1801_50010788_90d_filled,0.0047
crt_ord_cnt_sum_1801_50010788_180d_filled,0.0044
crt_ord_cnt_sum_1801_50010788_365d_filled,0.0048
ds_cnt_pay_amt_50023878_90d_filled,0.0029
ds_cnt_pay_amt_50023878_180d_filled,0.0028
ds_cnt_pay_amt_50023878_365d_filled,0.003
itm_cnt_pay_amt_50023878_365d_filled,0.0031
pay_amt_sum_50023878_90d_filled,0.0031
pay_amt_sum_50023878_180d_filled,0.0031
pay_amt_sum_50023878_365d_filled,0.0033
itm_cnt_crt_amt_50023878_90d_filled,0.003
itm_cnt_crt_amt_50023878_180d_filled,0.0028
itm_cnt_crt_amt_50023878_365d_filled,0.003
pay_ord_cnt_sum_50023878_90d_filled,0.0028
pay_ord_cnt_sum_50023878_180d_filled,0.0027
pay_ord_cnt_sum_50023878_365d_filled,0.003
crt_amt_sum_50023878_90d_filled,0.0033
crt_amt_sum_50023878_180d_filled,0.0031
crt_amt_sum_50023878_365d_filled,0.0032
crt_ord_cnt_sum_50023878_90d_filled,0.003
crt_ord_cnt_sum_50023878_180d_filled,0.0027
crt_ord_cnt_sum_50023878_365d_filled,0.0031
ds_cnt_pay_amt_50008164_27_124050001_90d_filled,0.0022
ds_cnt_pay_amt_50008164_27_124050001_180d_filled,0.0024
ds_cnt_pay_amt_50008164_27_124050001_365d_filled,0.0021
itm_cnt_pay_amt_50008164_27_124050001_90d_filled,0.0022
itm_cnt_pay_amt_50008164_27_124050001_180d_filled,0.0025
itm_cnt_pay_amt_50008164_27_124050001_365d_filled,0.0022
pay_amt_sum_50008164_27_124050001_90d_filled,0.0023
pay_amt_sum_50008164_27_124050001_180d_filled,0.0025
pay_amt_sum_50008164_27_124050001_365d_filled,0.0024
itm_cnt_crt_amt_50008164_27_124050001_90d_filled,0.0023
itm_cnt_crt_amt_50008164_27_124050001_180d_filled,0.0027
itm_cnt_crt_amt_50008164_27_124050001_365d_filled,0.0024
pay_ord_cnt_sum_50008164_27_124050001_90d_filled,0.0022
pay_ord_cnt_sum_50008164_27_124050001_180d_filled,0.0024
pay_ord_cnt_sum_50008164_27_124050001_365d_filled,0.0022
crt_amt_sum_50008164_27_124050001_90d_filled,0.0024
crt_amt_sum_50008164_27_124050001_180d_filled,0.0027
itm_cnt_pay_amt_1801_50010788_90d_filled,0.0042
itm_cnt_pay_amt_50023878_90d_filled,0.0028
itm_cnt_pay_amt_50023878_180d_filled,0.0027
crt_amt_sum_50008164_27_124050001_365d_filled,0.0026
crt_ord_cnt_sum_50008164_27_124050001_90d_filled,0.0023
crt_ord_cnt_sum_50008164_27_124050001_180d_filled,0.0025
crt_ord_cnt_sum_50008164_27_124050001_365d_filled,0.0024
itm_cnt_crt_amt_50011397_90d_filled,0.0008
group_seller_is_serious_qizha_cnt_filled,0.0013
group_huangniu_blacklist_ratio_filled,0.0015
group_jiaohuchufa_ratio_filled,0.0023
group_seller_is_eyi_cnt_filled,0.0015
group_seller_is_serious_qizha_ratio_filled,0.0022
group_zhanghubeidao_cnt_filled,0.0015
group_slr_blacklst_quality_ratio_filled,0.0
group_qizha_cnt_filled,0.0015
group_seller_punish_qizha_or_shuan_cnt_filled,0.0015
group_jinxianshou_cnt_filled,0.0015
std_recharge_member_cnt_filled,0.0001
std_active_member_cnt_filled,0.0
avg_risk_score_filled,0.0307
std_cz_member_cnt_filled,0.0
group_jinxianshou_ratio_filled,0.0015
group_huangniu_blacklist_cnt_filled,0.0015
group_slr_blacklst_evil_cnt_filled,0.0013
std_bind_member_cnt_filled,0.0
group_seller_is_dongjie_or_jianguan_cnt_filled,0.0015
group_lajizhuce_cnt_filled,0.0016
std_jh_member_cnt_filled,0.0001
std_punished_member_cnt_filled,0.0028
group_seller_punish_liezhi_ratio_filled,0.0026
std_qz_member_cnt_filled,0.0004
group_zhanghubeidao_ratio_filled,0.0015
group_seller_punish_liezhi_cnt_filled,0.0015
c_mobile_cnt_td_filled,0.0001
group_is_dongjie_or_jianguan_cnt_filled,0.0015
group_seller_punish_jiahuo_ratio_filled,0.0029
std_second_verify_member_cnt_filled,0.0
group_is_dongjie_or_jianguan_ratio_filled,0.0015
c_punish_score_filled,0.0192
ced_value_member_cnt_filled,0.0169
group_renzheng_cnt_filled,0.0016
std_rubbish_open_member_cnt_filled,0.0
std_wj_member_cnt_filled,0.0001
ced_mem_cnt_td_filled,0.0
group_eyixingwei_ratio_filled,0.0038
group_qizha_ratio_filled,0.0015
group_seller_is_eyi_ratio_filled,0.0026
ced_punish_member_cnt_filled,0.0094
c_rfm_model_score_filled,0.0312
group_jiahuo_ratio_filled,0.0016
group_seller_risk_liezhi_cnt_filled,0.0013
group_seller_punish_jinxianshou_cnt_filled,0.0015
std_rubbish_member_cnt_filled,0.0001
group_punish_qizha_or_shuan_cnt_filled,0.0015
group_slr_blacklst_quality_cnt_filled,0.0
std_member_cnt_filled,0.0015
std_seller_refund_member_cnt_filled,0.0
group_yingxiaofanzuobi_cnt_filled,0.0015
ced_punish_score_filled,0.0196
group_seller_is_dongjie_or_jianguan_ratio_filled,0.0022
group_seller_punish_jinxianshou_ratio_filled,0.0022
group_slr_blacklst_fraud_ratio_filled,0.0
c_punish_member_cnt_filled,0.011
group_jiaohuchufa_cnt_filled,0.0015
ced_mem_cnt_filled,0.0002
ced_mem_high_value_cnt_filled,0.0003
group_yingxiaofanzuobi_ratio_filled,0.0015
group_slr_blacklst_fraud_cnt_filled,0.0101
group_fraud_all_cnt_filled,0.0015
group_xinxixielou_ratio_filled,0.0013
group_seller_punish_jiahuo_cnt_filled,0.0015
group_xinxixielou_cnt_filled,0.0013
c_mem_cnt_td_filled,0.0001
std_seller_verify_member_cnt_filled,0.0
std_zscq_member_cnt_filled,0.0
group_seller_risk_liezhi_ratio_filled,0.0022
group_fraud_all_ratio_filled,0.0022
std_event_cnt_filled,0.012
std_freeze_member_cnt_filled,0.0003
ced_rfm_model_score_filled,0.0315
group_eyixingwei_cnt_filled,0.0026
c_value_member_cnt_filled,0.0188
group_slr_blacklst_evil_ratio_filled,0.0022
std_sender_member_cnt_filled,0.0003
std_ey_member_cnt_filled,0.0013
std_receiver_member_cnt_filled,0.0008
mkt_sms_cnt_60d_filled,0.024
loan_mkt_sms_cnt_90d_filled,0.0051
trip_sms_cnt_90d_filled,0.0057
sms_cnt_360d_filled,0.0303
sms_success_cnt_60d_filled,0.0292
loan_mkt_sms_cnt_360d_filled,0.0051
sys_sms_cnt_30d_filled,0.0292
sys_sms_cnt_360d_filled,0.0291
loan_mkt_sms_cnt_180d_filled,0.0046
mkt_sms_cnt_360d_filled,0.0254
loan_sms_cnt_360d_filled,0.0133
trip_sms_cnt_30d_filled,0.0038
sys_sms_cnt_60d_filled,0.0292
mkt_sms_cnt_90d_filled,0.0242
sms_cnt_60d_filled,0.0303
loan_sms_cnt_90d_filled,0.0128
express_sms_cnt_60d_filled,0.0185
loan_mkt_sms_cnt_60d_filled,0.0036
sms_cnt_180d_filled,0.0299
express_sms_cnt_30d_filled,0.0185
sys_sms_cnt_180d_filled,0.0292
sys_sms_cnt_90d_filled,0.029
loan_sys_sms_cnt_60d_filled,0.0115
trip_sms_cnt_360d_filled,0.0044
express_sms_cnt_360d_filled,0.0219
trip_sms_cnt_180d_filled,0.0048
loan_sms_cnt_30d_filled,0.0118
loan_sms_cnt_60d_filled,0.0133
mkt_sms_cnt_30d_filled,0.0234
sms_success_cnt_180d_filled,0.029
sms_cnt_30d_filled,0.0302
loan_sys_sms_cnt_180d_filled,0.0098
loan_sys_sms_cnt_360d_filled,0.0106
sms_success_cnt_30d_filled,0.0291
express_sms_cnt_180d_filled,0.0202
mkt_sms_cnt_180d_filled,0.0244
express_sms_cnt_90d_filled,0.0203
sms_cnt_90d_filled,0.0302
loan_mkt_sms_cnt_30d_filled,0.0044
sms_success_cnt_360d_filled,0.0302
trip_sms_cnt_60d_filled,0.004
loan_sms_cnt_180d_filled,0.0125
loan_sys_sms_cnt_90d_filled,0.0102
loan_sys_sms_cnt_30d_filled,0.0094
sms_success_cnt_90d_filled,0.0292
f1_filled,0.0302
f2_filled,0.0174
f3_filled,0.0088
f4_filled,0.0153
f5_filled,0.0002
f6_filled,0.0002
f7_filled,0.0014
f8_filled,0.0006
f9_filled,0.0002
f10_filled,0.0043
f11_filled,0.0004
f12_filled,0.0023
f13_filled,0.0003
f14_filled,0.0001
f15_filled,0.0028
f16_filled,0.0248
f17_filled,0.0
f18_filled,0.0028
f19_filled,0.0066
f20_filled,0.0068
f23_filled,0.008
f24_filled,0.0038
f25_filled,0.0056
f26_filled,0.0001
f27_filled,0.0001
f28_filled,0.0245
f29_filled,0.0
f30_filled,0.0167
f31_filled,0.0002
f32_filled,0.0002
f33_filled,0.0005
f34_filled,0.0002
f35_filled,0.0042
f36_filled,0.0021
f37_filled,0.0302
f38_filled,0.0194
f39_filled,0.0101
f40_filled,0.0164
f41_filled,0.0002
f42_filled,0.0002
f43_filled,0.0015
f44_filled,0.0006
f45_filled,0.0004
f46_filled,0.0046
f47_filled,0.0006
f48_filled,0.0032
f49_filled,0.0003
f50_filled,0.0001
f51_filled,0.0037
f52_filled,0.0229
f53_filled,0.0938
f54_filled,0.0037
f55_filled,0.0069
f56_filled,0.0066
f59_filled,0.0086
f60_filled,0.0051
f61_filled,0.0059
f62_filled,0.0001
f63_filled,0.0001
f64_filled,0.0141
f65_filled,0.0
f66_filled,0.018
f67_filled,0.0002
f68_filled,0.0002
f69_filled,0.0006
f70_filled,0.0004
f71_filled,0.0045
f72_filled,0.0031
f73_filled,0.0299
f74_filled,0.0197
f75_filled,0.0104
f76_filled,0.017
f77_filled,0.0002
f78_filled,0.0001
f79_filled,0.0012
f80_filled,0.0005
f81_filled,0.0003
f82_filled,0.0044
f83_filled,0.0012
f84_filled,0.0033
f85_filled,0.0104
f86_filled,0.0009
f87_filled,0.0
f88_filled,0.0045
f89_filled,0.0112
f90_filled,0.0086
f91_filled,0.0045
f92_filled,0.0065
f93_filled,0.0075
f96_filled,0.0088
f97_filled,0.005
f98_filled,0.0059
f99_filled,0.0001
f100_filled,0.0001
f101_filled,0.0135
f102_filled,0.0
f103_filled,0.0188
f104_filled,0.0002
f105_filled,0.0001
f106_filled,0.0005
f107_filled,0.0003
f108_filled,0.0043
f109_filled,0.0033
f110_filled,0.0306
f111_filled,0.0216
f112_filled,0.012
f113_filled,0.0193
f114_filled,0.0002
f115_filled,0.0002
f116_filled,0.0013
f117_filled,0.0006
f118_filled,0.0003
f119_filled,0.0048
f120_filled,0.0014
f121_filled,0.0044
f122_filled,0.012
f123_filled,0.0003
f124_filled,0.0
f125_filled,0.0052
f126_filled,0.0073
f127_filled,0.0
f128_filled,0.0052
f129_filled,0.0086
f130_filled,0.0084
f133_filled,0.0086
f134_filled,0.0044
f135_filled,0.0063
f136_filled,0.0001
f137_filled,0.0001
f138_filled,0.0047
f139_filled,0.0
f140_filled,0.0208
f141_filled,0.0002
f142_filled,0.0002
f143_filled,0.0006
f144_filled,0.0003
f145_filled,0.0048
f146_filled,0.0044
pay_fee_max_30d_filled,0.0652
pay_fee_min_30d_filled,0.0533
