RegionName,state_abbr,CountyName,latest_rental_2br,latest_rental_4br,latest_rental_5br_plus,latest_rental_all,latest_zhvi_all,education_expenditure_per_student,average_unemployment_rate,TotalPop,Income,Poverty,Unemployment,IncomePerCap
Long Beach,CA,Los Angeles County,2100.0,2747.5,2362.5,2362.5,612140.0,14.350461176725675,7.104013377926421,10105722.0,61015.0,17.0,7.8,30798.0
Virginia Beach,VA,Virginia Beach City,1249.0,1950.0,2400.0,1500.0,284575.0,12.667988060706213,4.49180602006689,,,,,
Oakland,CA,Alameda County,3813.5,3325.0,,3000.0,780289.0,14.350461176725675,7.104013377926421,1629615.0,85743.0,11.3,6.0,41363.0
Tulsa,OK,Tulsa County,890.5,,,950.0,128352.0,9.072438564338555,4.826923076923077,637123.0,52017.0,15.5,5.9,29797.0
Minneapolis,MN,Hennepin County,2076.0,2150.0,,1800.0,288978.0,15.023152114818709,4.66438127090301,1224763.0,71154.0,11.5,4.6,41794.0
Honolulu,HI,Honolulu County,2200.0,2950.0,2500.0,2200.0,711853.0,16.651660759910985,4.667391304347826,990060.0,80078.0,9.1,4.5,33776.0
New Orleans,LA,Orleans Parish,1600.0,1500.0,1472.5,1600.0,237187.0,12.712128024512499,6.8275919732441475,388182.0,38721.0,25.4,8.7,29275.0
Arlington,TX,Tarrant County,1186.0,1850.0,,1600.0,218433.0,11.533900382938564,5.869899665551839,1983675.0,62532.0,13.5,5.4,30857.0
Knoxville,TN,Knox County,1205.0,,,1227.5,196890.0,9.592381400329241,6.0605351170568555,452286.0,52458.0,15.8,5.5,30541.0
Baton Rouge,LA,East Baton Rouge Parish,950.0,,,1200.0,180586.0,12.712128024512499,6.8275919732441475,446167.0,51436.0,19.1,6.9,30162.0
Wichita,KS,Sedgwick County,750.0,1200.0,1175.0,847.5,135955.0,12.24825797858923,4.51304347826087,510484.0,52841.0,14.7,5.6,27583.0
Tampa,FL,Hillsborough County,1650.0,2195.0,,1650.0,247513.0,10.128295497226617,5.973411371237458,1351087.0,53742.0,15.7,6.8,29806.0
Aurora,CO,Arapahoe County,1520.0,2395.0,,1975.0,359590.0,11.494860777718985,5.227759197324414,626612.0,69553.0,9.9,5.2,36951.0
Riverside,CA,Riverside County,1800.0,2400.0,,2000.0,425576.0,14.350461176725675,7.104013377926421,2355002.0,60807.0,15.6,9.9,25700.0
Bakersfield,CA,Kern County,900.0,1700.0,,1595.0,252295.0,14.350461176725675,7.104013377926421,878744.0,50826.0,22.6,10.9,21716.0
Cincinnati,OH,Hamilton County,1195.0,,,1500.0,163300.0,14.900420934105068,6.458695652173914,808703.0,52389.0,17.0,7.0,32638.0
Pittsburgh,PA,Allegheny County,1350.0,,,1400.0,176767.0,19.76181313283221,6.223745819397994,1229605.0,56333.0,12.5,5.9,35280.0
Anaheim,CA,Orange County,2300.0,3075.0,,2700.0,628107.0,14.350461176725675,7.104013377926421,3155816.0,81851.0,12.1,5.8,37603.0
Santa Ana,CA,Orange County,2340.5,,,2300.0,578445.0,14.350461176725675,7.104013377926421,3155816.0,81851.0,12.1,5.8,37603.0
Columbia,SC,Richland County,950.0,1400.0,,1150.0,145602.0,12.32533363827154,6.0882943143812716,404869.0,52082.0,16.7,7.7,28018.0
Town of Islip,NY,Suffolk County,2475.0,,,,372969.0,25.82558139983674,6.379096989966555,1497595.0,92838.0,7.2,5.4,40277.0
Marietta,GA,Cobb County,1269.0,2000.0,,1650.0,303982.0,11.234799097901956,5.696488294314381,739072.0,72004.0,10.9,6.0,36587.0
Vancouver,WA,Clark County,1350.0,2000.0,,1795.0,358801.0,13.805107691796751,6.628260869565217,457474.0,67832.0,10.3,6.2,32162.0
Corpus Christi,TX,Nueces County,1075.0,,,1500.0,157100.0,11.533900382938564,5.869899665551839,358484.0,53317.0,16.7,5.9,26780.0
Saint Louis,MO,Saint Louis City,1100.0,,,1095.0,127904.0,12.21825150243283,5.644147157190635,,,,,
Greensboro,NC,Guilford County,835.0,1695.0,,1200.0,160572.0,9.198162699140104,5.618394648829431,517197.0,49253.0,16.7,6.6,28582.0
Lexington,KY,Fayette County,975.0,1750.0,,1295.0,200197.0,11.284202552298817,6.434280936454849,315109.0,53013.0,18.6,6.1,31653.0
Toledo,OH,Lucas County,745.0,750.0,,800.0,75206.0,14.900420934105068,6.458695652173914,433404.0,44820.0,19.8,8.5,27111.0
Anchorage,AK,Anchorage Borough,1200.0,2000.0,1800.0,1695.0,329360.0,18.831125402900128,7.529933110367892,,,,,
Saint Paul,MN,Ramsey County,1427.5,1935.0,,1645.0,238930.0,15.023152114818709,4.66438127090301,537893.0,60301.0,15.0,5.5,32544.0
Durham,NC,Durham County,1559.0,1795.0,,1550.0,253873.0,9.198162699140104,5.618394648829431,300865.0,56393.0,16.4,5.8,33151.0
Tallahassee,FL,Leon County,985.0,1282.0,,1195.0,193035.0,10.128295497226617,5.973411371237458,285890.0,49941.0,20.5,8.8,28548.0
Stockton,CA,San Joaquin County,1350.0,1962.5,,1672.5,314270.0,14.350461176725675,7.104013377926421,724153.0,57813.0,17.1,10.1,24694.0
Plano,TX,Collin County,1625.0,2300.0,2800.0,2000.0,344745.0,11.533900382938564,5.869899665551839,914075.0,90124.0,6.9,4.3,41609.0
Henderson,NV,Clark County,1386.5,1900.0,2395.0,1600.0,338548.0,10.150934167830933,6.595819397993312,2112436.0,54882.0,14.6,8.3,27719.0
Lincoln,NE,Lancaster County,1025.0,1200.0,,1200.0,196204.0,13.940492866242845,3.3954849498327757,306357.0,55747.0,14.0,3.9,29901.0
Modesto,CA,Stanislaus County,1308.5,1772.5,,1550.0,313205.0,14.350461176725675,7.104013377926421,535684.0,54260.0,17.2,11.8,24007.0
Reno,NV,Washoe County,1595.0,2047.5,,1750.0,397404.0,10.150934167830933,6.595819397993312,445551.0,58595.0,13.3,6.8,31879.0
Spokane,WA,Spokane County,1050.0,1495.0,,1300.0,253567.0,13.805107691796751,6.628260869565217,490764.0,52159.0,15.2,6.3,28325.0
Chandler,AZ,Maricopa County,1451.5,,,1649.5,339169.0,9.062420998556926,6.080769230769231,4155501.0,58580.0,15.7,6.0,30186.0
Lubbock,TX,Lubbock County,777.5,1500.0,,1195.0,148157.0,11.533900382938564,5.869899665551839,298042.0,49078.0,18.8,4.8,26196.0
Buffalo,NY,Erie County,995.0,925.0,900.0,1100.0,104429.0,25.82558139983674,6.379096989966555,923995.0,54006.0,14.9,5.5,31083.0
Hialeah,FL,Miami-Dade County,1500.0,2499.5,,1850.0,294630.0,10.128295497226617,5.973411371237458,2702602.0,46338.0,19.0,7.4,25481.0
San Bernardino,CA,San Bernardino County,1245.0,,,1500.0,307355.0,14.350461176725675,7.104013377926421,2121220.0,57156.0,18.2,9.9,22867.0
Chula Vista,CA,San Diego County,2250.0,3000.0,,2600.0,555019.0,14.350461176725675,7.104013377926421,3283665.0,70588.0,13.3,7.1,34350.0
Saint Petersburg,FL,Pinellas County,1473.5,,,1550.0,224195.0,10.128295497226617,5.973411371237458,949842.0,48968.0,13.7,6.4,32120.0
Pensacola,FL,Escambia County,900.0,,,1195.0,159615.0,10.128295497226617,5.973411371237458,309924.0,47361.0,14.6,7.2,25666.0
Lawrenceville,GA,Gwinnett County,1505.0,1680.0,2000.0,1570.0,236470.0,11.234799097901956,5.696488294314381,889954.0,64496.0,12.1,5.8,27945.0
Madison,WI,Dane County,1250.0,2175.0,,1790.0,284360.0,13.637606443008105,5.1724080267558525,522837.0,67631.0,12.4,3.8,37193.0
Norfolk,VA,Norfolk City,1000.0,1500.0,,1350.0,203735.0,12.667988060706213,4.49180602006689,,,,,
Scottsdale,AZ,Maricopa County,1990.0,,,2400.0,520170.0,9.062420998556926,6.080769230769231,4155501.0,58580.0,15.7,6.0,30186.0
Fayetteville,NC,Cumberland County,782.0,1400.0,,947.0,121217.0,9.198162699140104,5.618394648829431,332766.0,44737.0,18.2,10.0,23627.0
Boise,ID,Ada County,1157.0,1695.0,,1475.0,330139.0,8.24630979192211,5.64799331103679,435117.0,60151.0,11.8,4.3,31642.0
Irvine,CA,Orange County,2665.0,4300.0,6850.0,3490.0,893374.0,14.350461176725675,7.104013377926421,3155816.0,81851.0,12.1,5.8,37603.0
Laredo,TX,Webb County,855.0,,,1300.0,158768.0,11.533900382938564,5.869899665551839,269624.0,40442.0,31.5,5.7,16316.0
Sarasota,FL,Sarasota County,1695.0,2400.0,,2100.0,276036.0,10.128295497226617,5.973411371237458,404839.0,55236.0,10.5,5.7,37054.0
Chesapeake,VA,Chesapeake City,1349.0,1950.0,,1500.0,280451.0,12.667988060706213,4.49180602006689,,,,,
Garland,TX,Dallas County,1490.0,1750.0,,1500.0,209928.0,11.533900382938564,5.869899665551839,2552213.0,53626.0,17.7,5.9,29810.0
North Las Vegas,NV,Clark County,1100.0,1595.0,,1495.0,269393.0,10.150934167830933,6.595819397993312,2112436.0,54882.0,14.6,8.3,27719.0
Fremont,CA,Alameda County,2734.5,3850.0,,3200.0,1094414.0,14.350461176725675,7.104013377926421,1629615.0,85743.0,11.3,6.0,41363.0
Santa Clarita,CA,Los Angeles County,2132.0,3150.0,,2500.0,566264.0,14.350461176725675,7.104013377926421,10105722.0,61015.0,17.0,7.8,30798.0
Irving,TX,Dallas County,1553.0,2625.0,,1892.0,237685.0,11.533900382938564,5.869899665551839,2552213.0,53626.0,17.7,5.9,29810.0
Arlington,VA,Arlington County,2750.0,3800.0,,2400.0,742928.0,12.667988060706213,4.49180602006689,229534.0,112138.0,8.2,3.2,67061.0
Springfield,MO,Greene County,675.0,,,850.0,146037.0,12.21825150243283,5.644147157190635,286759.0,43175.0,18.5,5.0,25529.0
Santa Rosa,CA,Sonoma County,2200.0,3095.0,,2600.0,585360.0,14.350461176725675,7.104013377926421,500943.0,71769.0,10.7,5.9,37767.0
Oxnard,CA,Ventura County,2339.0,3200.0,,2800.0,515198.0,14.350461176725675,7.104013377926421,847834.0,81972.0,10.3,6.6,35771.0
Richmond,VA,Richmond City,1300.0,,,1350.0,234694.0,12.667988060706213,4.49180602006689,,,,,
Des Moines,IA,Polk County,900.0,1057.0,,1025.0,149155.0,13.620642344502317,4.4458193979933105,467235.0,63530.0,11.7,4.7,33524.0
Ocala,FL,Marion County,1000.0,1674.5,,1195.0,161286.0,10.128295497226617,5.973411371237458,343778.0,41964.0,17.6,9.0,23598.0
Boca Raton,FL,Palm Beach County,1880.0,3134.5,,2200.0,351441.0,10.128295497226617,5.973411371237458,1426772.0,57256.0,13.4,7.4,36303.0
Shreveport,LA,Caddo Parish,650.0,,,765.0,103587.0,12.712128024512499,6.8275919732441475,251069.0,40391.0,23.4,7.0,25565.0
Woodbridge,VA,Prince William County,1581.5,2056.0,,1850.0,349841.0,12.667988060706213,4.49180602006689,450763.0,101059.0,7.0,5.0,38225.0
Montgomery,AL,Montgomery County,770.0,,,875.0,91337.0,10.206964658096622,6.607525083612041,227120.0,46545.0,20.8,7.6,26712.0
Bradenton,FL,Manatee County,1569.0,2600.0,,1912.5,235747.0,10.128295497226617,5.973411371237458,363542.0,53408.0,13.4,6.6,30477.0
Corona,CA,Riverside County,1850.0,2572.5,,2400.0,506369.0,14.350461176725675,7.104013377926421,2355002.0,60807.0,15.6,9.9,25700.0
Oceanside,CA,San Diego County,2045.0,2892.5,,2550.0,555380.0,14.350461176725675,7.104013377926421,3283665.0,70588.0,13.3,7.1,34350.0
Tacoma,WA,Pierce County,1420.0,2125.0,,1800.0,342072.0,13.805107691796751,6.628260869565217,845193.0,63881.0,12.2,6.9,31157.0
Grand Rapids,MI,Kent County,1250.0,,,1350.0,183002.0,14.536102441168126,7.577926421404683,636376.0,57302.0,13.4,5.4,29433.0
Yonkers,NY,Westchester County,2100.0,2500.0,2375.0,1975.0,531405.0,25.82558139983674,6.379096989966555,975321.0,89968.0,9.4,6.5,52049.0
Glendale,CA,Los Angeles County,2595.0,,,3000.0,860054.0,14.350461176725675,7.104013377926421,10105722.0,61015.0,17.0,7.8,30798.0
Augusta,GA,Richmond County,1010.0,1200.0,,950.0,108808.0,11.234799097901956,5.696488294314381,201568.0,39430.0,24.2,11.6,21464.0
Moreno Valley,CA,Riverside County,1653.0,1995.0,,1850.0,350552.0,14.350461176725675,7.104013377926421,2355002.0,60807.0,15.6,9.9,25700.0
Akron,OH,Summit County,677.5,857.5,,795.0,72772.0,14.900420934105068,6.458695652173914,541318.0,53291.0,13.6,6.4,30803.0
Aurora,IL,Kane County,1450.0,,,1600.0,211391.0,16.20558551486987,6.722909698996656,529402.0,74862.0,10.4,6.2,33486.0
Wilmington,NC,New Hanover County,1141.5,,,1395.0,249467.0,9.198162699140104,5.618394648829431,219866.0,51457.0,18.0,7.0,31708.0
Huntington Beach,CA,Orange County,2347.0,3800.0,,3350.0,865679.0,14.350461176725675,7.104013377926421,3155816.0,81851.0,12.1,5.8,37603.0
Huntsville,AL,Madison County,920.0,,,1095.0,175321.0,10.206964658096622,6.607525083612041,353213.0,61318.0,13.6,6.5,34232.0
Amarillo,TX,Potter County,750.0,,,1200.0,135918.0,11.533900382938564,5.869899665551839,121230.0,41852.0,21.7,4.2,21941.0
Eugene,OR,Lane County,1590.0,,,1595.0,339638.0,12.917769550650236,6.677090301003345,363471.0,47710.0,18.8,7.6,27032.0
Port Saint Lucie,FL,Saint Lucie County,1387.5,1800.0,,1600.0,233099.0,10.128295497226617,5.973411371237458,,,,,
Salinas,CA,Monterey County,1890.0,,,2600.0,512209.0,14.350461176725675,7.104013377926421,433168.0,63249.0,14.7,6.0,27168.0
Little Rock,AR,Pulaski County,825.0,,,995.0,151242.0,11.271442494109692,6.027257525083613,392848.0,48850.0,17.3,5.9,29855.0
Fort Collins,CO,Larimer County,1470.0,2087.0,,1750.0,419768.0,11.494860777718985,5.227759197324414,330976.0,64980.0,12.4,5.3,34087.0
Hayward,CA,Alameda County,2305.0,,,2800.0,675350.0,14.350461176725675,7.104013377926421,1629615.0,85743.0,11.3,6.0,41363.0
Brownsville,TX,Cameron County,787.5,,,1250.0,101446.0,11.533900382938564,5.869899665551839,420201.0,36095.0,31.2,8.0,16085.0
Rockford,IL,Winnebago County,700.0,,,900.0,95824.0,16.20558551486987,6.722909698996656,287512.0,51110.0,15.3,10.0,27297.0
Evansville,IN,Vanderburgh County,700.0,,,750.0,130884.0,12.697927387762592,5.792642140468227,181831.0,44815.0,18.0,5.2,26917.0
Worcester,MA,Worcester County,1300.0,1600.0,,1600.0,258015.0,18.983879986406507,5.452842809364549,818249.0,69313.0,11.1,6.1,34691.0
Overland Park,KS,Johnson County,1595.0,1850.0,,1645.0,320838.0,12.24825797858923,4.51304347826087,578797.0,81121.0,5.6,3.5,43061.0
Lancaster,CA,Los Angeles County,1536.5,2000.0,,1895.0,301101.0,14.350461176725675,7.104013377926421,10105722.0,61015.0,17.0,7.8,30798.0
Salem,OR,Marion County,1395.0,,,1495.0,291767.0,12.917769550650236,6.677090301003345,330453.0,53828.0,15.9,6.8,24791.0
Garden Grove,CA,Orange County,1950.0,,,2642.5,646147.0,14.350461176725675,7.104013377926421,3155816.0,81851.0,12.1,5.8,37603.0
Beaverton,OR,Washington County,1520.0,2250.0,,1897.5,404281.0,12.917769550650236,6.677090301003345,572071.0,74033.0,10.3,5.6,35369.0
Escondido,CA,San Diego County,1820.0,3000.0,,2450.0,540904.0,14.350461176725675,7.104013377926421,3283665.0,70588.0,13.3,7.1,34350.0
Providence,RI,Providence County,1600.0,2300.0,2200.0,2100.0,239404.0,17.9412278866842,6.2501672240802675,633704.0,52530.0,16.7,7.6,29025.0
Fort Lauderdale,FL,Broward County,2250.0,,,2099.5,348525.0,10.128295497226617,5.973411371237458,1890416.0,54895.0,14.0,7.6,30109.0
Ontario,CA,San Bernardino County,1895.0,2500.0,,2100.0,447505.0,14.350461176725675,7.104013377926421,2121220.0,57156.0,18.2,9.9,22867.0
Columbus,GA,Muscogee County,815.0,1172.5,,850.0,103843.0,11.234799097901956,5.696488294314381,198647.0,43239.0,21.7,10.0,24604.0
Sioux Falls,SD,Minnehaha County,925.0,,,1100.0,209102.0,10.860061919504645,3.482775919732441,183660.0,57322.0,11.0,3.4,29551.0
Charleston,SC,Charleston County,1844.5,3000.0,,1997.0,334853.0,12.32533363827154,6.0882943143812716,387847.0,57882.0,15.3,5.3,35587.0
Tempe,AZ,Maricopa County,1495.0,,,1699.0,311492.0,9.062420998556926,6.080769230769231,4155501.0,58580.0,15.7,6.0,30186.0
Murfreesboro,TN,Rutherford County,1275.0,,,1500.0,263094.0,9.592381400329241,6.0605351170568555,298456.0,62149.0,11.8,5.1,27932.0
Rancho Cucamonga,CA,San Bernardino County,2060.0,2675.0,,2400.0,543316.0,14.350461176725675,7.104013377926421,2121220.0,57156.0,18.2,9.9,22867.0
Cape Coral,FL,Lee County,1300.0,1795.0,,1645.0,234342.0,10.128295497226617,5.973411371237458,700165.0,52052.0,14.9,7.1,30233.0
Savannah,GA,Chatham County,1130.0,1695.0,,1375.0,165003.0,11.234799097901956,5.696488294314381,285506.0,52215.0,17.3,8.7,28765.0
Fredericksburg,VA,Spotsylvania County,1402.0,2000.0,,1600.0,312714.0,12.667988060706213,4.49180602006689,130159.0,81434.0,8.0,5.5,33859.0
Killeen,TX,Bell County,625.0,,,1000.0,134863.0,11.533900382938564,5.869899665551839,336506.0,52583.0,14.3,8.3,25017.0
Roanoke,VA,Roanoke City,850.0,,,1095.0,170572.0,12.667988060706213,4.49180602006689,,,,,
Newport News,VA,Newport News City,999.5,1595.0,,1227.5,188054.0,12.667988060706213,4.49180602006689,,,,,
El Cajon,CA,San Diego County,1695.0,,,2195.0,534972.0,14.350461176725675,7.104013377926421,3283665.0,70588.0,13.3,7.1,34350.0
Clarksville,TN,Montgomery County,775.0,,,1195.0,177697.0,9.592381400329241,6.0605351170568555,192120.0,53737.0,14.2,7.5,24827.0
Elk Grove,CA,Sacramento County,1714.0,2250.0,,1995.0,457636.0,14.350461176725675,7.104013377926421,1495400.0,60239.0,16.7,8.8,29693.0
Peoria,AZ,Maricopa County,1382.0,,,1550.0,303978.0,9.062420998556926,6.080769230769231,4155501.0,58580.0,15.7,6.0,30186.0
Naperville,IL,DuPage County,1622.5,,,1950.0,393984.0,16.20558551486987,6.722909698996656,931826.0,84442.0,6.8,5.2,42050.0
Fairfax,VA,Fairfax County,2034.5,2775.0,,2400.0,587640.0,12.667988060706213,4.49180602006689,1142004.0,117515.0,6.1,4.5,52976.0
Boynton Beach,FL,Palm Beach County,1725.0,2499.0,,1800.0,267691.0,10.128295497226617,5.973411371237458,1426772.0,57256.0,13.4,7.4,36303.0
Topeka,KS,Shawnee County,695.0,,,795.0,123124.0,12.24825797858923,4.51304347826087,178392.0,54667.0,13.2,5.4,28584.0
McKinney,TX,Collin County,1449.0,2000.0,,1850.0,329982.0,11.533900382938564,5.869899665551839,914075.0,90124.0,6.9,4.3,41609.0
Pembroke Pines,FL,Broward County,1690.0,2649.5,,1800.0,322837.0,10.128295497226617,5.973411371237458,1890416.0,54895.0,14.0,7.6,30109.0
Edmond,OK,Oklahoma County,900.0,1825.0,,1399.0,242942.0,9.072438564338555,4.826923076923077,774203.0,50762.0,17.0,5.2,29127.0
Lakeland,FL,Polk County,1242.5,,,1297.0,175733.0,10.128295497226617,5.973411371237458,652256.0,45988.0,17.3,7.7,22579.0
Pueblo,CO,Pueblo County,875.0,,,1050.0,191376.0,11.494860777718985,5.227759197324414,163368.0,42386.0,19.8,9.3,23110.0
Springfield,MA,Hampden County,1100.0,,,1450.0,171093.0,18.983879986406507,5.452842809364549,469188.0,52205.0,17.2,8.0,28072.0
Henrico,VA,Henrico County,1325.0,1700.0,,1550.0,257081.0,12.667988060706213,4.49180602006689,324073.0,66447.0,10.4,5.8,36497.0
Dayton,OH,Montgomery County,685.0,,,764.0,59160.0,14.900420934105068,6.458695652173914,531987.0,47045.0,17.9,8.0,27602.0
Lakewood,CO,Jefferson County,1688.0,2337.5,,1700.0,438616.0,11.494860777718985,5.227759197324414,564029.0,75170.0,7.8,4.3,40187.0
Alexandria,VA,Alexandria City,2200.0,,,2250.0,542974.0,12.667988060706213,4.49180602006689,,,,,
Pomona,CA,Los Angeles County,1757.5,,,2250.0,448172.0,14.350461176725675,7.104013377926421,10105722.0,61015.0,17.0,7.8,30798.0
Visalia,CA,Tulare County,997.5,,,1400.0,247864.0,14.350461176725675,7.104013377926421,458809.0,44871.0,27.1,10.0,18962.0
Cypress,TX,Harris County,1400.0,1900.0,,1700.0,268333.0,11.533900382938564,5.869899665551839,4525519.0,57791.0,16.8,6.4,30856.0
Round Rock,TX,Williamson County,1359.0,,,1650.0,304411.0,11.533900382938564,5.869899665551839,508313.0,79123.0,7.0,4.8,34575.0
Ann Arbor,MI,Washtenaw County,1600.0,,,,399727.0,14.536102441168126,7.577926421404683,361509.0,65618.0,14.5,5.4,37455.0
Whittier,CA,Los Angeles County,1800.0,,,2500.0,555006.0,14.350461176725675,7.104013377926421,10105722.0,61015.0,17.0,7.8,30798.0
Kansas City,KS,Wyandotte County,875.0,,,950.0,112751.0,12.24825797858923,4.51304347826087,163227.0,42783.0,21.4,8.3,20192.0
Sunnyvale,CA,Santa Clara County,3169.0,,,3800.0,1637341.0,14.350461176725675,7.104013377926421,1911226.0,106761.0,8.6,5.7,48689.0
