scene_code,month,monitor_col,auc,ks
SCENE_000002,2024-04,cro_sceneid,0.6272,0.1954
SCENE_000002,2024-05,cro_general,0.6358,0.1975
SCENE_000002,2024-05,cro_general_reg,0.6342,0.1942
SCENE_000002,2024-05,cro_general_mle,0.659,0.2271
SCENE_000002,2024-05,cro_sceneid,0.6252,0.182
SCENE_000002,2024-06,cro_general,0.6134,0.1609
SCENE_000002,2024-06,cro_general_reg,0.6137,0.1564
SCENE_000002,2024-06,cro_general_mle,0.6287,0.1825
SCENE_000002,2024-06,cro_sceneid,0.6062,0.1583
SCENE_000002,2024-07,cro_general,0.593,0.134
SCENE_000002,2024-07,cro_general_reg,0.5911,0.1291
SCENE_000002,2024-07,cro_general_mle,0.6055,0.1539
SCENE_000002,2024-07,cro_sceneid,0.5808,0.1165
SCENE_000002,2024-08,cro_general,0.5897,0.1272
SCENE_000002,2024-08,cro_general_reg,0.5896,0.1306
SCENE_000002,2024-08,cro_general_mle,0.6117,0.1596
SCENE_000002,2024-08,cro_sceneid,0.5798,0.1171
SCENE_000002,2024-09,cro_general,0.589,0.1319
SCENE_000002,2024-09,cro_general_reg,0.5919,0.1307
SCENE_000002,2024-09,cro_general_mle,0.5987,0.1405
SCENE_000002,2024-09,cro_sceneid,0.5891,0.133
SCENE_000002,2024-10,cro_general,0.5925,0.1293
SCENE_000002,2024-10,cro_general_reg,0.5943,0.1336
SCENE_000002,2024-10,cro_general_mle,0.6114,0.157
SCENE_000002,2024-10,cro_sceneid,0.5899,0.1264
SCENE_000002,2024-11,cro_general,0.5853,0.1218
SCENE_000002,2024-11,cro_general_reg,0.589,0.1284
SCENE_000002,2024-11,cro_general_mle,0.5945,0.1358
SCENE_000002,2024-11,cro_sceneid,0.5843,0.1198
SCENE_000002,2024-12,cro_general,0.5817,0.1156
SCENE_000002,2024-12,cro_general_reg,0.5854,0.1227
SCENE_000002,2024-12,cro_general_mle,0.5859,0.1237
SCENE_000002,2024-12,cro_sceneid,0.5809,0.1165
SCENE_000002,2025-01,cro_general,0.5831,0.1227
SCENE_000002,2025-01,cro_general_reg,0.5845,0.1217
SCENE_000002,2025-01,cro_general_mle,0.5799,0.1174
SCENE_000002,2025-01,cro_sceneid,0.5846,0.1217
SCENE_000003,2024-07,cro_general,0.5792,0.1139
SCENE_000003,2024-07,cro_general_reg,0.5815,0.1164
SCENE_000003,2024-07,cro_general_mle,0.5902,0.1284
SCENE_000003,2024-07,cro_sceneid,0.5825,0.1205
SCENE_000003,2024-08,cro_general,0.5828,0.1176
SCENE_000003,2024-08,cro_general_reg,0.5856,0.1214
SCENE_000003,2024-08,cro_general_mle,0.5909,0.1305
SCENE_000003,2024-08,cro_sceneid,0.5924,0.128
SCENE_000003,2024-09,cro_general,0.5752,0.1019
SCENE_000003,2024-09,cro_general_reg,0.5783,0.1072
SCENE_000003,2024-09,cro_general_mle,0.5805,0.1104
SCENE_000003,2024-09,cro_sceneid,0.5798,0.115
SCENE_000003,2024-10,cro_general,0.5751,0.1043
SCENE_000003,2024-10,cro_general_reg,0.5775,0.1064
SCENE_000003,2024-10,cro_general_mle,0.5791,0.1108
SCENE_000003,2024-10,cro_sceneid,0.5813,0.1146
SCENE_000003,2024-11,cro_general,0.5727,0.1025
SCENE_000003,2024-11,cro_general_reg,0.576,0.1059
SCENE_000003,2024-11,cro_general_mle,0.5728,0.1007
SCENE_000003,2024-11,cro_sceneid,0.5779,0.1109
SCENE_000003,2024-12,cro_general,0.577,0.109
SCENE_000003,2024-12,cro_general_reg,0.5828,0.1163
SCENE_000003,2024-12,cro_general_mle,0.5766,0.1096
SCENE_000003,2024-12,cro_sceneid,0.5872,0.1262
SCENE_000003,2025-01,cro_general,0.5708,0.1041
SCENE_000003,2025-01,cro_general_reg,0.5722,0.1038
SCENE_000003,2025-01,cro_general_mle,0.5672,0.0931
SCENE_000003,2025-01,cro_sceneid,0.5792,0.1155
SCENE_000003,2025-02,cro_general,0.5721,0.1044
SCENE_000003,2025-02,cro_general_reg,0.5742,0.1073
SCENE_000003,2025-02,cro_general_mle,0.5695,0.0993
SCENE_000003,2025-02,cro_sceneid,0.58,0.1143
SCENE_000003,2025-03,cro_general,0.5701,0.1013
SCENE_000003,2025-03,cro_general_reg,0.5739,0.1057
SCENE_000003,2025-03,cro_general_mle,0.5685,0.0987
SCENE_000003,2025-03,cro_sceneid,0.5809,0.1184
SCENE_000003,2025-04,cro_general,0.5734,0.1048
SCENE_000003,2025-04,cro_general_reg,0.5738,0.107
SCENE_000003,2025-04,cro_general_mle,0.5704,0.1006
SCENE_000003,2025-04,cro_sceneid,0.5837,0.1226
SCENE_000004,2025-01,cro_general,0.5663,0.0957
SCENE_000004,2025-01,cro_general_reg,0.5739,0.107
SCENE_000004,2025-01,cro_general_mle,0.5636,0.0931
SCENE_000004,2025-01,cro_sceneid,0.5806,0.1127
SCENE_000004,2025-02,cro_general,0.5745,0.1111
SCENE_000004,2025-02,cro_general_reg,0.5792,0.1169
SCENE_000004,2025-02,cro_general_mle,0.5715,0.1051
SCENE_000004,2025-02,cro_sceneid,0.5808,0.1169
SCENE_000004,2025-03,cro_general,0.564,0.0948
SCENE_000004,2025-03,cro_general_reg,0.566,0.0985
SCENE_000004,2025-03,cro_general_mle,0.5673,0.1038
SCENE_000004,2025-03,cro_sceneid,0.5686,0.0975
SCENE_000004,2025-04,cro_general,0.5585,0.0853
SCENE_000004,2025-04,cro_general_reg,0.5615,0.0909
SCENE_000004,2025-04,cro_general_mle,0.5584,0.0881
SCENE_000004,2025-04,cro_sceneid,0.566,0.0975
SCENE_000004,2025-05,cro_general,0.5517,0.0761
SCENE_000004,2025-05,cro_general_reg,0.5525,0.0751
SCENE_000004,2025-05,cro_general_mle,0.5486,0.0702
SCENE_000004,2025-05,cro_sceneid,0.5554,0.0799
SCENE_000004,2025-06,cro_general,0.5585,0.0798
SCENE_000004,2025-06,cro_general_reg,0.5582,0.0767
SCENE_000004,2025-06,cro_general_mle,0.5597,0.0847
SCENE_000004,2025-06,cro_sceneid,0.5623,0.1001
SCENE_000005,2024-03,cro_general,0.5939,0.1274
SCENE_000005,2024-03,cro_general_reg,0.5989,0.1352
SCENE_000005,2024-03,cro_general_mle,0.5935,0.1346
SCENE_000005,2024-03,cro_sceneid,0.586,0.1183
SCENE_000005,2024-04,cro_general,0.5904,0.1268
SCENE_000005,2024-04,cro_general_reg,0.593,0.1256
SCENE_000005,2024-04,cro_general_mle,0.5896,0.1243
SCENE_000005,2024-04,cro_sceneid,0.5807,0.1034
SCENE_000005,2024-05,cro_general,0.5952,0.1326
SCENE_000005,2024-05,cro_general_reg,0.5962,0.1312
SCENE_000005,2024-05,cro_general_mle,0.5967,0.1347
SCENE_000005,2024-05,cro_sceneid,0.5872,0.1225
SCENE_000005,2024-06,cro_general,0.5939,0.1333
SCENE_000005,2024-06,cro_general_reg,0.5978,0.1387
SCENE_000005,2024-06,cro_general_mle,0.5927,0.1277
SCENE_000005,2024-06,cro_sceneid,0.5869,0.124
SCENE_000005,2024-07,cro_general,0.5818,0.1115
SCENE_000005,2024-07,cro_general_reg,0.5831,0.1236
SCENE_000005,2024-07,cro_general_mle,0.5806,0.1135
SCENE_000005,2024-07,cro_sceneid,0.5766,0.1061
SCENE_000005,2024-08,cro_general,0.5842,0.116
SCENE_000005,2024-08,cro_general_reg,0.587,0.1248
SCENE_000005,2024-08,cro_general_mle,0.5869,0.1243
SCENE_000005,2024-08,cro_sceneid,0.5823,0.1177
SCENE_000005,2024-09,cro_general,0.5845,0.1188
SCENE_000005,2024-09,cro_general_reg,0.5888,0.131
SCENE_000005,2024-09,cro_general_mle,0.59,0.1234
SCENE_000005,2024-09,cro_sceneid,0.5835,0.1188
SCENE_000005,2024-10,cro_general,0.5896,0.1268
SCENE_000005,2024-10,cro_general_reg,0.5922,0.1339
SCENE_000005,2024-10,cro_general_mle,0.5967,0.135
SCENE_000005,2024-10,cro_sceneid,0.5879,0.1209
SCENE_000005,2024-11,cro_general,0.5899,0.1252
SCENE_000005,2024-11,cro_general_reg,0.5911,0.1278
SCENE_000005,2024-11,cro_general_mle,0.5964,0.1324
SCENE_000005,2024-11,cro_sceneid,0.5876,0.1218
SCENE_000005,2024-12,cro_general,0.5884,0.1231
SCENE_000005,2024-12,cro_general_reg,0.594,0.1339
SCENE_000005,2024-12,cro_general_mle,0.5913,0.1283
SCENE_000005,2024-12,cro_sceneid,0.5905,0.1269
SCENE_000005,2025-01,cro_general,0.5878,0.1262
SCENE_000005,2025-01,cro_general_reg,0.5922,0.1328
SCENE_000005,2025-01,cro_general_mle,0.587,0.1243
SCENE_000005,2025-01,cro_sceneid,0.5916,0.1285
SCENE_000005,2025-02,cro_general,0.5839,0.1144
SCENE_000005,2025-02,cro_general_reg,0.5875,0.1182
SCENE_000005,2025-02,cro_general_mle,0.5786,0.1098
SCENE_000005,2025-02,cro_sceneid,0.5908,0.1273
SCENE_000005,2025-03,cro_general,0.5837,0.1212
SCENE_000005,2025-03,cro_general_reg,0.5865,0.1231
SCENE_000005,2025-03,cro_general_mle,0.5794,0.1166
SCENE_000005,2025-03,cro_sceneid,0.5872,0.1244
SCENE_000005,2025-04,cro_general,0.584,0.1165
SCENE_000005,2025-04,cro_general_reg,0.5855,0.1151
SCENE_000005,2025-04,cro_general_mle,0.5807,0.1118
SCENE_000005,2025-04,cro_sceneid,0.5849,0.1158
SCENE_000005,2025-05,cro_general,0.5688,0.0965
SCENE_000005,2025-05,cro_general_reg,0.57,0.1001
SCENE_000005,2025-05,cro_general_mle,0.568,0.0983
SCENE_000005,2025-05,cro_sceneid,0.5689,0.0949
SCENE_000005,2025-06,cro_general,0.5732,0.1062
SCENE_000005,2025-06,cro_general_reg,0.5712,0.1059
SCENE_000005,2025-06,cro_general_mle,0.5645,0.091
SCENE_000005,2025-06,cro_sceneid,0.5758,0.1158
SCENE_000006,2025-01,cro_general,0.5995,0.1429
SCENE_000006,2025-01,cro_general_reg,0.6025,0.1476
SCENE_000006,2025-01,cro_general_mle,0.5956,0.1408
SCENE_000006,2025-01,cro_sceneid,0.6053,0.1528
SCENE_000006,2025-02,cro_general,0.5908,0.1368
SCENE_000006,2025-02,cro_general_reg,0.5944,0.1381
SCENE_000006,2025-02,cro_general_mle,0.5879,0.1283
SCENE_000006,2025-02,cro_sceneid,0.5944,0.1361
SCENE_000006,2025-03,cro_general,0.5756,0.1156
SCENE_000006,2025-03,cro_general_reg,0.5789,0.1137
SCENE_000006,2025-03,cro_general_mle,0.5742,0.1054
SCENE_000006,2025-03,cro_sceneid,0.5799,0.1174
SCENE_000006,2025-04,cro_general,0.5673,0.0964
SCENE_000006,2025-04,cro_general_reg,0.5704,0.0989
SCENE_000006,2025-04,cro_general_mle,0.5663,0.1007
SCENE_000006,2025-04,cro_sceneid,0.5705,0.1033
SCENE_000006,2025-05,cro_general,0.556,0.0854
SCENE_000006,2025-05,cro_general_reg,0.5549,0.0811
SCENE_000006,2025-05,cro_general_mle,0.5539,0.0833
SCENE_000006,2025-05,cro_sceneid,0.5589,0.0873
SCENE_000006,2025-06,cro_general,0.5391,0.0591
SCENE_000006,2025-06,cro_general_reg,0.5429,0.0645
SCENE_000006,2025-06,cro_general_mle,0.5361,0.0578
SCENE_000006,2025-06,cro_sceneid,0.5435,0.0598
SCENE_000006,2025-07,cro_general,0.5682,0.1087
SCENE_000006,2025-07,cro_general_reg,0.5757,0.1108
SCENE_000006,2025-07,cro_general_mle,0.5664,0.0969
SCENE_000006,2025-07,cro_sceneid,0.5762,0.1165
SCENE_000006,2025-08,cro_general,0.5528,0.0822
SCENE_000006,2025-08,cro_general_reg,0.5663,0.1082
SCENE_000006,2025-08,cro_general_mle,0.5539,0.0924
SCENE_000006,2025-08,cro_sceneid,0.567,0.1152
SCENE_000006,2025-09,cro_general,0.5309,0.0523
SCENE_000006,2025-09,cro_general_reg,0.5285,0.0573
SCENE_000006,2025-09,cro_general_mle,0.521,0.0554
SCENE_000006,2025-09,cro_sceneid,0.5324,0.0647
SCENE_000006,2025-10,cro_general,0.5328,0.0793
SCENE_000006,2025-10,cro_general_reg,0.5332,0.072
SCENE_000006,2025-10,cro_general_mle,0.5202,0.0543
SCENE_000006,2025-10,cro_sceneid,0.5377,0.0841
SCENE_000006,2025-11,cro_general,0.519,0.1127
SCENE_000006,2025-11,cro_general_reg,0.5,0.0879
SCENE_000006,2025-11,cro_general_mle,0.5259,0.1483
SCENE_000006,2025-11,cro_sceneid,0.5182,0.1214
SCENE_000007,2025-01,cro_general,0.5655,0.1002
SCENE_000007,2025-01,cro_general_reg,0.5652,0.1031
SCENE_000007,2025-01,cro_general_mle,0.5602,0.0859
SCENE_000007,2025-01,cro_sceneid,0.5651,0.0917
SCENE_000007,2025-02,cro_general,0.558,0.0832
SCENE_000007,2025-02,cro_general_reg,0.5614,0.0879
SCENE_000007,2025-02,cro_general_mle,0.5599,0.0867
SCENE_000007,2025-02,cro_sceneid,0.562,0.0916
SCENE_000007,2025-03,cro_general,0.5603,0.0905
SCENE_000007,2025-03,cro_general_reg,0.5642,0.097
SCENE_000007,2025-03,cro_general_mle,0.5576,0.0882
SCENE_000007,2025-03,cro_sceneid,0.5646,0.0962
SCENE_000007,2025-04,cro_general,0.5628,0.0919
SCENE_000007,2025-04,cro_general_reg,0.5638,0.095
SCENE_000007,2025-04,cro_general_mle,0.5575,0.0861
SCENE_000007,2025-04,cro_sceneid,0.5613,0.0864
SCENE_000007,2025-05,cro_general,0.5586,0.0867
SCENE_000007,2025-05,cro_general_reg,0.5597,0.0865
SCENE_000007,2025-05,cro_general_mle,0.5541,0.0817
SCENE_000007,2025-05,cro_sceneid,0.5534,0.0744
SCENE_000007,2025-06,cro_general,0.543,0.0605
SCENE_000007,2025-06,cro_general_reg,0.5423,0.0646
SCENE_000007,2025-06,cro_general_mle,0.5402,0.0604
SCENE_000007,2025-06,cro_sceneid,0.5349,0.0498
SCENE_000007,2025-07,cro_general,0.5475,0.07
SCENE_000007,2025-07,cro_general_reg,0.5474,0.0698
SCENE_000007,2025-07,cro_general_mle,0.5433,0.0604
SCENE_000007,2025-07,cro_sceneid,0.5412,0.0608
SCENE_000007,2025-08,cro_general,0.5387,0.055
SCENE_000007,2025-08,cro_general_reg,0.5407,0.0617
SCENE_000007,2025-08,cro_general_mle,0.5305,0.0461
SCENE_000007,2025-08,cro_sceneid,0.5368,0.0547
SCENE_000007,2025-09,cro_general,0.5303,0.0573
SCENE_000007,2025-09,cro_general_reg,0.5308,0.0565
SCENE_000007,2025-09,cro_general_mle,0.5316,0.057
SCENE_000007,2025-09,cro_sceneid,0.531,0.0512
SCENE_000007,2025-10,cro_general,0.5355,0.0749
SCENE_000007,2025-10,cro_general_reg,0.5409,0.0817
SCENE_000007,2025-10,cro_general_mle,0.5343,0.0648
SCENE_000007,2025-10,cro_sceneid,0.5288,0.0591
SCENE_000008,2025-01,cro_general,0.5917,0.1324
SCENE_000008,2025-01,cro_general_reg,0.591,0.1287
SCENE_000008,2025-01,cro_general_mle,0.5866,0.1266
SCENE_000008,2025-01,cro_sceneid,0.5985,0.1412
SCENE_000008,2025-02,cro_general,0.58,0.1198
SCENE_000008,2025-02,cro_general_reg,0.5819,0.1206
SCENE_000008,2025-02,cro_general_mle,0.5756,0.1094
SCENE_000008,2025-02,cro_sceneid,0.5887,0.1318
SCENE_000008,2025-03,cro_general,0.5717,0.1092
SCENE_000008,2025-03,cro_general_reg,0.574,0.1131
SCENE_000008,2025-03,cro_general_mle,0.5682,0.1024
SCENE_000008,2025-03,cro_sceneid,0.5809,0.1252
SCENE_000008,2025-04,cro_general,0.5646,0.0922
SCENE_000008,2025-04,cro_general_reg,0.5654,0.0905
SCENE_000008,2025-04,cro_general_mle,0.5599,0.0848
SCENE_000008,2025-04,cro_sceneid,0.5719,0.1035
SCENE_000008,2025-05,cro_general,0.5627,0.0935
SCENE_000008,2025-05,cro_general_reg,0.5617,0.0931
SCENE_000008,2025-05,cro_general_mle,0.5564,0.084
SCENE_000008,2025-05,cro_sceneid,0.5627,0.0907
SCENE_000008,2025-06,cro_general,0.55,0.0764
SCENE_000008,2025-06,cro_general_reg,0.5544,0.0826
SCENE_000008,2025-06,cro_general_mle,0.5456,0.0688
SCENE_000008,2025-06,cro_sceneid,0.5541,0.0864
SCENE_000008,2025-07,cro_general,0.5396,0.0624
SCENE_000008,2025-07,cro_general_reg,0.5451,0.0736
SCENE_000008,2025-07,cro_general_mle,0.5397,0.0612
SCENE_000008,2025-07,cro_sceneid,0.5511,0.0788
SCENE_000008,2025-08,cro_general,0.531,0.0502
SCENE_000008,2025-08,cro_general_reg,0.5351,0.0565
SCENE_000008,2025-08,cro_general_mle,0.5233,0.0396
SCENE_000008,2025-08,cro_sceneid,0.5378,0.0586
SCENE_000008,2025-09,cro_general,0.511,0.0314
SCENE_000008,2025-09,cro_general_reg,0.5159,0.0295
SCENE_000008,2025-09,cro_general_mle,0.512,0.0282
SCENE_000008,2025-09,cro_sceneid,0.5253,0.0448
SCENE_000008,2025-10,cro_general,0.5148,0.0403
SCENE_000008,2025-10,cro_general_reg,0.524,0.0578
SCENE_000008,2025-10,cro_general_mle,0.5148,0.0458
SCENE_000008,2025-10,cro_sceneid,0.5259,0.068
SCENE_000008,2025-11,cro_general,0.5213,0.1592
SCENE_000008,2025-11,cro_general_reg,0.5262,0.1077
SCENE_000008,2025-11,cro_general_mle,0.5204,0.0932
SCENE_000008,2025-11,cro_sceneid,0.5201,0.1569
SCENE_000009,2025-01,cro_general,0.6534,0.2216
SCENE_000009,2025-01,cro_general_reg,0.6585,0.2276
SCENE_000009,2025-01,cro_general_mle,0.6508,0.2159
SCENE_000009,2025-01,cro_sceneid,0.6522,0.2159
SCENE_000009,2025-02,cro_general,0.6541,0.2229
SCENE_000009,2025-02,cro_general_reg,0.6608,0.2299
SCENE_000009,2025-02,cro_general_mle,0.6487,0.2152
SCENE_000009,2025-02,cro_sceneid,0.6526,0.2212
SCENE_000009,2025-03,cro_general,0.6425,0.2018
SCENE_000009,2025-03,cro_general_reg,0.6498,0.2192
SCENE_000009,2025-03,cro_general_mle,0.6397,0.1999
SCENE_000009,2025-03,cro_sceneid,0.6443,0.209
SCENE_000009,2025-04,cro_general,0.597,0.1387
SCENE_000009,2025-04,cro_general_reg,0.6023,0.1483
SCENE_000009,2025-04,cro_general_mle,0.5942,0.1337
SCENE_000009,2025-04,cro_sceneid,0.5992,0.1404
SCENE_000009,2025-05,cro_general,0.5934,0.1296
SCENE_000009,2025-05,cro_general_reg,0.5979,0.1352
SCENE_000009,2025-05,cro_general_mle,0.5903,0.1241
SCENE_000009,2025-05,cro_sceneid,0.5942,0.1321
SCENE_000009,2025-06,cro_general,0.5853,0.1204
SCENE_000009,2025-06,cro_general_reg,0.5904,0.1314
SCENE_000009,2025-06,cro_general_mle,0.5805,0.1138
SCENE_000009,2025-06,cro_sceneid,0.5863,0.1251
SCENE_000009,2025-11,cro_general,,
SCENE_000009,2025-11,cro_general_reg,,
SCENE_000009,2025-11,cro_general_mle,,
SCENE_000009,2025-11,cro_sceneid,,
SCENE_000010,2024-07,cro_general,0.5801,0.1135
SCENE_000010,2024-07,cro_general_reg,0.5803,0.1141
SCENE_000010,2024-07,cro_general_mle,0.5818,0.1189
SCENE_000010,2024-07,cro_sceneid,0.5808,0.1132
SCENE_000010,2024-08,cro_general,0.5822,0.1149
SCENE_000010,2024-08,cro_general_reg,0.5877,0.1233
SCENE_000010,2024-08,cro_general_mle,0.5871,0.1209
SCENE_000010,2024-08,cro_sceneid,0.5848,0.1213
SCENE_000010,2024-09,cro_general,0.5792,0.1081
SCENE_000010,2024-09,cro_general_reg,0.5813,0.1195
SCENE_000010,2024-09,cro_general_mle,0.5854,0.1222
SCENE_000010,2024-09,cro_sceneid,0.5828,0.1143
SCENE_000010,2024-10,cro_general,0.5669,0.0918
SCENE_000010,2024-10,cro_general_reg,0.5732,0.108
SCENE_000010,2024-10,cro_general_mle,0.569,0.1025
SCENE_000010,2024-10,cro_sceneid,0.5736,0.1095
SCENE_000010,2024-11,cro_general,0.5799,0.1149
SCENE_000010,2024-11,cro_general_reg,0.5761,0.1118
SCENE_000010,2024-11,cro_general_mle,0.5753,0.1144
SCENE_000010,2024-11,cro_sceneid,0.5841,0.1253
SCENE_000010,2024-12,cro_general,0.5763,0.118
SCENE_000010,2024-12,cro_general_reg,0.58,0.1246
SCENE_000010,2024-12,cro_general_mle,0.5756,0.1116
SCENE_000010,2024-12,cro_sceneid,0.5847,0.1387
SCENE_000010,2025-01,cro_general,0.5748,0.113
SCENE_000010,2025-01,cro_general_reg,0.5751,0.1085
SCENE_000010,2025-01,cro_general_mle,0.5751,0.1101
SCENE_000010,2025-01,cro_sceneid,0.5798,0.1181
SCENE_000010,2025-02,cro_general,0.5792,0.1212
SCENE_000010,2025-02,cro_general_reg,0.5859,0.1323
SCENE_000010,2025-02,cro_general_mle,0.5765,0.1144
SCENE_000010,2025-02,cro_sceneid,0.5894,0.1304
SCENE_000010,2025-03,cro_general,0.5708,0.1013
SCENE_000010,2025-03,cro_general_reg,0.5745,0.1042
SCENE_000010,2025-03,cro_general_mle,0.5703,0.0955
SCENE_000010,2025-03,cro_sceneid,0.5788,0.1135
SCENE_000010,2025-04,cro_general,0.5686,0.0965
SCENE_000010,2025-04,cro_general_reg,0.566,0.1032
SCENE_000010,2025-04,cro_general_mle,0.5602,0.0872
SCENE_000010,2025-04,cro_sceneid,0.5755,0.1132
SCENE_000010,2025-05,cro_general,,
SCENE_000010,2025-05,cro_general_reg,,
SCENE_000010,2025-05,cro_general_mle,,
SCENE_000010,2025-05,cro_sceneid,,
SCENE_000011,2025-01,cro_general,0.5971,0.1382
SCENE_000011,2025-01,cro_general_reg,0.6053,0.1491
SCENE_000011,2025-01,cro_general_mle,0.5942,0.1352
SCENE_000011,2025-01,cro_sceneid,0.6062,0.1503
SCENE_000011,2025-02,cro_general,0.5914,0.1331
SCENE_000011,2025-02,cro_general_reg,0.5936,0.1394
SCENE_000011,2025-02,cro_general_mle,0.5887,0.1352
SCENE_000011,2025-02,cro_sceneid,0.6009,0.1506
SCENE_000011,2025-03,cro_general,0.5941,0.1363
SCENE_000011,2025-03,cro_general_reg,0.5998,0.139
SCENE_000011,2025-03,cro_general_mle,0.5927,0.1325
SCENE_000011,2025-03,cro_sceneid,0.6101,0.161
SCENE_000011,2025-04,cro_general,0.587,0.1293
SCENE_000011,2025-04,cro_general_reg,0.5925,0.1329
SCENE_000011,2025-04,cro_general_mle,0.5842,0.1256
SCENE_000011,2025-04,cro_sceneid,0.5994,0.1465
SCENE_000011,2025-05,cro_general,0.5736,0.1078
SCENE_000011,2025-05,cro_general_reg,0.5778,0.1139
SCENE_000011,2025-05,cro_general_mle,0.568,0.0993
SCENE_000011,2025-05,cro_sceneid,0.5859,0.1268
SCENE_000011,2025-06,cro_general,0.5684,0.1017
SCENE_000011,2025-06,cro_general_reg,0.5714,0.1026
SCENE_000011,2025-06,cro_general_mle,0.5666,0.0985
SCENE_000011,2025-06,cro_sceneid,0.5811,0.119
SCENE_000012,2025-01,cro_general,0.5845,0.1198
SCENE_000012,2025-01,cro_general_reg,0.5824,0.1192
SCENE_000012,2025-01,cro_general_mle,0.5821,0.1235
SCENE_000012,2025-01,cro_sceneid,0.5884,0.1262
SCENE_000012,2025-02,cro_general,0.5874,0.1297
SCENE_000012,2025-02,cro_general_reg,0.591,0.1382
SCENE_000012,2025-02,cro_general_mle,0.5833,0.1299
SCENE_000012,2025-02,cro_sceneid,0.5946,0.1441
SCENE_000012,2025-03,cro_general,0.5747,0.1114
SCENE_000012,2025-03,cro_general_reg,0.5766,0.1153
SCENE_000012,2025-03,cro_general_mle,0.5751,0.1133
SCENE_000012,2025-03,cro_sceneid,0.5766,0.1188
SCENE_000012,2025-04,cro_general,0.5659,0.0979
SCENE_000012,2025-04,cro_general_reg,0.5673,0.0936
