biz1_encode,biz2_encode,biz3_encode,month,Summary_Level,Sample_Size,g_Sample_Size,b_Sample_Size,Sample_Size_Restored,g_Sample_Size_Restored,b_Sample_Size_Restored,Bad_Rate_Before_Restore,Bad_Rate_After_Restore,Ks_Before_Restore,Ks_After_Restore,Prev_Version_Ks_Before_Restore,Prev_Version_Ks_After_Restore,Monthly_PSI
0,5,5,202406,Level_1_Detail_by_month,8127,550,7577,8127.0,550.0,7577.0,0.9323243509290021,0.9323243509290021,0.05385292811978837,0.05385292811978837,,,0.01345760120318036
0,5,15,202406,Level_1_Detail_by_month,8121,537,7584,8121.0,537.0,7584.0,0.9338751385297377,0.9338751385297377,0.10943503524031772,0.10943503524031772,,,0.017087333771099257
1,1,1,202406,Level_1_Detail_by_month,7937,542,7395,7937.0,542.0,7395.0,0.9317122338415018,0.9317122338415018,0.06711026947997678,0.06711026947997678,,,0.014768979238340536
1,1,11,202406,Level_1_Detail_by_month,8000,546,7454,8000.0,546.0,7454.0,0.93175,0.93175,0.04960288794471779,0.04960288794471779,,,0.017031415265044345
1,6,6,202406,Level_1_Detail_by_month,8078,500,7578,8078.0,500.0,7578.0,0.9381034909631096,0.9381034909631096,0.08588756927949326,0.08588756927949326,,,0.02098552889581308
1,6,16,202406,Level_1_Detail_by_month,8135,551,7584,81350.0,5510.0,75840.0,0.9322679778733866,0.9322679778733866,0.10637041780575401,0.10637041780575401,,,0.015878254389470697
2,2,2,202406,Level_1_Detail_by_month,7999,539,7460,7999.0,539.0,7460.0,0.932616577072134,0.932616577072134,0.07511477415728662,0.07511477415728662,,,0.021067501530050152
2,2,12,202406,Level_1_Detail_by_month,8173,559,7614,81730.0,5590.0,76140.0,0.9316040621558791,0.9316040621558791,0.06371372196871122,0.06371372196871122,,,0.01327382504930859
2,7,7,202406,Level_1_Detail_by_month,8186,572,7614,8186.0,572.0,7614.0,0.9301246029806988,0.9301246029806988,0.08048295282337836,0.08048295282337836,,,0.023163280938159208
2,7,17,202406,Level_1_Detail_by_month,7901,530,7371,7901.0,530.0,7371.0,0.9329198835590432,0.9329198835590432,0.09153336763399655,0.09153336763399655,,,0.009996300991282176
3,3,3,202406,Level_1_Detail_by_month,8179,562,7617,8179.0,562.0,7617.0,0.9312874434527448,0.9312874434527448,0.09416028110935598,0.09416028110935598,,,0.01403785914789448
3,3,13,202406,Level_1_Detail_by_month,8135,578,7557,8135.0,578.0,7557.0,0.9289489858635526,0.9289489858635526,0.08895187806808968,0.08895187806808968,,,0.01259453478205548
3,8,8,202406,Level_1_Detail_by_month,8159,546,7613,81590.0,5460.0,76130.0,0.9330800343179311,0.9330800343179311,0.11465470909842379,0.11465470909842379,,,0.016903927065740322
3,8,18,202406,Level_1_Detail_by_month,7976,553,7423,7976.0,553.0,7423.0,0.930667001003009,0.930667001003009,0.11382368324441972,0.11382368324441972,,,0.0207525551723478
4,4,4,202406,Level_1_Detail_by_month,8209,591,7618,82090.0,5910.0,76180.0,0.9280058472408332,0.9280058472408332,0.10021860239285435,0.10021860239285435,,,0.01726714685207588
4,4,14,202406,Level_1_Detail_by_month,8311,542,7769,8311.0,542.0,7769.0,0.9347852244013958,0.9347852244013958,0.1146640138045093,0.1146640138045093,,,0.012659075149151237
4,9,9,202406,Level_1_Detail_by_month,8027,529,7498,8027.0,529.0,7498.0,0.9340974212034384,0.9340974212034384,0.06488686838229324,0.06488686838229324,,,0.02123338696790457
4,9,19,202406,Level_1_Detail_by_month,8142,534,7608,8142.0,534.0,7608.0,0.9344141488577745,0.9344141488577745,0.10753169342737984,0.10753169342737984,,,0.01127658463732358
0,0,0,202407,Level_1_Detail_by_month,9511,678,8833,95110.0,6780.0,88330.0,0.9287141204920618,0.9287141204920618,0.07926897892623769,0.07926897892623769,,,0.055190681594248045
0,0,10,202407,Level_1_Detail_by_month,9630,672,8958,9630.0,672.0,8958.0,0.9302180685358256,0.9302180685358256,0.09768104328134466,0.09768104328134466,,,0.05085489944608328
0,5,5,202407,Level_1_Detail_by_month,9553,684,8869,9553.0,684.0,8869.0,0.9283994556683764,0.9283994556683764,0.0911468687504079,0.0911468687504079,,,0.043614630136613534
0,5,15,202407,Level_1_Detail_by_month,9717,699,9018,9717.0,699.0,9018.0,0.9280642173510343,0.9280642173510343,0.06699095847408665,0.06699095847408665,,,0.05535016939765065
1,1,1,202407,Level_1_Detail_by_month,9744,659,9085,9744.0,659.0,9085.0,0.9323686371100164,0.9323686371100164,0.06659863053625226,0.06659863053625226,,,0.0533641592696858
1,1,11,202407,Level_1_Detail_by_month,9726,708,9018,9726.0,708.0,9018.0,0.9272054287476866,0.9272054287476866,0.08420541215121546,0.08420541215121546,,,0.05253556840969491
1,6,6,202407,Level_1_Detail_by_month,9571,676,8895,9571.0,676.0,8895.0,0.9293699717897816,0.9293699717897816,0.0846782482014029,0.0846782482014029,,,0.055760679701745884
1,6,16,202407,Level_1_Detail_by_month,9532,652,8880,95320.0,6520.0,88800.0,0.931598825010491,0.931598825010491,0.08652724810700274,0.08652724810700274,,,0.06791727218453811
2,2,2,202407,Level_1_Detail_by_month,9599,703,8896,9599.0,703.0,8896.0,0.9267632045004688,0.9267632045004688,0.09917814326064045,0.09917814326064045,,,0.05708085701982824
2,2,12,202407,Level_1_Detail_by_month,9480,712,8768,94800.0,7120.0,87680.0,0.9248945147679325,0.9248945147679325,0.0769832075781186,0.0769832075781186,,,0.05824687477662502
2,7,7,202407,Level_1_Detail_by_month,9614,705,8909,9614.0,705.0,8909.0,0.9266694403994176,0.9266694403994176,0.07697594829995008,0.07697594829995008,,,0.059836379802431595
2,7,17,202407,Level_1_Detail_by_month,9579,696,8883,9579.0,696.0,8883.0,0.9273410585656123,0.9273410585656123,0.10598411533848068,0.10598411533848068,,,0.04903184314370643
3,3,3,202407,Level_1_Detail_by_month,9649,683,8966,9649.0,683.0,8966.0,0.9292154627422531,0.9292154627422531,0.08928736476077354,0.08928736476077354,,,0.043576600198438835
3,3,13,202407,Level_1_Detail_by_month,9502,642,8860,9502.0,642.0,8860.0,0.932435276783835,0.932435276783835,0.08473977342250161,0.08473977342250161,,,0.05579867464542297
3,8,8,202407,Level_1_Detail_by_month,9621,677,8944,96210.0,6770.0,89440.0,0.9296330942729446,0.9296330942729446,0.08175900994337326,0.08175900994337326,,,0.053742104945218055
3,8,18,202407,Level_1_Detail_by_month,9599,718,8881,9599.0,718.0,8881.0,0.9252005417230962,0.9252005417230962,0.08255331481341499,0.08255331481341499,,,0.06240706745959645
4,4,4,202407,Level_1_Detail_by_month,9512,676,8836,95120.0,6760.0,88360.0,0.9289318755256518,0.9289318755256518,0.08888463279590486,0.08888463279590486,,,0.054279790447475364
4,4,14,202407,Level_1_Detail_by_month,9712,706,9006,9712.0,706.0,9006.0,0.9273064250411862,0.9273064250411862,0.06073602804299805,0.06073602804299805,,,0.06342110841919928
4,9,9,202407,Level_1_Detail_by_month,9660,695,8965,9660.0,695.0,8965.0,0.9280538302277432,0.9280538302277432,0.06290249451303431,0.06290249451303431,,,0.07490987741365038
4,9,19,202407,Level_1_Detail_by_month,9587,710,8877,9587.0,710.0,8877.0,0.9259413789506623,0.9259413789506623,0.11657281755192644,0.11657281755192644,,,0.04769975794604481
0,0,0,202408,Level_1_Detail_by_month,10956,781,10175,109560.0,7810.0,101750.0,0.928714859437751,0.928714859437751,0.06171990171990166,0.06171990171990166,,,0.11261497336269821
0,0,10,202408,Level_1_Detail_by_month,11085,749,10336,11085.0,749.0,10336.0,0.9324312133513757,0.9324312133513757,0.09174926734097477,0.09174926734097477,,,0.10949574700388234
0,5,5,202408,Level_1_Detail_by_month,11050,778,10272,11050.0,778.0,10272.0,0.9295927601809955,0.9295927601809955,0.08526660940665814,0.08526660940665814,,,0.10346416351745474
0,5,15,202408,Level_1_Detail_by_month,10958,784,10174,10958.0,784.0,10174.0,0.9284540974630408,0.9284540974630408,0.06748594857640333,0.06748594857640333,,,0.12109692029558797
1,1,1,202408,Level_1_Detail_by_month,10819,806,10013,10819.0,806.0,10013.0,0.9255014326647565,0.9255014326647565,0.09318270863262368,0.09318270863262368,,,0.10233030265002073
1,1,11,202408,Level_1_Detail_by_month,10842,794,10048,10842.0,794.0,10048.0,0.9267662792842649,0.9267662792842649,0.06625552511671934,0.06625552511671934,,,0.0883032604971585
1,6,6,202408,Level_1_Detail_by_month,10868,789,10079,10868.0,789.0,10079.0,0.9274015458225985,0.9274015458225985,0.08892046872797421,0.08892046872797421,,,0.10493081843316955
1,6,16,202408,Level_1_Detail_by_month,11089,867,10222,110890.0,8670.0,102220.0,0.9218144106772477,0.9218144106772477,0.05194362206309433,0.05194362206309433,,,0.11250845174502008
2,2,2,202408,Level_1_Detail_by_month,10847,799,10048,10847.0,799.0,10048.0,0.9263390799299346,0.9263390799299346,0.09863356763629694,0.09863356763629694,,,0.10621537001673334
2,2,12,202408,Level_1_Detail_by_month,10936,811,10125,109360.0,8110.0,101250.0,0.9258412582297001,0.9258412582297001,0.07823379153917576,0.07823379153917576,,,0.1062057189403855
2,7,7,202408,Level_1_Detail_by_month,10823,846,9977,10823.0,846.0,9977.0,0.9218331331423819,0.9218331331423819,0.07675016604383939,0.07675016604383939,,,0.12077932280865583
2,7,17,202408,Level_1_Detail_by_month,10810,802,10008,10810.0,802.0,10008.0,0.925809435707678,0.925809435707678,0.09103614863719994,0.09103614863719994,,,0.08816899793896908
3,3,3,202408,Level_1_Detail_by_month,10812,755,10057,10812.0,755.0,10057.0,0.9301701812800592,0.9301701812800592,0.06769045579270999,0.06769045579270999,,,0.08385978619525486
3,3,13,202408,Level_1_Detail_by_month,11013,823,10190,11013.0,823.0,10190.0,0.9252701352946517,0.9252701352946517,0.08024616133082613,0.08024616133082613,,,0.08764853284710156
3,8,8,202408,Level_1_Detail_by_month,10833,793,10040,108330.0,7930.0,100400.0,0.9267977476230038,0.9267977476230038,0.0763988183457846,0.0763988183457846,,,0.1005889091426864
3,8,18,202408,Level_1_Detail_by_month,10596,783,9813,10596.0,783.0,9813.0,0.9261041902604756,0.9261041902604756,0.07263412011511822,0.07263412011511822,,,0.1002792986047793
4,4,4,202408,Level_1_Detail_by_month,11016,857,10159,110160.0,8570.0,101590.0,0.9222040668119099,0.9222040668119099,0.06820251122668822,0.06820251122668822,,,0.09266101077788635
4,4,14,202408,Level_1_Detail_by_month,10919,776,10143,10919.0,776.0,10143.0,0.9289312208077662,0.9289312208077662,0.08778221433500932,0.08778221433500932,,,0.09305228414041175
4,9,9,202408,Level_1_Detail_by_month,11076,806,10270,11076.0,806.0,10270.0,0.9272300469483568,0.9272300469483568,0.06629079373056512,0.06629079373056512,,,0.1275252379630602
4,9,19,202408,Level_1_Detail_by_month,11036,829,10207,11036.0,829.0,10207.0,0.9248822036969917,0.9248822036969917,0.08822713615847966,0.08822713615847966,,,0.0995177692499665
0,0,0,202409,Level_1_Detail_by_month,12909,976,11933,129090.0,9760.0,119330.0,0.9243938337593927,0.9243938337593927,0.057431571492747024,0.057431571492747024,,,0.15583112159795193
0,0,10,202409,Level_1_Detail_by_month,12540,935,11605,12540.0,935.0,11605.0,0.9254385964912281,0.9254385964912281,0.1336290138631928,0.1336290138631928,,,0.1536988913682485
0,5,5,202409,Level_1_Detail_by_month,12816,975,11841,12816.0,975.0,11841.0,0.9239232209737828,0.9239232209737828,0.08592049787894734,0.08592049787894734,,,0.15353216542285175
0,5,15,202409,Level_1_Detail_by_month,12817,994,11823,12817.0,994.0,11823.0,0.9224467504096122,0.9224467504096122,0.07193724811867058,0.07193724811867058,,,0.16855589148818878
1,1,1,202409,Level_1_Detail_by_month,12672,972,11700,12672.0,972.0,11700.0,0.9232954545454546,0.9232954545454546,0.09515986071541627,0.09515986071541627,,,0.15187536632157367
1,1,11,202409,Level_1_Detail_by_month,12704,964,11740,12704.0,964.0,11740.0,0.9241183879093199,0.9241183879093199,0.12349346490701013,0.12349346490701013,,,0.15193450362031063
1,6,6,202409,Level_1_Detail_by_month,12911,976,11935,12911.0,976.0,11935.0,0.9244055456587406,0.9244055456587406,0.10431023233773101,0.10431023233773101,,,0.17528956269229162
1,6,16,202409,Level_1_Detail_by_month,12636,983,11653,126360.0,9830.0,116530.0,0.9222063944286166,0.9222063944286166,0.07508691259521372,0.07508691259521372,,,0.1607990063492729
2,2,2,202409,Level_1_Detail_by_month,12688,924,11764,12688.0,924.0,11764.0,0.9271752837326608,0.9271752837326608,0.11764779479842385,0.11764779479842385,,,0.17271167965848155
2,2,12,202409,Level_1_Detail_by_month,13001,1002,11999,130010.0,10020.0,119990.0,0.9229290054611183,0.9229290054611183,0.08906397555751072,0.08906397555751072,,,0.1585174318476675
2,7,7,202409,Level_1_Detail_by_month,12641,915,11726,12641.0,915.0,11726.0,0.927616486037497,0.927616486037497,0.09602378162953928,0.09602378162953928,,,0.16845229764842434
2,7,17,202409,Level_1_Detail_by_month,12731,989,11742,12731.0,989.0,11742.0,0.9223156075720682,0.9223156075720682,0.12119862517672253,0.12119862517672253,,,0.13873190925113654
3,3,3,202409,Level_1_Detail_by_month,12658,958,11700,12658.0,958.0,11700.0,0.9243166376994786,0.9243166376994786,0.08513123851328447,0.08513123851328447,,,0.14304986970347194
3,3,13,202409,Level_1_Detail_by_month,12838,950,11888,12838.0,950.0,11888.0,0.9260009347250351,0.9260009347250351,0.07541049798115751,0.07541049798115751,,,0.12953882673881628
3,8,8,202409,Level_1_Detail_by_month,12697,993,11704,126970.0,9930.0,117040.0,0.9217925494211231,0.9217925494211231,0.10657101418748738,0.10657101418748738,,,0.16087425979032144
3,8,18,202409,Level_1_Detail_by_month,12755,985,11770,12755.0,985.0,11770.0,0.9227753822030577,0.9227753822030577,0.10720708676019652,0.10720708676019652,,,0.16200926457122747
4,4,4,202409,Level_1_Detail_by_month,12702,978,11724,127020.0,9780.0,117240.0,0.923004251299008,0.923004251299008,0.09553158221926394,0.09553158221926394,,,0.13558562244248024
4,4,14,202409,Level_1_Detail_by_month,12671,974,11697,12671.0,974.0,11697.0,0.923131560255702,0.923131560255702,0.08598626264583892,0.08598626264583892,,,0.15061241157204658
4,9,9,202409,Level_1_Detail_by_month,12892,950,11942,12892.0,950.0,11942.0,0.926310890474713,0.926310890474713,0.09492670715475676,0.09492670715475676,,,0.18055752877757025
4,9,19,202409,Level_1_Detail_by_month,12606,1027,11579,12606.0,1027.0,11579.0,0.9185308583214342,0.9185308583214342,0.09343847056161247,0.09343847056161247,,,0.15916522500706864
0,0,0,202410,Level_1_Detail_by_month,12583,1008,11575,125830.0,10080.0,115750.0,0.9198919176666932,0.9198919176666932,0.10631260927697211,0.10631260927697211,,,0.21346343970436366
0,0,10,202410,Level_1_Detail_by_month,12608,1019,11589,12608.0,1019.0,11589.0,0.9191782994923858,0.9191782994923858,0.08864790145235185,0.08864790145235185,,,0.19867270074653898
0,5,5,202410,Level_1_Detail_by_month,12769,995,11774,12769.0,995.0,11774.0,0.9220769050043073,0.9220769050043073,0.08830700128807789,0.08830700128807789,,,0.19499930391330295
0,5,15,202410,Level_1_Detail_by_month,12671,1022,11649,12671.0,1022.0,11649.0,0.9193433825270302,0.9193433825270302,0.08204260328906221,0.08204260328906221,,,0.2242506793862071
1,1,1,202410,Level_1_Detail_by_month,12803,1016,11787,12803.0,1016.0,11787.0,0.9206435991564477,0.9206435991564477,0.09154812555404357,0.09154812555404357,,,0.20387420871030587
1,1,11,202410,Level_1_Detail_by_month,12669,992,11677,12669.0,992.0,11677.0,0.9216986344620728,0.9216986344620728,0.08875741739344234,0.08875741739344234,,,0.1895057028740654
1,6,6,202410,Level_1_Detail_by_month,12816,1042,11774,12816.0,1042.0,11774.0,0.9186953807740325,0.9186953807740325,0.08461240763750572,0.08461240763750572,,,0.2037290816448598
1,6,16,202410,Level_1_Detail_by_month,12677,992,11685,126770.0,9920.0,116850.0,0.9217480476453419,0.9217480476453419,0.0803432164202797,0.0803432164202797,,,0.19856188640520933
2,2,2,202410,Level_1_Detail_by_month,12949,1031,11918,12949.0,1031.0,11918.0,0.9203799521198548,0.9203799521198548,0.10230399159858772,0.10230399159858772,,,0.19546839155976753
2,2,12,202410,Level_1_Detail_by_month,12718,1083,11635,127180.0,10830.0,116350.0,0.9148451014310426,0.9148451014310426,0.11209491849860787,0.11209491849860787,,,0.20467993521018313
2,7,7,202410,Level_1_Detail_by_month,12887,1019,11868,12887.0,1019.0,11868.0,0.9209280670443082,0.9209280670443082,0.1043229697427343,0.1043229697427343,,,0.22560234762783485
2,7,17,202410,Level_1_Detail_by_month,12915,1010,11905,12915.0,1010.0,11905.0,0.9217963608207511,0.9217963608207511,0.10638927815503096,0.10638927815503096,,,0.1808631917807096
3,3,3,202410,Level_1_Detail_by_month,12896,1098,11798,12896.0,1098.0,11798.0,0.9148573200992556,0.9148573200992556,0.10539667277124865,0.10539667277124865,,,0.1860015349732536
3,3,13,202410,Level_1_Detail_by_month,12836,1062,11774,12836.0,1062.0,11774.0,0.9172639451542537,0.9172639451542537,0.09505191463715418,0.09505191463715418,,,0.18736608514413536
3,8,8,202410,Level_1_Detail_by_month,12775,992,11783,127750.0,9920.0,117830.0,0.9223483365949119,0.9223483365949119,0.0919977147229607,0.0919977147229607,,,0.1940668761619018
3,8,18,202410,Level_1_Detail_by_month,12851,1028,11823,12851.0,1028.0,11823.0,0.9200062251964828,0.9200062251964828,0.08884285757069826,0.08884285757069826,,,0.22235063603662375
4,4,4,202410,Level_1_Detail_by_month,12871,1007,11864,128710.0,10070.0,118640.0,0.921762100846865,0.921762100846865,0.0891313067462356,0.0891313067462356,,,0.1858345644341609
4,4,14,202410,Level_1_Detail_by_month,12828,1017,11811,12828.0,1017.0,11811.0,0.9207202993451824,0.9207202993451824,0.08491159558523631,0.08491159558523631,,,0.1845193296295291
4,9,9,202410,Level_1_Detail_by_month,12778,1035,11743,12778.0,1035.0,11743.0,0.9190014086711535,0.9190014086711535,0.06585113302158419,0.06585113302158419,,,0.22089371531678606
4,9,19,202410,Level_1_Detail_by_month,12700,1050,11650,12700.0,1050.0,11650.0,0.9173228346456693,0.9173228346456693,0.10571019824238714,0.10571019824238714,,,0.1890183170282994
0,0,0,202411,Level_1_Detail_by_month,14410,1244,13166,144100.0,12440.0,131660.0,0.9136710617626648,0.9136710617626648,0.09452413968943679,0.09452413968943679,,,0.19122736397134435
0,0,10,202411,Level_1_Detail_by_month,14460,1229,13231,14460.0,1229.0,13231.0,0.9150069156293222,0.9150069156293222,0.0928501554557346,0.0928501554557346,,,0.19329598651037758
0,5,5,202411,Level_1_Detail_by_month,14380,1267,13113,14380.0,1267.0,13113.0,0.9118915159944367,0.9118915159944367,0.09011945284540535,0.09011945284540535,,,0.18446592340655857
0,5,15,202411,Level_1_Detail_by_month,14378,1277,13101,14378.0,1277.0,13101.0,0.9111837529559048,0.9111837529559048,0.10914031740748958,0.10914031740748958,,,0.21447058210524433
1,1,1,202411,Level_1_Detail_by_month,14345,1178,13167,14345.0,1178.0,13167.0,0.9178807947019868,0.9178807947019868,0.090642049895021,0.090642049895021,,,0.18776761333181183
1,1,11,202411,Level_1_Detail_by_month,14227,1248,12979,14227.0,1248.0,12979.0,0.9122794686160118,0.9122794686160118,0.11278747128003619,0.11278747128003619,,,0.18101651758049903
1,6,6,202411,Level_1_Detail_by_month,14215,1258,12957,14215.0,1258.0,12957.0,0.9115019345761519,0.9115019345761519,0.11425673252348817,0.11425673252348817,,,0.20209551301678547
1,6,16,202411,Level_1_Detail_by_month,14507,1224,13283,145070.0,12240.0,132830.0,0.915626938719239,0.915626938719239,0.0921238705525122,0.0921238705525122,,,0.19144092084839312
2,2,2,202411,Level_1_Detail_by_month,14231,1285,12946,14231.0,1285.0,12946.0,0.9097041669594547,0.9097041669594547,0.09506660711569942,0.09506660711569942,,,0.1876484666675531
2,2,12,202411,Level_1_Detail_by_month,14393,1258,13135,143930.0,12580.0,131350.0,0.9125964010282777,0.9125964010282777,0.11373967173470073,0.11373967173470073,,,0.2051230105422013
2,7,7,202411,Level_1_Detail_by_month,14145,1195,12950,14145.0,1195.0,12950.0,0.9155178508306823,0.9155178508306823,0.1125503626758857,0.1125503626758857,,,0.21066926859504526
2,7,17,202411,Level_1_Detail_by_month,14289,1194,13095,14289.0,1194.0,13095.0,0.9164392189796347,0.9164392189796347,0.08881079701677536,0.08881079701677536,,,0.15748067904142782
3,3,3,202411,Level_1_Detail_by_month,14451,1176,13275,14451.0,1176.0,13275.0,0.9186215486817522,0.9186215486817522,0.08507129405434488,0.08507129405434488,,,0.17322436234317115
3,3,13,202411,Level_1_Detail_by_month,14244,1244,13000,14244.0,1244.0,13000.0,0.9126649817467004,0.9126649817467004,0.09386569379173876,0.09386569379173876,,,0.17476021906275196
3,8,8,202411,Level_1_Detail_by_month,14313,1222,13091,143130.0,12220.0,130910.0,0.9146230699364214,0.9146230699364214,0.11416240164998859,0.11416240164998859,,,0.19413589089012587
3,8,18,202411,Level_1_Detail_by_month,14369,1142,13227,14369.0,1142.0,13227.0,0.9205233488760526,0.9205233488760526,0.09705960198961505,0.09705960198961505,,,0.18548499214605868
4,4,4,202411,Level_1_Detail_by_month,14226,1168,13058,142260.0,11680.0,130580.0,0.9178968086601996,0.9178968086601996,0.10794634370993905,0.10794634370993905,,,0.16936686034335205
4,4,14,202411,Level_1_Detail_by_month,14453,1276,13177,14453.0,1276.0,13177.0,0.9117138310385388,0.9117138310385388,0.12129546519143858,0.12129546519143858,,,0.190885971233484
4,9,9,202411,Level_1_Detail_by_month,14408,1213,13195,14408.0,1213.0,13195.0,0.9158106607440311,0.9158106607440311,0.08312655590706597,0.08312655590706597,,,0.19739804736015537
4,9,19,202411,Level_1_Detail_by_month,14293,1244,13049,14293.0,1244.0,13049.0,0.9129643881620374,0.9129643881620374,0.08256764818434786,0.08256764818434786,,,0.17091941594125903
0,0,0,202412,Level_1_Detail_by_month,14627,1421,13206,146270.0,14210.0,132060.0,0.902850892185684,0.902850892185684,0.11033231541374944,0.11033231541374944,,,0.19724734527908885
0,0,10,202412,Level_1_Detail_by_month,14826,1389,13437,14826.0,1389.0,13437.0,0.906313233508701,0.906313233508701,0.09370133175682183,0.09370133175682183,,,0.19911306307544652
0,5,5,202412,Level_1_Detail_by_month,14907,1434,13473,14907.0,1434.0,13473.0,0.9038035822097001,0.9038035822097001,0.10222195514537513,0.10222195514537513,,,0.17755186771626014
0,5,15,202412,Level_1_Detail_by_month,14564,1396,13168,14564.0,1396.0,13168.0,0.904147212304312,0.904147212304312,0.10998639577755576,0.10998639577755576,,,0.2268149294657219
1,1,1,202412,Level_1_Detail_by_month,14598,1351,13247,14598.0,1351.0,13247.0,0.9074530757638033,0.9074530757638033,0.08158399284516016,0.08158399284516016,,,0.18688883560882466
1,1,11,202412,Level_1_Detail_by_month,14759,1439,13320,14759.0,1439.0,13320.0,0.9025001693881699,0.9025001693881699,0.09607987069766077,0.09607987069766077,,,0.186360306678432
1,6,6,202412,Level_1_Detail_by_month,14659,1420,13239,14659.0,1420.0,13239.0,0.9031311822088819,0.9031311822088819,0.1046216949707916,0.1046216949707916,,,0.20805362603901922
1,6,16,202412,Level_1_Detail_by_month,14898,1442,13456,148980.0,14420.0,134560.0,0.9032084843603169,0.9032084843603169,0.09668085513415281,0.09668085513415281,,,0.197855633929507
2,2,2,202412,Level_1_Detail_by_month,15007,1343,13664,15007.0,1343.0,13664.0,0.9105084293996135,0.9105084293996135,0.10075330972812446,0.10075330972812446,,,0.2064048797987309
2,2,12,202412,Level_1_Detail_by_month,14860,1409,13451,148600.0,14090.0,134510.0,0.9051816958277255,0.9051816958277255,0.13133593904622087,0.13133593904622087,,,0.19315172062546626
