group_id,apply_month,cnt,max_score,min_score,mode_score,mean_score,median_score,std_score
3,202306,79.0,96.73,1.97,1.97,46.61556962025317,46.94,25.363993444515483
3,202307,77.0,99.6,2.2,2.2,53.48285714285715,53.3,29.356714459124788
3,202308,82.0,99.35,0.09,0.09,51.98378048780488,58.68,28.644236816773752
3,202309,70.0,99.22,1.36,1.36,51.47757142857142,45.875,32.130197022166385
3,202310,100.0,98.59,0.25,0.25,52.08029999999999,53.155,31.2375313130752
3,202311,75.0,99.98,2.12,2.12,50.73973333333333,53.5,28.149036898379073
3,202312,87.0,99.77,2.8,2.8,50.331494252873554,52.75,30.23412128046242
4,202301,88.0,99.58,0.39,0.39,56.065795454545444,57.32,28.828147034260535
4,202302,65.0,99.34,0.48,0.48,53.45276923076923,50.01,29.515664353213168
4,202303,83.0,99.87,1.58,1.58,51.93481927710844,47.87,27.801184014154725
4,202304,84.0,98.27,0.35,0.35,45.64964285714285,38.68,27.580505008020037
4,202305,88.0,99.86,2.83,2.83,46.82715909090909,44.645,28.099276423328575
4,202306,80.0,97.37,1.54,1.54,55.85362499999999,57.84,28.424983762227754
4,202307,66.0,97.77,1.01,1.01,45.823484848484846,46.15,25.649927844698283
4,202308,78.0,99.48,0.13,0.13,54.27089743589744,56.95,28.599460497404326
4,202309,88.0,99.05,0.02,0.02,50.89011363636364,52.14,30.5200711232174
4,202310,80.0,94.34,0.91,0.91,56.261625,60.125,25.67153156258869
4,202311,67.0,98.49,2.25,2.25,55.18343283582089,60.95,27.99464010128945
4,202312,104.0,99.04,0.12,0.12,49.04403846153846,46.870000000000005,29.362780830425343
5,202301,84.0,98.62,6.23,6.23,51.786428571428566,54.535,27.92781217917577
5,202302,91.0,99.56,0.57,25.22,47.47263736263736,48.45,27.554607351591248
5,202303,67.0,99.18,2.6,2.6,51.84059701492537,50.12,26.998396410325594
5,202304,89.0,99.83,1.87,26.57,49.094157303370785,48.08,27.1134989362473
5,202305,75.0,99.7,0.02,0.02,52.852533333333334,52.86,26.991109702177027
5,202306,85.0,98.3,0.88,0.88,49.626705882352944,44.15,29.300741636487274
5,202307,87.0,98.23,0.5,45.12,46.822528735632176,45.12,27.266285520570655
5,202308,86.0,99.35,0.14,0.14,47.58453488372093,41.545,29.090761931945366
5,202309,64.0,99.83,2.1,39.51,48.5509375,46.66,28.271792814542426
5,202310,78.0,99.67,0.82,0.82,49.44474358974359,52.29,31.039601380003315
5,202311,69.0,98.99,0.36,0.36,45.67913043478261,47.79,29.76285089420003
5,202312,87.0,99.59,0.03,0.03,49.37758620689656,48.81,25.705742140416312
6,202301,97.0,98.14,0.11,0.11,51.28814432989691,52.74,26.88245153789522
6,202302,93.0,99.2,0.4,0.4,53.765806451612896,55.45,26.081781302638316
6,202303,91.0,98.06,0.96,0.96,47.44296703296704,46.78,25.918254720670674
6,202304,67.0,99.2,0.45,0.45,47.33074626865672,48.4,30.345754299079456
6,202305,84.0,96.59,0.58,21.98,51.26797619047618,54.83,30.589870036776816
6,202306,77.0,99.15,0.56,0.56,48.88831168831169,50.51,29.67559813624112
6,202307,82.0,99.72,1.48,84.34,52.56548780487806,55.655,30.06171824896402
6,202308,86.0,95.75,1.27,94.63,45.53813953488372,40.61,29.494895690476103
6,202309,85.0,99.79,0.92,0.92,47.988705882352946,46.82,28.952641576507364
6,202310,84.0,98.01,0.26,20.44,44.18119047619048,42.709999999999994,28.97488016357276
6,202311,90.0,99.79,0.13,0.13,51.794111111111114,51.769999999999996,30.23579714471374
6,202312,85.0,99.88,2.6,2.6,49.490352941176475,47.18,27.11752729838603
7,202301,91.0,99.99,0.61,0.61,48.795274725274716,47.35,26.80240280856506
7,202302,70.0,98.52,1.37,1.37,50.683714285714274,47.575,27.72528502076041
7,202303,89.0,99.38,2.56,2.56,47.51640449438202,42.77,26.01520915503044
7,202304,85.0,98.97,4.44,77.61,50.872352941176466,51.61,26.48766683567579
7,202305,95.0,98.6,1.0,1.0,54.66326315789474,53.73,29.29454718130442
7,202306,53.0,99.43,2.86,2.86,51.04584905660377,44.05,28.344929911169046
7,202307,69.0,96.94,10.49,10.49,48.42057971014492,51.36,25.260345806168793
7,202308,95.0,99.29,0.06,0.06,49.51863157894736,50.36,28.226288848342353
7,202309,89.0,99.67,0.03,0.03,51.97629213483145,51.77,28.281148410446267
7,202310,96.0,99.51,1.85,1.85,48.91052083333333,50.945,28.949264052814218
7,202311,97.0,99.93,0.42,0.42,49.346082474226804,47.34,29.141966751744704
7,202312,88.0,99.55,0.19,0.19,49.80363636363636,45.86,26.76374517122719
8,202301,82.0,98.68,2.31,2.31,50.8140243902439,53.269999999999996,28.59330603954364
8,202302,83.0,96.57,0.59,29.71,46.78530120481928,43.23,29.630216257343612
8,202303,80.0,95.06,0.78,0.78,45.034125,48.230000000000004,29.94628700780445
8,202304,85.0,98.82,1.14,59.37,47.69129411764706,52.47,27.69481775437743
8,202305,77.0,99.68,1.79,1.79,49.91883116883116,53.33,29.670101820467526
8,202306,88.0,98.93,0.83,94.1,47.41556818181818,43.97,29.438042158238723
8,202307,65.0,99.86,4.46,95.28,56.27723076923077,56.48,27.72956992925672
8,202308,90.0,99.74,0.53,0.53,50.17977777777778,47.85,28.093812785095498
8,202309,84.0,98.99,0.37,0.37,51.91214285714287,53.075,28.559675931787872
8,202310,76.0,99.95,1.12,3.22,51.750657894736854,58.335,31.31441607675401
8,202311,69.0,99.22,1.76,1.76,45.576956521739135,41.84,30.12606499481157
8,202312,88.0,95.09,0.37,0.37,51.909772727272724,55.480000000000004,29.982498802309856
9,202301,95.0,99.19,0.9,81.31,51.50073684210525,54.7,31.046134759319738
9,202302,76.0,99.06,3.15,94.23,53.60868421052632,55.635000000000005,29.57796343415619
9,202303,74.0,97.58,0.02,19.94,50.64648648648648,50.099999999999994,25.757186864200623
9,202304,89.0,99.27,1.54,1.54,51.22056179775281,49.64,30.2788096604461
9,202305,98.0,99.14,1.1,1.1,52.44581632653061,56.205,29.134715924600215
9,202306,74.0,99.41,0.75,0.75,45.22054054054054,42.455,29.493238969453536
9,202307,91.0,98.91,0.92,74.16,48.112197802197805,46.62,30.30455832240416
9,202308,77.0,90.72,0.35,0.35,43.81909090909091,40.95,26.706103687409726
9,202309,70.0,98.82,3.28,88.42,50.094857142857144,51.42,27.601722417524577
9,202310,68.0,97.8,0.04,0.04,50.370000000000005,48.97,30.043288917081362
9,202311,87.0,99.28,1.02,1.02,50.906896551724145,48.75,28.118225336435607
9,202312,95.0,97.39,0.41,5.82,50.42873684210526,50.69,27.97567724893169
10,202301,93.0,97.14,1.6,1.6,45.13301075268817,42.98,30.12179103547241
10,202302,85.0,99.56,4.03,4.03,52.98576470588235,50.32,30.49869428807258
10,202303,103.0,99.77,1.49,1.49,52.00941747572815,52.59,29.564042309815385
10,202304,97.0,96.37,0.78,40.69,49.63907216494845,52.1,28.902901854112983
10,202305,75.0,99.39,0.01,0.01,44.56999999999999,45.15,31.36342434248031
10,202306,88.0,99.61,0.34,0.34,49.86625000000001,50.475,29.969292073471763
10,202307,71.0,96.76,1.21,1.21,50.43281690140845,54.47,28.527402374513954
10,202308,86.0,99.95,0.97,30.93,52.368720930232556,53.195,29.643156567509973
10,202309,81.0,99.83,1.19,1.19,52.13283950617284,57.4,28.803802319944143
10,202310,78.0,99.84,0.96,0.96,44.3526923076923,42.504999999999995,30.79605788033642
10,202311,85.0,99.82,3.75,50.25,51.9184705882353,50.25,30.251103974577063
10,202312,92.0,99.52,0.46,0.46,52.392173913043464,53.370000000000005,29.119508578229027
