geography,total_rides,avg_trip_distance,pt_commuting_pct
Aya Nagar,577,25.083951473136917,
Indraprastha,575,23.995808695652173,
Punjabi Bagh,575,24.43495652173913,
DLF,574,25.05987804878049,
Uttam Nagar,574,24.068554006968643,
Meerut,574,25.04959930313589,
Sarai Kale Khan,574,24.799947735191637,
Pitampura,574,25.504564459930315,
Connaught Place,573,24.239842931937172,
Greater Noida,573,24.797888307155322,
GTB Nagar,572,25.418374125874124,
Palam,572,24.581153846153846,
Delhi Railway Station,571,24.76388791593695,
Janakpuri,571,25.175376532399298,
Satguru Ram Singh Marg,571,24.045936952714534,
Seelampur,571,24.000998248686514,
Paschim,571,24.70413309982487,
Rajouri Garden,570,25.44115789473684,
Panipat,570,24.758368421052634,
Central Secretariat,570,24.371473684210525,
Moolchand,570,25.090438596491225,
Hauz Rani,569,24.43885764499121,
Sadar Bazar Gurgaon,569,24.276449912126537,
Patel Chowk,569,24.037416520210897,
IIT Delhi,568,24.78806338028169,
Nirman,565,24.78258407079646,
Rajiv Chowk,565,23.97775221238938,
Gwal Pahari,565,23.66971681415929,
Keshav Puram,564,24.839166666666667,
Badshahpur,563,24.491758436944938,
Jhilmil,562,24.914697508896797,
Khan Market,562,24.298665480427047,
Narsinghpur,562,24.01656583629893,
Golf Course Road,561,24.525508021390372,
Kalkaji,559,24.812200357781755,
Lal Quila,558,23.738387096774193,
Kadarpur,558,24.65831541218638,
Mundka,558,24.926469534050177,
Udyog Bhawan,557,24.924488330341113,
Indirapuram,557,23.622046678635545,
Govindpuri,557,24.21912028725314,
Kashmere Gate ISBT,556,24.164658273381292,
IGNOU Road,556,26.03726618705036,
Dilshad Garden,556,24.690431654676257,
Rohini West,556,23.836133093525177,
Saket A,555,23.844666666666665,
Maidan Garhi,555,24.738828828828826,
MG Road,555,24.593315315315316,
Laxmi Nagar,554,24.860848375451262,
Lajpat Nagar,553,24.853381555153707,
Vidhan Sabha,553,24.286582278481013,
Kirti Nagar,552,24.25393115942029,
Manesar,551,24.557513611615246,
Paharganj,550,25.33218181818182,
Preet,549,25.33386156648452,
Mandi House,549,23.953460837887068,
Kherki Daula Toll,548,25.13308394160584,
Ghitorni Village,547,24.400530164533823,
Bahadurgarh,546,25.203589743589742,
IFFCO Chowk,546,24.282472527472528,
Karkarduma,544,25.006249999999998,
Ashok,542,24.494280442804428,
Ramesh Nagar,541,25.131109057301295,
Bhikaji Cama Place,540,25.131796296296297,
Vatika Chowk,540,24.454666666666668,
Chhatarpur,538,24.41975836431227,
Shahdara,534,24.161198501872658,
Netaji Subhash Place,534,25.19043071161049,
Munirka,533,24.750544090056287,
Qutub Minar,533,26.032739212007506,
Akshardham,532,23.841973684210526,
Faridabad,532,24.18374060150376,
Arjangarh,531,24.841751412429378,
Chirag Delhi,529,24.56328922495274,
Old Gurgaon,527,25.472163187855788,
Vinobapuri,503,24.729602385685883,
Staten Island,273,10.081428571428571,27.85959185028335
