invest_advisor_name,sec_name,holding_count
前海开源基金管理有限公司,法拉电子,5
华商基金管理有限公司,立讯精密,5
华商基金管理有限公司,科伦药业,4
华商基金管理有限公司,洋河股份,4
华夏基金管理有限公司,立讯精密,10
华夏基金管理有限公司,歌尔股份,9
华夏基金管理有限公司,格力电器,9
华安基金管理有限公司,恒瑞医药,9
华安基金管理有限公司,立讯精密,8
华安基金管理有限公司,宋城演艺,7
华宝基金管理有限公司,立讯精密,8
华宝基金管理有限公司,美的集团,7
华宝基金管理有限公司,"New York REIT, Inc.",7
华富基金管理有限公司,新易盛,3
华富基金管理有限公司,北京君正,3
华富基金管理有限公司,金三江,2
华泰保兴基金管理有限公司,顺丰控股,3
华泰保兴基金管理有限公司,伊利股份,2
华泰保兴基金管理有限公司,高新兴,1
华泰柏瑞基金管理有限公司,立讯精密,5
华泰柏瑞基金管理有限公司,长盈精密,3
华泰柏瑞基金管理有限公司,蓝思科技,3
华泰证券(上海)资产管理有限公司,沪电股份,6
华泰证券(上海)资产管理有限公司,天孚通信,6
华泰证券(上海)资产管理有限公司,中国人寿,6
南方基金管理股份有限公司,五粮液,11
南方基金管理股份有限公司,贵州茅台,9
南方基金管理股份有限公司,立讯精密,9
博时基金管理有限公司,美的集团,12
博时基金管理有限公司,格力电器,12
博时基金管理有限公司,立讯精密,11
博道基金管理有限公司,太阳纸业,2
博道基金管理有限公司,鹏都农牧,1
博道基金管理有限公司,鸿远电子,1
嘉合基金管理有限公司,立讯精密,3
嘉合基金管理有限公司,沪电股份,3
嘉合基金管理有限公司,中国动物保健品,3
嘉实基金管理有限公司,热威股份,12
嘉实基金管理有限公司,天和磁材,11
嘉实基金管理有限公司,中信证券,11
国寿安保基金管理有限公司,万华化学,6
国寿安保基金管理有限公司,贵州茅台,5
国寿安保基金管理有限公司,海螺水泥,5
国投瑞银基金管理有限公司,龙迅股份,1
国投瑞银基金管理有限公司,龙图光罩,1
国投瑞银基金管理有限公司,鼎龙股份,1
国泰基金管理有限公司,美的集团,10
国泰基金管理有限公司,峨眉山A,9
国泰基金管理有限公司,海康威视,8
国海富兰克林基金管理有限公司,盘古智能,3
国海富兰克林基金管理有限公司,陕西华达,2
国海富兰克林基金管理有限公司,长华化学,2
国联基金管理有限公司,美的集团,6
国联基金管理有限公司,金山办公,4
国联基金管理有限公司,苏州天脉,4
国联安基金管理有限公司,精智达,3
国联安基金管理有限公司,益丰药房,3
国联安基金管理有限公司,招商证券,3
国金基金管理有限公司,高能环境,2
国金基金管理有限公司,皇马科技,2
国金基金管理有限公司,电科芯片,2
圆信永丰基金管理有限公司,雪佛龙,2
圆信永丰基金管理有限公司,蓝色光标,2
圆信永丰基金管理有限公司,舜宇光学科技,2
大成基金管理有限公司,中国平安,9
大成基金管理有限公司,贵州茅台,8
大成基金管理有限公司,思源电气,8
天弘基金管理有限公司,美的集团,9
天弘基金管理有限公司,贵州茅台,8
天弘基金管理有限公司,恒瑞医药,8
太平基金管理有限公司,中孚实业,3
太平基金管理有限公司,龙泉股份,2
太平基金管理有限公司,飞天诚信,2
安信基金管理有限责任公司,伊利股份,6
安信基金管理有限责任公司,美的集团,5
安信基金管理有限责任公司,立讯精密,5
宏利基金管理有限公司,荣盛石化,3
宏利基金管理有限公司,宋城演艺,3
宏利基金管理有限公司,长江材料,2
宝盈基金管理有限公司,华润三九,3
宝盈基金管理有限公司,中国移动,3
宝盈基金管理有限公司,长江电力,2
富国基金管理有限公司,苏州天脉,11
富国基金管理有限公司,盛邦安全,8
富国基金管理有限公司,新铝时代,8
工银瑞信基金管理有限公司,招商银行,12
工银瑞信基金管理有限公司,五粮液,8
工银瑞信基金管理有限公司,长江电力,7
平安基金管理有限公司,"New York REIT, Inc.",7
平安基金管理有限公司,立讯精密,5
平安基金管理有限公司,龙图光罩,4
广发基金管理有限公司,立讯精密,14
广发基金管理有限公司,五粮液,11
广发基金管理有限公司,贵州茅台,10
德邦基金管理有限公司,中国银行,3
德邦基金管理有限公司,阳光电源,2
德邦基金管理有限公司,镇洋发展,2
惠升基金管理有限责任公司,高德软件,1
惠升基金管理有限责任公司,金山软件,1
惠升基金管理有限责任公司,融创中国,1
招商基金管理有限公司,立讯精密,11
招商基金管理有限公司,美的集团,7
招商基金管理有限公司,宁德时代,7
招商证券资产管理有限公司,鹏鹞环保,1
招商证券资产管理有限公司,香飘飘,1
招商证券资产管理有限公司,顺鑫农业,1
摩根基金管理(中国)有限公司,海大集团,4
摩根基金管理(中国)有限公司,许继电气,3
摩根基金管理(中国)有限公司,立讯精密,3
新华基金管理股份有限公司,顺丰控股,3
新华基金管理股份有限公司,贵州茅台,3
新华基金管理股份有限公司,聚和材料,3
易方达基金管理有限公司,新华保险,12
易方达基金管理有限公司,中国平安,11
易方达基金管理有限公司,立讯精密,10
景顺长城基金管理有限公司,立讯精密,11
景顺长城基金管理有限公司,恒瑞医药,11
景顺长城基金管理有限公司,宁德时代,10
民生加银基金管理有限公司,紫金矿业,6
民生加银基金管理有限公司,宁德时代,6
民生加银基金管理有限公司,中国移动,6
永赢基金管理有限公司,宁德时代,7
永赢基金管理有限公司,朗威股份,6
永赢基金管理有限公司,斯菱股份,6
汇丰晋信基金管理有限公司,海大集团,4
汇丰晋信基金管理有限公司,麦格米特,3
汇丰晋信基金管理有限公司,璞泰来,3
汇安基金管理有限责任公司,峨眉山A,3
汇安基金管理有限责任公司,迈瑞医疗,2
汇安基金管理有限责任公司,移远通信,2
汇添富基金管理股份有限公司,立讯精密,10
汇添富基金管理股份有限公司,美的集团,8
汇添富基金管理股份有限公司,思泉新材,7
泓德基金管理有限公司,哔哩哔哩,4
泓德基金管理有限公司,京东健康,4
泓德基金管理有限公司,中兴通讯,4
泰康基金管理有限公司,香港交易所,5
泰康基金管理有限公司,牧原股份,3
泰康基金管理有限公司,招商银行,3
浦银安盛基金管理有限公司,立讯精密,4
浦银安盛基金管理有限公司,歌尔股份,4
浦银安盛基金管理有限公司,新易盛,4
海富通基金管理有限公司,贵州茅台,4
海富通基金管理有限公司,美的集团,4
海富通基金管理有限公司,中国海油,4
申万菱信基金管理有限公司,美的集团,5
申万菱信基金管理有限公司,中国神华,5
申万菱信基金管理有限公司,长江电力,4
英大基金管理有限公司,长江电力,1
英大基金管理有限公司,紫金矿业,1
英大基金管理有限公司,璞泰来,1
蜂巢基金管理有限公司,东方日升,2
蜂巢基金管理有限公司,龙佰集团,1
蜂巢基金管理有限公司,齐翔腾达,1
融通基金管理有限公司,建设银行,3
融通基金管理有限公司,光大银行,3
融通基金管理有限公司,中国平安,3
西部利得基金管理有限公司,鼎龙科技,3
西部利得基金管理有限公司,陕西华达,3
西部利得基金管理有限公司,锴威特,3
诺安基金管理有限公司,龙图光罩,1
诺安基金管理有限公司,麦加芯彩,1
诺安基金管理有限公司,鸥玛软件,1
诺德基金管理有限公司,陕西煤业,4
诺德基金管理有限公司,美的集团,4
诺德基金管理有限公司,立讯精密,4
财通基金管理有限公司,淮北矿业,3
财通基金管理有限公司,阳普医疗,2
财通基金管理有限公司,贵州轮胎,2
财通证券资产管理有限公司,海思科,4
财通证券资产管理有限公司,杭钢股份,4
财通证券资产管理有限公司,齐鲁银行,3
金鹰基金管理有限公司,上海家化,5
金鹰基金管理有限公司,荣信文化,4
金鹰基金管理有限公司,安培龙,4
鑫元基金管理有限公司,华勤技术,4
鑫元基金管理有限公司,中煤能源,4
鑫元基金管理有限公司,美的集团,3
银华基金管理股份有限公司,宁德时代,10
银华基金管理股份有限公司,迈普医学,8
银华基金管理股份有限公司,超越科技,8
银河基金管理有限公司,泰慕士,4
银河基金管理有限公司,汇通集团,4
银河基金管理有限公司,东鹏饮料,4
长信基金管理有限责任公司,中芯国际,5
长信基金管理有限责任公司,民生银行,4
长信基金管理有限责任公司,邮储银行,3
长城基金管理有限公司,贵州茅台,6
长城基金管理有限公司,福耀玻璃,4
长城基金管理有限公司,格林美,4
长江证券(上海)资产管理有限公司,海通证券,2
长江证券(上海)资产管理有限公司,海螺水泥,2
长江证券(上海)资产管理有限公司,海康威视,2
长盛基金管理有限公司,五粮液,5
长盛基金管理有限公司,山金国际,4
长盛基金管理有限公司,宁德时代,4
鹏华基金管理有限公司,立讯精密,13
鹏华基金管理有限公司,宁德时代,13
鹏华基金管理有限公司,中国平安,12
鹏扬基金管理有限公司,歌尔股份,4
鹏扬基金管理有限公司,鹏鼎控股,3
鹏扬基金管理有限公司,立讯精密,3
