LocationID,borough,cluster_id,total_pickups,avg_fare,PT_P,WFH_P
131,Queens,2,1973,33.19616320324379,19.28,19.97
134,Queens,2,4022,48.78621829935356,47.68,13.43
135,Queens,2,1710,33.641561403508774,26.95,11.55
139,Queens,2,1713,43.901126678342095,28.01,16.11
149,Brooklyn,2,1723,30.834747533372024,26.15,6.74
150,Brooklyn,2,1049,37.29737845567207,35.19,6.26
154,Brooklyn,2,502,33.747450199203186,0.0,30.77
155,Brooklyn,2,3146,32.54241576605213,27.87,20.47
156,Staten Island,2,33,76.85090909090908,59.57,1.44
157,Queens,2,4616,36.417811958405544,36.24,9.64
171,Queens,2,917,33.64403489640131,31.6,15.58
175,Queens,2,737,36.33522388059702,21.26,7.75
176,Staten Island,2,22,41.775,23.63,9.8
180,Queens,2,1389,35.14823614110871,38.21,9.64
182,Bronx,2,2952,35.45002371273713,45.4,12.95
183,Bronx,2,651,36.683364055299535,35.3,7.19
184,Bronx,2,135,42.076962962962966,42.64,13.675
185,Bronx,2,1275,33.26063529411765,28.4,10.33
187,Staten Island,2,23,43.676086956521736,19.13,9.52
191,Queens,2,3320,39.68397891566265,27.79,12.88
192,Queens,2,798,30.84111528822055,33.13,9.82
195,Brooklyn,2,5927,46.803205668972495,43.76,12.48
196,Queens,2,3136,35.08010204081633,30.15,14.39
197,Queens,2,7015,38.479133285816104,43.19,8.09
200,Bronx,2,1265,38.006063241106716,22.57,17.52
201,Queens,2,970,42.53277319587629,24.93,3.6
203,Queens,2,1907,45.61180912427897,41.93,5.82
204,Staten Island,2,10,101.274,19.7,7.73
205,Queens,2,3913,38.56904421160235,38.37,3.36
206,Staten Island,2,38,52.569736842105264,16.06,21.24
208,Bronx,2,1655,35.8662416918429,43.28,14.63
210,Brooklyn,2,3004,36.919044607190415,26.69,24.9
213,Bronx,2,4044,33.03473788328388,34.21,8.54
214,Staten Island,2,88,37.16977272727273,27.86,3.37
216,Queens,2,10486,51.40620732405112,28.71,15.81
217,Brooklyn,2,1968,26.995584349593496,13.27,5.77
218,Queens,2,3548,37.960479143179256,32.74,7.07
219,Queens,2,4781,58.716563480443426,37.42,5.7
220,Bronx,2,1923,35.356396255850235,29.82,21.21
222,Brooklyn,2,3850,34.60155324675325,44.16,14.38
227,Brooklyn,2,1401,33.24608850820842,37.68,2.87
242,Bronx,2,2068,32.64859767891683,41.05,7.03
245,Staten Island,2,34,49.379411764705885,22.85,13.52
251,Staten Island,2,50,52.9732,15.77,13.98
252,Queens,2,954,36.74722222222222,16.46,5.99
253,Queens,2,200,45.8638,42.64,13.675
259,Bronx,2,1624,39.518220443349755,39.3,1.18
4,Manhattan,3,50752,17.965704405737707,46.67,21.07
6,Staten Island,3,382,12.416492146596859,38.17,21.4
7,Queens,3,20149,22.67207553724751,63.09,20.66
12,Manhattan,3,12879,25.189649817532416,42.64,13.675
13,Manhattan,3,185264,23.201615586406426,32.14,19.87
17,Brooklyn,3,9128,27.519113716038564,54.78,20.23
21,Brooklyn,3,1530,33.66835294117647,48.44,23.8
24,Manhattan,3,76451,16.540772913369345,48.08,28.98
25,Brooklyn,3,15735,25.913327613600256,57.16,24.19
31,Bronx,3,254,42.199803149606296,57.14,42.86
33,Brooklyn,3,20595,26.846694343287208,34.66,40.07
34,Brooklyn,3,1628,27.098839066339067,42.64,13.675
36,Brooklyn,3,5775,28.280048484848486,62.73,27.13
40,Brooklyn,3,5172,24.995825599381284,43.64,32.96
41,Manhattan,3,84878,17.71326916279837,61.8,18.73
42,Manhattan,3,43011,21.521548906093788,61.66,16.68
45,Manhattan,3,46252,21.348744270518033,32.24,24.47
49,Brooklyn,3,8819,27.94023472048985,37.44,29.7
50,Manhattan,3,184560,16.710002925877763,39.05,18.18
52,Brooklyn,3,6569,25.132437205054043,44.55,34.14
54,Brooklyn,3,1174,29.759412265758094,35.37,42.08
55,Brooklyn,3,4144,42.221315154440155,40.4,28.48
62,Brooklyn,3,6036,27.887963883366467,61.47,21.37
65,Brooklyn,3,22335,26.570156256995745,36.18,39.51
66,Brooklyn,3,14043,26.66479099907427,44.12,29.19
74,Manhattan,3,77999,17.894288003692356,51.06,20.87
75,Manhattan,3,189703,16.39717927497193,52.76,19.23
87,Manhattan,3,169636,23.532244747577167,48.24,19.42
88,Manhattan,3,91264,24.797915497896213,38.35,27.08
95,Queens,3,7546,30.866631327855817,40.92,20.64
97,Brooklyn,3,17140,25.018670361726954,42.64,13.675
98,Queens,3,845,33.865656804733725,27.1,31.7
99,Staten Island,3,2,23.395000000000003,42.64,13.675
105,Manhattan,3,3,18.166666666666668,42.64,13.675
106,Brooklyn,3,2401,27.71607663473553,45.64,24.84
112,Brooklyn,3,11405,25.604875054800523,42.64,13.675
116,Manhattan,3,27775,21.79872187218722,66.91,22.59
121,Queens,3,2177,31.280895728066145,42.76,13.26
125,Manhattan,3,150627,16.94933677229182,53.8,17.1
128,Manhattan,3,298,31.776073825503357,42.64,13.675
133,Brooklyn,3,2075,31.377455421686747,39.53,21.93
137,Manhattan,3,319371,15.169137366886789,39.07,28.26
144,Manhattan,3,301907,17.02922707986234,34.71,35.05
145,Queens,3,31326,24.229128838664366,51.95,30.89
146,Queens,3,15277,21.280747528965108,51.53,16.88
148,Manhattan,3,327475,18.07199499198412,47.17,13.96
151,Manhattan,3,234671,15.289452680561297,44.18,39.24
152,Manhattan,3,22742,18.969024711986634,65.91,24.63
158,Manhattan,3,300212,17.240480460474597,32.95,23.72
160,Queens,3,1763,33.82068065796937,39.46,17.57
165,Brooklyn,3,3340,28.21443113772455,46.61,23.26
166,Manhattan,3,143510,17.78884551599192,22.02,22.02
178,Brooklyn,3,777,29.515585585585587,30.68,24.46
181,Brooklyn,3,14185,27.473956291857597,48.85,24.91
188,Brooklyn,3,11135,28.559923664122138,49.2,23.64
189,Brooklyn,3,5084,27.390501573564123,50.75,35.22
190,Brooklyn,3,949,27.47354056902002,42.64,13.675
193,Queens,3,13388,16.34016656707499,45.25,20.4
198,Queens,3,3112,28.079733290488434,51.09,19.57
199,Bronx,3,14,30.485714285714288,42.64,13.675
202,Manhattan,3,1830,30.940513661202186,63.06,22.45
207,Queens,3,2112,13.195629734848486,42.64,13.675
209,Manhattan,3,63263,22.551486176754185,43.56,22.91
211,Manhattan,3,242800,16.889454406919274,45.19,26.91
223,Queens,3,7778,35.6379802005657,50.3,19.93
224,Manhattan,3,45613,17.085497117049965,37.68,32.84
232,Manhattan,3,46984,21.479122467222883,39.74,19.04
240,Bronx,3,223,37.12869955156951,47.83,17.39
250,Bronx,3,1664,31.00746394230769,38.18,18.72
255,Brooklyn,3,22727,25.12362960355524,46.48,33.01
256,Brooklyn,3,15977,26.238678099768418,48.5,26.91
257,Brooklyn,3,1302,30.885291858678958,45.35,30.14
261,Manhattan,3,155890,24.048368400795432,50.0,22.68
