Area,Year,Item_clean,Value,avg_temp,average_rain_fall_mm_per_year
Argentina,1989,Potato,211882,18.04,591.0
Argentina,1990,Potato,202747,17.46,591.0
Argentina,1991,Potato,205692,17.64,591.0
Argentina,1992,Potato,199039,17.09,591.0
Argentina,1993,Potato,210314,17.32,591.0
Argentina,1994,Potato,230166,18.17,591.0
Argentina,1995,Potato,274272,17.74,591.0
Argentina,1996,Potato,228877,17.64,591.0
Argentina,1997,Potato,268502,18.29,591.0
Argentina,1998,Potato,293744,17.23,591.0
Argentina,1999,Potato,238938,17.15,591.0
Argentina,2000,Potato,277566,16.98,591.0
Argentina,2001,Potato,283768,17.71,591.0
Argentina,2002,Potato,251347,17.58,591.0
Argentina,2004,Potato,288717,17.67,591.0
Argentina,2005,Potato,283917,17.32,591.0
Argentina,2006,Potato,285828,18.1,591.0
Argentina,2007,Potato,286765,16.71,591.0
Argentina,2008,Potato,279412,17.71,591.0
Argentina,2009,Potato,284439,18.16,591.0
Argentina,2010,Potato,289849,17.33,591.0
Argentina,2011,Potato,286657,17.58,591.0
Argentina,2012,Potato,287821,18.18,591.0
Argentina,2013,Potato,288984,16.45,591.0
Armenia,1992,Potato,111301,7.44,562.0
Armenia,1993,Potato,134416,7.69,562.0
Armenia,1994,Potato,131195,8.84,562.0
Armenia,1995,Potato,131196,9.76,562.0
Armenia,1996,Potato,129626,9.55,562.0
Armenia,1997,Potato,109362,9.1,562.0
Armenia,1998,Potato,134409,10.28,562.0
Armenia,1999,Potato,130618,10.11,562.0
Armenia,2000,Potato,87349,9.68,562.0
Armenia,2001,Potato,114619,10.18,562.0
Armenia,2002,Potato,122814,9.41,562.0
Armenia,2004,Potato,161509,9.55,562.0
Armenia,2005,Potato,164459,9.58,562.0
Armenia,2006,Potato,163418,9.89,562.0
Armenia,2007,Potato,184719,9.44,562.0
Armenia,2008,Potato,189096,9.51,562.0
Armenia,2009,Potato,185496,9.67,562.0
Armenia,2010,Potato,170146,11.31,562.0
Armenia,2011,Potato,194426,8.93,562.0
Armenia,2012,Potato,207151,10.2,562.0
Armenia,2013,Potato,215290,11.08,562.0
Australia,1985,Potato,258465,16.22,534.0
Australia,1986,Potato,268489,15.96,534.0
Australia,1987,Potato,276734,16.12,534.0
Australia,1989,Potato,278547,16.35,534.0
Australia,1990,Potato,289832,16.8,534.0
Australia,1991,Potato,285359,16.78,534.0
Australia,1992,Potato,289220,15.78,534.0
Australia,1993,Potato,290981,16.71,534.0
Australia,1994,Potato,294270,16.43,534.0
Australia,1995,Potato,298183,16.14,534.0
Australia,1996,Potato,312853,16.12,534.0
Australia,1997,Potato,313056,16.48,534.0
Australia,1998,Potato,322292,16.28,534.0
Australia,1999,Potato,321265,16.77,534.0
Australia,2000,Potato,284527,17.08,534.0
Australia,2001,Potato,328633,16.63,534.0
Australia,2002,Potato,351358,16.63,534.0
Australia,2004,Potato,362787,16.64,534.0
Australia,2005,Potato,344117,16.93,534.0
Australia,2006,Potato,354317,16.75,534.0
Australia,2007,Potato,355463,17.49,534.0
Australia,2008,Potato,381224,16.7,534.0
Australia,2009,Potato,361747,17.39,534.0
Australia,2010,Potato,351334,16.72,534.0
Australia,2011,Potato,350887,16.9,534.0
Australia,2012,Potato,382592,16.84,534.0
Australia,2013,Potato,385434,17.39,534.0
Austria,1985,Potato,276305,7.35,1110.0
Austria,1986,Potato,281863,8.08,1110.0
Austria,1987,Potato,257705,7.65,1110.0
Austria,1989,Potato,260987,9.27,1110.0
Austria,1990,Potato,249854,9.23,1110.0
Austria,1991,Potato,236372,8.15,1110.0
Austria,1992,Potato,223470,9.49,1110.0
Austria,1993,Potato,284925,8.48,1110.0
Austria,1994,Potato,199650,9.89,1110.0
Austria,1995,Potato,267949,8.79,1110.0
Austria,1996,Potato,291997,7.4,1110.0
Austria,1997,Potato,288325,8.37,1110.0
Austria,1998,Potato,283064,9.01,1110.0
Austria,1999,Potato,307044,9.17,1110.0
Austria,2000,Potato,292627,10.08,1110.0
Austria,2001,Potato,300394,8.75,1110.0
Austria,2002,Potato,303832,9.62,1110.0
Austria,2004,Potato,316117,8.76,1110.0
Austria,2005,Potato,343985,8.6,1110.0
Austria,2006,Potato,298641,9.13,1110.0
Austria,2007,Potato,294931,10.03,1110.0
Austria,2008,Potato,331993,9.96,1110.0
Austria,2009,Potato,324947,9.48,1110.0
Austria,2010,Potato,305703,8.36,1110.0
Austria,2011,Potato,357127,9.42,1110.0
Austria,2012,Potato,305491,9.42,1110.0
Austria,2013,Potato,285897,10.03,1110.0
Azerbaijan,1992,Potato,82701,10.93,447.0
Azerbaijan,1993,Potato,78059,10.53,447.0
Azerbaijan,1994,Potato,82623,11.32,447.0
Azerbaijan,1995,Potato,97450,12.81,447.0
Azerbaijan,1996,Potato,101359,11.96,447.0
Azerbaijan,1997,Potato,82711,11.89,447.0
Azerbaijan,1998,Potato,95259,12.79,447.0
Azerbaijan,1999,Potato,95214,12.74,447.0
Azerbaijan,2000,Potato,89357,12.61,447.0
Azerbaijan,2001,Potato,109774,12.97,447.0
Azerbaijan,2002,Potato,121132,12.45,447.0
Azerbaijan,2004,Potato,141416,12.76,447.0
Azerbaijan,2005,Potato,153215,12.88,447.0
Azerbaijan,2006,Potato,149497,12.66,447.0
Azerbaijan,2007,Potato,154570,12.75,447.0
Azerbaijan,2008,Potato,156430,12.3,447.0
Azerbaijan,2009,Potato,149950,12.6,447.0
Azerbaijan,2010,Potato,144945,13.85,447.0
Azerbaijan,2011,Potato,143973,11.79,447.0
Azerbaijan,2012,Potato,146740,13.0,447.0
Azerbaijan,2013,Potato,151999,14.12,447.0
Bahamas,1987,Maize,13636,25.23,1292.0
Bahamas,1992,Maize,16667,25.1,1292.0
Bahamas,1993,Maize,16000,25.26,1292.0
Bahamas,1994,Maize,17931,25.73,1292.0
Bahamas,1995,Maize,17931,25.44,1292.0
Bahamas,1996,Maize,17931,25.06,1292.0
Bahamas,1997,Maize,17400,25.81,1292.0
Bahamas,1998,Maize,19842,25.94,1292.0
Bahamas,1999,Maize,21657,25.31,1292.0
Bahamas,2000,Maize,24762,25.16,1292.0
Bahamas,2001,Maize,30000,25.23,1292.0
Bahamas,2002,Maize,30500,25.79,1292.0
Bahamas,2004,Maize,35500,25.46,1292.0
Bahamas,2005,Maize,36000,25.43,1292.0
Bahamas,2006,Maize,38000,25.34,1292.0
Bahamas,2007,Maize,40000,25.71,1292.0
Bahamas,2008,Maize,47619,25.63,1292.0
Bahamas,2009,Maize,60000,25.46,1292.0
Bahamas,2010,Maize,75333,24.77,1292.0
Bahamas,2011,Maize,73085,25.76,1292.0
Bahamas,2012,Maize,73404,25.46,1292.0
Bahamas,2013,Maize,74465,25.88,1292.0
Bahrain,1985,Potato,120000,26.14,83.0
Bahrain,1986,Potato,148000,26.25,83.0
Bahrain,1987,Potato,170000,26.58,83.0
Bahrain,1989,Potato,160000,25.96,83.0
Bahrain,1990,Potato,186667,26.26,83.0
Bahrain,1991,Potato,206667,25.73,83.0
Bahrain,1992,Potato,188000,25.09,83.0
Bahrain,1993,Potato,162857,26.09,83.0
Bahrain,1994,Potato,147500,26.66,83.0
Bahrain,1995,Potato,166667,26.18,83.0
Bahrain,1996,Potato,125000,26.76,83.0
Bahrain,1997,Potato,160000,26.11,83.0
Bahrain,1998,Potato,160000,27.54,83.0
Bahrain,1999,Potato,100000,27.67,83.0
Bahrain,2000,Potato,103333,26.99,83.0
Bahrain,2001,Potato,110000,27.36,83.0
Bahrain,2002,Potato,190000,27.19,83.0
Bahrain,2004,Potato,180000,27.07,83.0
Bahrain,2005,Potato,100000,26.89,83.0
Bahrain,2006,Potato,130000,27.15,83.0
Bahrain,2007,Potato,255556,27.13,83.0
Bahrain,2008,Potato,210000,26.96,83.0
Bahrain,2009,Potato,166667,27.24,83.0
Bahrain,2010,Potato,155598,28.0,83.0
Bahrain,2011,Potato,171162,27.01,83.0
Bahrain,2012,Potato,177812,27.45,83.0
Bahrain,2013,Potato,179569,27.86,83.0
Bangladesh,1985,Potato,104186,26.16,2666.0
Bangladesh,1986,Potato,101724,26.03,2666.0
Bangladesh,1987,Potato,100535,26.4,2666.0
Bangladesh,1989,Potato,97860,26.05,2666.0
Bangladesh,1990,Potato,91410,25.98,2666.0
Bangladesh,1991,Potato,99868,25.85,2666.0
Bangladesh,1992,Potato,107931,25.86,2666.0
Bangladesh,1993,Potato,106787,25.73,2666.0
Bangladesh,1994,Potato,109570,25.91,2666.0
Bangladesh,1995,Potato,111665,26.09,2666.0
Bangladesh,1996,Potato,112741,26.15,2666.0
Bangladesh,1997,Potato,112551,25.55,2666.0
Bangladesh,1998,Potato,113972,26.13,2666.0
Bangladesh,1999,Potato,112810,26.31,2666.0
Bangladesh,2000,Potato,120591,25.91,2666.0
Bangladesh,2001,Potato,129163,25.93,2666.0
Bangladesh,2002,Potato,126010,26.1,2666.0
Bangladesh,2004,Potato,144313,26.14,2666.0
Bangladesh,2005,Potato,148805,26.19,2666.0
Bangladesh,2006,Potato,143848,26.44,2666.0
Bangladesh,2007,Potato,149768,25.95,2666.0
Bangladesh,2008,Potato,165373,26.0,2666.0
Bangladesh,2009,Potato,133367,26.54,2666.0
Bangladesh,2010,Potato,182299,26.65,2666.0
Bangladesh,2011,Potato,180931,25.8,2666.0
Bangladesh,2012,Potato,190627,26.28,2666.0
Bangladesh,2013,Potato,193790,26.59,2666.0
Belarus,1992,Potato,115326,6.74,618.0
Belarus,1993,Potato,155463,5.61,618.0
Belarus,1994,Potato,118235,6.26,618.0
Belarus,1995,Potato,131092,6.68,618.0
Belarus,1996,Potato,151328,5.32,618.0
Belarus,1997,Potato,99173,5.98,618.0
Belarus,1998,Potato,108971,6.11,618.0
Belarus,1999,Potato,113330,7.38,618.0
Belarus,2000,Potato,131888,7.52,618.0
Belarus,2001,Potato,122132,6.71,618.0
Belarus,2002,Potato,134922,7.34,618.0
Belarus,2004,Potato,195459,6.49,618.0
Belarus,2005,Potato,177299,6.53,618.0
Belarus,2006,Potato,191956,6.6,618.0
Belarus,2007,Potato,211948,7.51,618.0
Belarus,2008,Potato,220735,7.75,618.0
Belarus,2009,Potato,186040,6.75,618.0
Belarus,2010,Potato,213518,6.71,618.0
Belarus,2011,Potato,209564,7.29,618.0
Belarus,2012,Potato,208131,6.33,618.0
Belarus,2013,Potato,193536,7.83,618.0
Belgium,2000,Potato,444058,11.37,847.0
Belgium,2001,Potato,412267,10.94,847.0
Belgium,2002,Potato,471475,11.44,847.0
Belgium,2004,Potato,483955,10.94,847.0
Belgium,2005,Potato,428135,11.16,847.0
Belgium,2006,Potato,385452,11.48,847.0
Belgium,2007,Potato,469491,11.52,847.0
Belgium,2008,Potato,460711,10.9,847.0
Belgium,2009,Potato,447083,11.0,847.0
Belgium,2010,Potato,422676,9.74,847.0
Belgium,2011,Potato,501412,11.69,847.0
Belgium,2012,Potato,454233,10.68,847.0
Belgium,2013,Potato,454642,10.36,847.0
Botswana,1985,Wheat,20000,19.68,416.0
Botswana,1986,Wheat,20000,19.54,416.0
Botswana,1987,Wheat,20000,20.02,416.0
Botswana,1989,Wheat,20000,18.94,416.0
Botswana,1990,Wheat,26178,19.54,416.0
Botswana,1991,Wheat,22464,19.29,416.0
Botswana,1992,Wheat,21653,20.59,416.0
Botswana,1993,Wheat,20843,19.97,416.0
Botswana,1994,Wheat,20032,19.26,416.0
Botswana,1995,Wheat,19222,19.96,416.0
Botswana,1996,Wheat,19009,19.1,416.0
Botswana,1997,Wheat,17235,19.26,416.0
Botswana,1998,Wheat,16667,20.05,416.0
Botswana,1999,Wheat,16337,20.24,416.0
Botswana,2000,Wheat,15878,18.97,416.0
Botswana,2001,Wheat,15714,19.36,416.0
Botswana,2002,Wheat,14563,19.89,416.0
Botswana,2004,Wheat,12692,19.41,416.0
Botswana,2005,Sorghum,18316,20.42,416.0
Botswana,2006,Wheat,10452,18.97,416.0
Botswana,2007,Sorghum,9979,19.71,416.0
Botswana,2008,Wheat,8000,19.63,416.0
Botswana,2009,Sorghum,5042,19.25,416.0
Botswana,2010,Sorghum,5701,19.98,416.0
Botswana,2011,Sorghum,6690,19.19,416.0
Botswana,2012,Sorghum,6779,19.83,416.0
Botswana,2013,Sorghum,3168,18.69,416.0
Brazil,1985,Potato,125401,21.39,1761.0
Brazil,1986,Potato,114020,21.84,1761.0
Brazil,1987,Potato,132362,22.05,1761.0
Brazil,1989,Potato,135867,21.13,1761.0
Brazil,1990,Potato,141084,21.88,1761.0
Brazil,1991,Potato,140264,21.43,1761.0
Brazil,1992,Potato,140432,21.35,1761.0
Brazil,1993,Potato,146090,21.94,1761.0
Brazil,1994,Potato,144802,21.91,1761.0
Brazil,1995,Potato,152304,22.07,1761.0
Brazil,1996,Potato,146506,21.56,1761.0
Brazil,1997,Potato,152748,21.91,1761.0
Brazil,1998,Potato,156439,22.35,1761.0
Brazil,1999,Potato,164604,21.59,1761.0
Brazil,2000,Potato,171813,21.69,1761.0
Brazil,2001,Potato,184997,22.14,1761.0
Brazil,2002,Potato,194038,22.5,1761.0
Brazil,2004,Potato,213525,21.59,1761.0
Brazil,2005,Potato,220095,22.05,1761.0
Brazil,2006,Potato,223802,21.82,1761.0
Brazil,2007,Potato,240356,22.19,1761.0
Brazil,2008,Potato,253729,21.86,1761.0
Brazil,2009,Potato,248299,22.25,1761.0
Brazil,2010,Potato,258859,22.12,1761.0
Brazil,2011,Potato,262528,21.74,1761.0
Brazil,2012,Potato,274457,22.16,1761.0
Brazil,2013,Potato,277517,21.59,1761.0
Bulgaria,1985,Potato,110274,8.46,608.0
Bulgaria,1986,Potato,124355,8.74,608.0
Bulgaria,1987,Potato,86430,8.64,608.0
Bulgaria,1989,Potato,137617,9.03,608.0
Bulgaria,1990,Potato,104986,9.51,608.0
Bulgaria,1991,Potato,117017,8.14,608.0
Bulgaria,1992,Potato,118262,9.07,608.0
Bulgaria,1993,Potato,90807,9.0,608.0
Bulgaria,1994,Potato,105070,10.23,608.0
Bulgaria,1995,Potato,116617,8.69,608.0
Bulgaria,1996,Potato,80623,8.44,608.0
Bulgaria,1997,Potato,104537,8.26,608.0
Bulgaria,1998,Potato,94041,9.16,608.0
Bulgaria,1999,Potato,108475,9.67,608.0
Bulgaria,2000,Potato,75262,9.9,608.0
Bulgaria,2001,Potato,123921,9.55,608.0
Bulgaria,2002,Potato,120894,9.6,608.0
Bulgaria,2004,Potato,186855,9.18,608.0
Bulgaria,2005,Potato,156448,8.58,608.0
Bulgaria,2006,Potato,157758,9.08,608.0
Bulgaria,2007,Potato,133197,10.23,608.0
Bulgaria,2008,Potato,162618,9.9,608.0
Bulgaria,2009,Potato,165508,9.74,608.0
Bulgaria,2010,Potato,181967,9.65,608.0
Bulgaria,2011,Potato,143236,9.17,608.0
Bulgaria,2012,Potato,101515,9.99,608.0
Bulgaria,2013,Potato,146125,11.26,608.0
Burkina Faso,1985,Potato,62158,28.42,748.0
Burkina Faso,1986,Potato,61253,28.25,748.0
Burkina Faso,1987,Potato,69947,29.09,748.0
Burkina Faso,1989,Potato,64033,28.11,748.0
Burkina Faso,1990,Potato,61985,28.77,748.0
Burkina Faso,1991,Potato,61898,28.4,748.0
Burkina Faso,1992,Potato,60637,28.06,748.0
Burkina Faso,1993,Potato,62308,28.58,748.0
Burkina Faso,1994,Potato,61538,28.0,748.0
Burkina Faso,1995,Potato,62500,28.46,748.0
Burkina Faso,1996,Potato,28605,28.74,748.0
Burkina Faso,1997,Potato,23981,28.52,748.0
Burkina Faso,1998,Potato,24321,28.95,748.0
Burkina Faso,1999,Potato,22000,28.45,748.0
Burkina Faso,2000,Potato,21233,28.6,748.0
Burkina Faso,2001,Maize,18115,28.77,748.0
Burkina Faso,2002,Potato,20527,28.97,748.0
Burkina Faso,2004,Potato,18849,28.9,748.0
Burkina Faso,2005,Potato,20000,29.18,748.0
Burkina Faso,2006,Potato,20000,28.92,748.0
Burkina Faso,2007,Potato,20000,28.96,748.0
Burkina Faso,2008,Potato,17954,28.4,748.0
Burkina Faso,2009,Potato,18111,29.05,748.0
Burkina Faso,2010,Potato,18998,29.17,748.0
Burkina Faso,2011,Potato,19159,29.03,748.0
Burkina Faso,2012,Potato,19320,28.67,748.0
Burkina Faso,2013,Potato,19481,29.41,748.0
Burundi,1985,Potato,36364,20.99,1274.0
Burundi,1986,Potato,35593,21.05,1274.0
Burundi,1987,Potato,35750,21.67,1274.0
Burundi,1989,Potato,33462,20.73,1274.0
Burundi,1990,Potato,34836,21.15,1274.0
Burundi,1991,Potato,32454,20.97,1274.0
Burundi,1992,Potato,33357,21.31,1274.0
Burundi,1993,Potato,28125,21.17,1274.0
Burundi,1994,Potato,29453,21.25,1274.0
Burundi,1995,Potato,29691,21.55,1274.0
Burundi,1996,Potato,28825,21.18,1274.0
Burundi,1997,Potato,32397,21.51,1274.0
Burundi,1998,Potato,25950,21.56,1274.0
Burundi,1999,Potato,24393,21.01,1274.0
Burundi,2000,Potato,25242,21.32,1274.0
Burundi,2001,Potato,25757,21.24,1274.0
Burundi,2002,Potato,26760,21.45,1274.0
Burundi,2004,Potato,28732,21.71,1274.0
Burundi,2005,Potato,25483,22.29,1274.0
Burundi,2006,Potato,26176,21.83,1274.0
Burundi,2007,Potato,34521,21.28,1274.0
Burundi,2008,Potato,26273,21.29,1274.0
Burundi,2009,Potato,27711,21.42,1274.0
Burundi,2010,Potato,42521,21.75,1274.0
Burundi,2011,Potato,45493,21.23,1274.0
Burundi,2012,Potato,31165,21.44,1274.0
Burundi,2013,Potato,62252,21.53,1274.0
Cameroon,1985,Maize,16645,24.64,1604.0
Cameroon,1986,Maize,19248,24.6,1604.0
Cameroon,1987,Maize,19131,25.22,1604.0
Cameroon,1989,Potato,21108,24.65,1604.0
Cameroon,1990,Maize,18543,25.08,1604.0
Cameroon,1991,Maize,19800,24.99,1604.0
Cameroon,1992,Potato,20500,24.6,1604.0
Cameroon,1993,Potato,21111,24.9,1604.0
Cameroon,1994,Potato,19811,24.93,1604.0
Cameroon,1995,Potato,20588,25.21,1604.0
Cameroon,1996,Potato,29064,25.0,1604.0
Cameroon,1997,Potato,40329,24.98,1604.0
Cameroon,1998,Potato,53198,25.66,1604.0
Cameroon,1999,Potato,60031,24.97,1604.0
Cameroon,2000,Potato,59044,24.88,1604.0
Cameroon,2001,Potato,51674,25.01,1604.0
Cameroon,2002,Potato,39452,25.26,1604.0
Cameroon,2004,Potato,31159,25.42,1604.0
Cameroon,2005,Potato,25900,25.36,1604.0
Cameroon,2006,Potato,27330,25.39,1604.0
Cameroon,2007,Potato,26587,25.49,1604.0
Cameroon,2008,Potato,26367,25.42,1604.0
Cameroon,2009,Potato,28754,25.54,1604.0
Cameroon,2010,Potato,44088,25.7,1604.0
Cameroon,2011,Potato,73940,25.25,1604.0
Cameroon,2012,Potato,103444,25.18,1604.0
Cameroon,2013,Potato,133560,25.45,1604.0
Canada,1985,Potato,262708,6.75,537.0
Canada,1986,Potato,252736,7.09,537.0
Canada,1987,Potato,266270,7.79,537.0
Canada,1989,Potato,251214,6.3,537.0
Canada,1990,Potato,250994,8.2,537.0
Canada,1991,Potato,96637,8.13,537.0
Canada,1992,Potato,118173,6.25,537.0
Canada,1993,Potato,107674,6.48,537.0
Canada,1994,Potato,112448,6.52,537.0
Canada,1995,Potato,107859,7.19,537.0
Canada,1996,Potato,112323,6.88,537.0
Canada,1997,Potato,111195,6.72,537.0
Canada,1998,Potato,112271,9.01,537.0
Canada,1999,Potato,110517,8.29,537.0
Canada,2000,Potato,116314,6.93,537.0
Canada,2001,Potato,102703,8.47,537.0
Canada,2002,Potato,111652,8.18,537.0
Canada,2004,Potato,123630,7.02,537.0
Canada,2005,Potato,115053,7.89,537.0
Canada,2006,Potato,130482,8.66,537.0
Canada,2007,Potato,126498,7.42,537.0
Canada,2008,Potato,126065,7.5,537.0
Canada,2009,Potato,127453,7.12,537.0
Canada,2010,Potato,128373,8.64,537.0
Canada,2011,Potato,120376,8.34,537.0
Canada,2012,Potato,124735,9.24,537.0
Canada,2013,Potato,132270,9.19,537.0
Central African Republic,1985,Potato,23077,24.88,1342.0
Central African Republic,1986,Potato,23077,25.15,1342.0
Central African Republic,1987,Potato,24138,25.59,1342.0
Central African Republic,1989,Potato,26667,25.04,1342.0
Central African Republic,1990,Potato,24509,25.42,1342.0
Central African Republic,1991,Potato,25714,25.45,1342.0
Central African Republic,1992,Potato,25813,24.81,1342.0
Central African Republic,1993,Potato,25833,25.14,1342.0
Central African Republic,1994,Potato,25785,25.39,1342.0
Central African Republic,1995,Potato,25725,25.5,1342.0
Central African Republic,1996,Potato,25676,25.32,1342.0
Central African Republic,1997,Potato,25549,25.69,1342.0
Central African Republic,1998,Potato,25526,25.96,1342.0
Central African Republic,1999,Potato,25434,25.05,1342.0
Central African Republic,2000,Potato,25641,25.4,1342.0
Central African Republic,2001,Potato,24792,25.28,1342.0
Central African Republic,2002,Potato,24109,25.44,1342.0
Central African Republic,2004,Potato,20308,25.67,1342.0
Central African Republic,2005,Potato,18862,25.92,1342.0
Central African Republic,2006,Potato,15360,25.85,1342.0
Central African Republic,2007,Potato,14295,25.88,1342.0
Central African Republic,2008,Potato,13425,25.76,1342.0
Central African Republic,2009,Potato,12657,26.17,1342.0
Central African Republic,2010,Maize,16148,26.06,1342.0
Central African Republic,2011,Maize,16804,25.23,1342.0
Central African Republic,2012,Maize,17505,25.28,1342.0
Central African Republic,2013,Maize,12446,25.69,1342.0
Chile,1985,Potato,144528,13.35,1522.0
Chile,1986,Potato,150261,13.04,1522.0
Chile,1987,Potato,125985,13.53,1522.0
Chile,1989,Potato,140645,13.23,1522.0
Chile,1990,Potato,150300,12.88,1522.0
Chile,1991,Potato,142245,13.0,1522.0
Chile,1992,Potato,164033,12.93,1522.0
Chile,1993,Potato,145947,13.26,1522.0
Chile,1994,Potato,153807,13.42,1522.0
Chile,1995,Potato,152200,13.02,1522.0
Chile,1996,Potato,138900,13.16,1522.0
Chile,1997,Potato,164412,13.66,1522.0
Chile,1998,Potato,140485,13.19,1522.0
Chile,1999,Potato,164507,13.24,1522.0
Chile,2000,Potato,164821,12.99,1522.0
Chile,2001,Potato,191735,13.16,1522.0
Chile,2002,Potato,212397,12.95,1522.0
Chile,2004,Potato,192104,13.44,1522.0
Chile,2005,Potato,200600,13.06,1522.0
Chile,2006,Potato,220155,13.19,1522.0
Chile,2007,Potato,152389,12.31,1522.0
Chile,2008,Potato,172591,13.69,1522.0
Chile,2009,Potato,205101,13.04,1522.0
