RegionName,State,non_missing,total,missing_rate
Spartansburg,PA,56,240,0.766667
Carpenter,SD,56,240,0.766667
Bardwell,TX,56,240,0.766667
London,TX,56,240,0.766667
Westbrook,TX,56,240,0.766667
Mount Sterling,WI,56,240,0.766667
Yuba,WI,56,240,0.766667
Breeden,WV,56,240,0.766667
Chattaroy,WV,56,240,0.766667
Dingess,WV,56,240,0.766667
Edgarton,WV,56,240,0.766667
Matewan,WV,56,240,0.766667
Williamson,WV,56,240,0.766667
Albin,WY,56,240,0.766667
Alpaugh,CA,58,240,0.758333
Payne City,GA,58,240,0.758333
Kirkville,IA,58,240,0.758333
Williamson,IL,58,240,0.758333
Dunlap,KS,58,240,0.758333
Reeves,LA,58,240,0.758333
New Ashford,MA,58,240,0.758333
Bergland,MI,58,240,0.758333
Velda Village Hills,MO,58,240,0.758333
Garneill,MT,58,240,0.758333
Rex,NC,58,240,0.758333
Pinos Altos,NM,58,240,0.758333
East Cleveland,OH,58,240,0.758333
Holdenville,OK,58,240,0.758333
Fredericktown-Millsboro,PA,58,240,0.758333
Hargill,TX,58,240,0.758333
Crumrod,AR,60,240,0.750000
Evansville,AR,60,240,0.750000
Morrow,AR,60,240,0.750000
Seligman,AZ,60,240,0.750000
Brussels,IL,60,240,0.750000
Swans Island,ME,60,240,0.750000
Correll,MN,60,240,0.750000
Brimson,MO,60,240,0.750000
South Gifford,MO,60,240,0.750000
Velda Village,MO,60,240,0.750000
Merigold,MS,60,240,0.750000
Ewing,NE,60,240,0.750000
Marseilles,OH,60,240,0.750000
Ellsworth,PA,60,240,0.750000
Oneida,PA,60,240,0.750000
Mayesville,SC,60,240,0.750000
Coyanosa,TX,60,240,0.750000
Iraan,TX,60,240,0.750000
Lynndyl,UT,60,240,0.750000
Alum Bridge,WV,60,240,0.750000
Nome,AK,62,240,0.741667
Pindall,AR,62,240,0.741667
Paxton,FL,62,240,0.741667
Athelstan,IA,62,240,0.741667
Bellflower,IL,62,240,0.741667
Golconda,IL,62,240,0.741667
Royal Lakes,IL,62,240,0.741667
Garland,KS,62,240,0.741667
Harper,KS,62,240,0.741667
Stetson,ME,62,240,0.741667
Kinney,MN,62,240,0.741667
Annada,MO,62,240,0.741667
Dellwood,MO,62,240,0.741667
Fremont,MO,62,240,0.741667
Lithium,MO,62,240,0.741667
Inkster,ND,62,240,0.741667
Thornhurst Township,PA,62,240,0.741667
Williamstown,PA,62,240,0.741667
Blenheim,SC,62,240,0.741667
Pursglove,WV,62,240,0.741667
Jericho,AR,64,240,0.733333
Yoder,CO,64,240,0.733333
Delphos,IA,64,240,0.733333
Cambria,IL,64,240,0.733333
Chappell,KY,64,240,0.733333
Hoskinston,KY,64,240,0.733333
Hyden,KY,64,240,0.733333
Mozelle,KY,64,240,0.733333
Sizerock,KY,64,240,0.733333
Smilax,KY,64,240,0.733333
Stinnett,KY,64,240,0.733333
Thousandsticks,KY,64,240,0.733333
Warbranch,KY,64,240,0.733333
Wendover,KY,64,240,0.733333
Wooton,KY,64,240,0.733333
Yeaddiss,KY,64,240,0.733333
Cotton Valley,LA,64,240,0.733333
Redington,ME,64,240,0.733333
Fairfax,MO,64,240,0.733333
Rock Port,MO,64,240,0.733333
Tarkio,MO,64,240,0.733333
Watson,MO,64,240,0.733333
Westboro,MO,64,240,0.733333
Duncan,MS,64,240,0.733333
Brunswick,NE,64,240,0.733333
Bayard,NM,64,240,0.733333
Corn,OK,64,240,0.733333
Crescent Lake,OR,64,240,0.733333
Dairy,OR,64,240,0.733333
Keno,OR,64,240,0.733333
Malin,OR,64,240,0.733333
Merrill,OR,64,240,0.733333
Cuevitas,TX,64,240,0.733333
Upson,WI,64,240,0.733333
Niland,CA,66,240,0.725000
Batchtown,IL,66,240,0.725000
Hamburg,IL,66,240,0.725000
Hardin,IL,66,240,0.725000
Kampsville,IL,66,240,0.725000
Big Laurel,KY,66,240,0.725000
Essie,KY,66,240,0.725000
Doniphan,MO,66,240,0.725000
Beargrass,NC,66,240,0.725000
Arnegard,ND,66,240,0.725000
Elgin,NE,66,240,0.725000
Neligh,NE,66,240,0.725000
Oakdale,NE,66,240,0.725000
Ohiowa,NE,66,240,0.725000
Reynolds,NE,66,240,0.725000
Royal,NE,66,240,0.725000
Willow,OK,66,240,0.725000
Weston,TX,66,240,0.725000
Hiram,GA,203,720,0.718056
Comptche,CA,68,240,0.716667
Jacumba,CA,68,240,0.716667
Nelson,CA,68,240,0.716667
Kim,CO,68,240,0.716667
Beaconsfield,IA,68,240,0.716667
Derby,IA,68,240,0.716667
Pioneer,IA,68,240,0.716667
New Douglas,IL,68,240,0.716667
Belpre,KS,68,240,0.716667
Burdett,KS,68,240,0.716667
Garfield,KS,68,240,0.716667
Larned,KS,68,240,0.716667
Le Roy,KS,68,240,0.716667
Rozel,KS,68,240,0.716667
Bradford,ME,68,240,0.716667
Caswell Plantation,ME,68,240,0.716667
Edinburg,ME,68,240,0.716667
Belleview,MO,68,240,0.716667
Bixby,MO,68,240,0.716667
Louisiana,MO,68,240,0.716667
Pilot Knob,MO,68,240,0.716667
Viburnum,MO,68,240,0.716667
Nemaha,NE,68,240,0.716667
Gould,OK,68,240,0.716667
Hoffman,OK,68,240,0.716667
Lynchburg,SC,68,240,0.716667
Dayton Lakes,TX,68,240,0.716667
Lukeville,AZ,70,240,0.708333
Popejoy,IA,70,240,0.708333
Cullison,KS,70,240,0.708333
Culver,KS,70,240,0.708333
Piqua,KS,70,240,0.708333
Sawyer,KS,70,240,0.708333
Concord,KY,70,240,0.708333
Hall Summit,LA,70,240,0.708333
Weston,MI,70,240,0.708333
Peace Valley,MO,70,240,0.708333
Leeds,ND,70,240,0.708333
Maddock,ND,70,240,0.708333
Graysville,OH,70,240,0.708333
Lewisville,OH,70,240,0.708333
Hanna,OK,70,240,0.708333
Greenhorn,OR,70,240,0.708333
Martin,SC,70,240,0.708333
Wasta,SD,70,240,0.708333
Big Oak Flat,CA,72,240,0.700000
Columbia,CA,72,240,0.700000
Jamestown,CA,72,240,0.700000
Long Barn,CA,72,240,0.700000
Mi Wuk Village,CA,72,240,0.700000
Miranda,CA,72,240,0.700000
Petrolia,CA,72,240,0.700000
Pinecrest,CA,72,240,0.700000
Soulsbyville,CA,72,240,0.700000
Strawberry,CA,72,240,0.700000
Tuolumne,CA,72,240,0.700000
Yorklyn,DE,72,240,0.700000
Sparr,FL,72,240,0.700000
Benton,IA,72,240,0.700000
Montpelier,IA,72,240,0.700000
Rock Falls,IA,72,240,0.700000
Thayer,IA,72,240,0.700000
Bowen,IL,72,240,0.700000
Cahokia,IL,72,240,0.700000
Ingraham,IL,72,240,0.700000
Iola,IL,72,240,0.700000
Sailor Springs,IL,72,240,0.700000
Riley,IN,72,240,0.700000
Dwight,KS,72,240,0.700000
Severance,KS,72,240,0.700000
Wilson,KS,72,240,0.700000
Lost Creek,KY,72,240,0.700000
Belmont,LA,72,240,0.700000
Clarks,LA,72,240,0.700000
Creole,LA,72,240,0.700000
Fisher,LA,72,240,0.700000
Pioneer,LA,72,240,0.700000
Lowell,ME,72,240,0.700000
Curtis,MI,72,240,0.700000
Barry,MN,72,240,0.700000
Johnson,MN,72,240,0.700000
Cross Timbers,MO,72,240,0.700000
Hermitage,MO,72,240,0.700000
Marthasville,MO,72,240,0.700000
Noble,MO,72,240,0.700000
Preston,MO,72,240,0.700000
Tiff City,MO,72,240,0.700000
Weaubleau,MO,72,240,0.700000
Wheatland,MO,72,240,0.700000
Bellefontaine,MS,72,240,0.700000
Big Creek,MS,72,240,0.700000
Eden,MS,72,240,0.700000
Cherokee,NC,72,240,0.700000
Lakeview,NC,72,240,0.700000
Winfall,NC,72,240,0.700000
Carrington,ND,72,240,0.700000
Grassy Butte,ND,72,240,0.700000
Saint Michael,ND,72,240,0.700000
Watford City,ND,72,240,0.700000
Rosalie,NE,72,240,0.700000
Broadview,NM,72,240,0.700000
Tererro,NM,72,240,0.700000
Town Of Wheatfield,NY,72,240,0.700000
Grant,OK,72,240,0.700000
Emporium,PA,72,240,0.700000
Nisland,SD,72,240,0.700000
Grandfalls,TX,72,240,0.700000
Rocksprings,TX,72,240,0.700000
Frankville,AL,74,240,0.691667
Millry,AL,74,240,0.691667
Rinard,IA,74,240,0.691667
Albion,IL,74,240,0.691667
West Salem,IL,74,240,0.691667
Ellsworth,KS,74,240,0.691667
Harveyville,KS,74,240,0.691667
Holyrood,KS,74,240,0.691667
Kanopolis,KS,74,240,0.691667
Lorraine,KS,74,240,0.691667
Waite,ME,74,240,0.691667
Ford City,MO,74,240,0.691667
Belzoni,MS,74,240,0.691667
Tremont City,OH,74,240,0.691667
Ironside,OR,74,240,0.691667
Coal Center,PA,37,120,0.691667
Waubay,SD,74,240,0.691667
Webster,SD,74,240,0.691667
Stonington,CT,188,600,0.686667
Chatom,AL,76,240,0.683333
Fruitdale,AL,76,240,0.683333
Saint Stephens,AL,76,240,0.683333
Sunflower,AL,76,240,0.683333
Beedeville,AR,76,240,0.683333
Dennis,KS,76,240,0.683333
Labette,KS,76,240,0.683333
Menlo,KS,76,240,0.683333
Rexford,KS,76,240,0.683333
Betsy Layne,KY,76,240,0.683333
Weeksbury,KY,76,240,0.683333
Robeline,LA,76,240,0.683333
Beddington,ME,76,240,0.683333
Caspian,MI,76,240,0.683333
Castle Point,MO,76,240,0.683333
Edmundson,MO,76,240,0.683333
Eminence,MO,76,240,0.683333
Newcastle,NE,76,240,0.683333
Leon,OK,76,240,0.683333
Shippen Township,PA,76,240,0.683333
Big Wells,TX,76,240,0.683333
Dougherty,TX,76,240,0.683333
Cedar Grove,WV,76,240,0.683333
Innsbrook,MO,77,240,0.679167
Westport,CT,155,480,0.677083
Deer Park,AL,78,240,0.675000
McIntosh,AL,78,240,0.675000
Pine Apple,AL,78,240,0.675000
Tibbie,AL,78,240,0.675000
Vinegar Bend,AL,78,240,0.675000
Wagarville,AL,78,240,0.675000
Paraloma,AR,78,240,0.675000
Woodson,AR,78,240,0.675000
Hubbard,IA,78,240,0.675000
Taylor Springs,IL,78,240,0.675000
Coats,KS,78,240,0.675000
Colby,KS,78,240,0.675000
Gem,KS,78,240,0.675000
Levant,KS,78,240,0.675000
Mound Valley,KS,78,240,0.675000
Oakley,KS,78,240,0.675000
Radium,KS,78,240,0.675000
Coalgood,KY,78,240,0.675000
Palmetto,LA,78,240,0.675000
Chebeague Island,ME,78,240,0.675000
Maple Rapids,MI,78,240,0.675000
Big Sandy,MT,78,240,0.675000
Carter,MT,78,240,0.675000
Floweree,MT,78,240,0.675000
Fort Benton,MT,78,240,0.675000
Geraldine,MT,78,240,0.675000
Highwood,MT,78,240,0.675000
Loma,MT,78,240,0.675000
Upham,ND,78,240,0.675000
Allen,NE,78,240,0.675000
Concord,NE,78,240,0.675000
Dixon,NE,78,240,0.675000
Martinsburg,NE,78,240,0.675000
Ponca,NE,78,240,0.675000
Waterbury,NE,78,240,0.675000
Alloway,NJ,78,240,0.675000
Carneys Point,NJ,78,240,0.675000
Elmer,NJ,78,240,0.675000
Lower Alloways Creek Township,NJ,78,240,0.675000
Olivet,NJ,78,240,0.675000
Penns Grove,NJ,78,240,0.675000
Pennsville,NJ,78,240,0.675000
Pilesgrove,NJ,78,240,0.675000
Salem,NJ,78,240,0.675000
Upper Pittsgrove Township,NJ,78,240,0.675000
Winslow Township,NJ,78,240,0.675000
Woodstown,NJ,78,240,0.675000
Roscoe,NY,78,240,0.675000
Buffalo,OK,78,240,0.675000
May,OK,78,240,0.675000
Rosston,OK,78,240,0.675000
New Ringgold,PA,78,240,0.675000
Lago,TX,78,240,0.675000
Lakeview,TX,78,240,0.675000
Lincoln Park,TX,39,120,0.675000
Memphis,TX,78,240,0.675000
Millsap,TX,78,240,0.675000
Perryton,TX,78,240,0.675000
Pyote,TX,78,240,0.675000
Ranchos Penitas West,TX,78,240,0.675000
Turkey,TX,78,240,0.675000
Mount Hope,WV,78,240,0.675000
Blue Eye,AR,80,240,0.666667
Sweet Home,AR,80,240,0.666667
Manchester,KS,80,240,0.666667
Linefork,KY,80,240,0.666667
Melvin,KY,80,240,0.666667
Northfield,ME,80,240,0.666667
Georgetown,MN,80,240,0.666667
Garrison,NE,80,240,0.666667
Hachita,NM,80,240,0.666667
Mimbres,NM,80,240,0.666667
Tuscarora,NV,80,240,0.666667
Klingerstown,PA,80,240,0.666667
Ashton,SD,80,240,0.666667
Brentford,SD,80,240,0.666667
Bryant,SD,80,240,0.666667
Conde,SD,80,240,0.666667
Doland,SD,80,240,0.666667
Frankfort,SD,80,240,0.666667
Mellette,SD,80,240,0.666667
Northville,SD,80,240,0.666667
Redfield,SD,80,240,0.666667
Tulare,SD,80,240,0.666667
Turton,SD,80,240,0.666667
Del Mar Heights,TX,80,240,0.666667
Fredonia,TX,80,240,0.666667
Spofford,TX,80,240,0.666667
Alamogordo,NM,203,600,0.661667
Vandiver,AL,82,240,0.658333
Rowan,IA,82,240,0.658333
Lincoln,ME,82,240,0.658333
Wellington,ME,82,240,0.658333
Plummer,MN,82,240,0.658333
Kinloch,MO,82,240,0.658333
Paynesville,MO,82,240,0.658333
Winona,MO,82,240,0.658333
Scottville,NC,82,240,0.658333
Anselmo,NE,82,240,0.658333
Berwyn,NE,82,240,0.658333
Broken Bow,NE,82,240,0.658333
Callaway,NE,82,240,0.658333
Mason City,NE,82,240,0.658333
Merna,NE,82,240,0.658333
Oconto,NE,82,240,0.658333
Ribera,NM,82,240,0.658333
Finley,OK,82,240,0.658333
Rattan,OK,82,240,0.658333
Snow,OK,82,240,0.658333
Talala,OK,82,240,0.658333
Fork,SC,82,240,0.658333
Pelzer,SC,82,240,0.658333
West Allis,WI,250,720,0.652778
Derby,CT,167,480,0.652083
Norton,MA,167,480,0.652083
Anthonyville,AR,84,240,0.650000
Ponca,AR,84,240,0.650000
Tupelo,AR,84,240,0.650000
Berkley,IA,84,240,0.650000
Union,IA,84,240,0.650000
White City,KS,84,240,0.650000
Fort Knox,KY,84,240,0.650000
Lynch,KY,84,240,0.650000
Newellton,LA,84,240,0.650000
Showell,MD,84,240,0.650000
Barnard Plantation,ME,84,240,0.650000
Dyer Brook,ME,84,240,0.650000
Masardis,ME,84,240,0.650000
Moose River,ME,84,240,0.650000
Birch Tree,MO,84,240,0.650000
Gatewood,MO,84,240,0.650000
Tecumseh,MO,84,240,0.650000
Colstrip,MT,84,240,0.650000
Forsyth,MT,84,240,0.650000
Rosebud,MT,84,240,0.650000
Center,NE,84,240,0.650000
West Alexander,PA,84,240,0.650000
Lueders,TX,84,240,0.650000
Marshall,WA,84,240,0.650000
Saint Joe,AR,86,240,0.641667
Camp Meeker,CA,86,240,0.641667
Bowers,DE,86,240,0.641667
Mount Carmel,IL,86,240,0.641667
Summerfield,IL,86,240,0.641667
Altamont,KS,86,240,0.641667
Bartlett,KS,86,240,0.641667
Chetopa,KS,86,240,0.641667
Edna,KS,86,240,0.641667
Lucas,KS,86,240,0.641667
Oswego,KS,86,240,0.641667
Parkerville,KS,86,240,0.641667
Parsons,KS,86,240,0.641667
Wilsey,KS,86,240,0.641667
Buras,LA,86,240,0.641667
Carville,LA,86,240,0.641667
Ashland,ME,86,240,0.641667
Deer Isle,ME,86,240,0.641667
Franklin,ME,86,240,0.641667
Summit,ME,86,240,0.641667
Pullman,MI,86,240,0.641667
Naytahwaush,MN,86,240,0.641667
Red Lake Falls,MN,86,240,0.641667
Shelly,MN,86,240,0.641667
Brownwood,MO,86,240,0.641667
Lock Springs,MO,86,240,0.641667
Davenport,NE,86,240,0.641667
Niobrara,NE,86,240,0.641667
Nora,NE,86,240,0.641667
Verdigre,NE,86,240,0.641667
Winnetoon,NE,86,240,0.641667
Garfield,NM,86,240,0.641667
West Millgrove,OH,86,240,0.641667
Locustdale,PA,86,240,0.641667
Griffithsville,WV,86,240,0.641667
Handley,WV,86,240,0.641667
Sod,WV,86,240,0.641667
Sumerco,WV,86,240,0.641667
West Hamlin,WV,86,240,0.641667
Yawkey,WV,86,240,0.641667
Jennings,MO,174,480,0.637500
Ben Lomond,AR,88,240,0.633333
Ogden,AR,88,240,0.633333
Howell,GA,88,240,0.633333
Plover,IA,88,240,0.633333
Stanley,ID,88,240,0.633333
East Carondelet,IL,88,240,0.633333
Langdon,KS,88,240,0.633333
Mount Olivet,KY,88,240,0.633333
Ebeemee,ME,88,240,0.633333
Indian Township Indian Reservation,ME,88,240,0.633333
Moscow,ME,88,240,0.633333
No 21 Plantation,ME,88,240,0.633333
Phillips,ME,88,240,0.633333
Portage,ME,88,240,0.633333
Bakersfield,MO,88,240,0.633333
Gainesville,MO,88,240,0.633333
Isabella,MO,88,240,0.633333
Mill Spring,MO,88,240,0.633333
Pontiac,MO,88,240,0.633333
Sundown,MO,88,240,0.633333
Theodosia,MO,88,240,0.633333
Thornfield,MO,88,240,0.633333
Udall,MO,88,240,0.633333
Wasola,MO,88,240,0.633333
Bentonia,MS,88,240,0.633333
McFarlan,NC,88,240,0.633333
Bayard,NE,88,240,0.633333
Bazile Mills,NE,88,240,0.633333
Bloomfield,NE,88,240,0.633333
Creighton,NE,88,240,0.633333
Lisco,NE,88,240,0.633333
Lodgepole,NE,88,240,0.633333
Orchard,NE,88,240,0.633333
Little Rock,SC,88,240,0.633333
Enochs,TX,88,240,0.633333
Tarpley,TX,88,240,0.633333
Frametown,WV,88,240,0.633333
Little Birch,WV,88,240,0.633333
Harwich,MA,178,480,0.629167
Orient,IL,90,240,0.625000
Ransom,IL,90,240,0.625000
Clifton,KS,90,240,0.625000
Morganville,KS,90,240,0.625000
Alexander,ME,90,240,0.625000
Beals,ME,90,240,0.625000
Cutler,ME,90,240,0.625000
Danforth,ME,90,240,0.625000
Clarksville,MO,90,240,0.625000
Jerome,MO,90,240,0.625000
Alliance,NE,90,240,0.625000
Angora,NE,90,240,0.625000
Bridgeport,NE,90,240,0.625000
Broadwater,NE,90,240,0.625000
Milan,NM,90,240,0.625000
Monument,OR,90,240,0.625000
Jenks Township,PA,90,240,0.625000
Kingsley Township,PA,90,240,0.625000
Point Marion,PA,90,240,0.625000
Tionesta Township,PA,90,240,0.625000
El Cenizo,TX,90,240,0.625000
South Plains,TX,90,240,0.625000
Addison (Webster Springs),WV,90,240,0.625000
Camden-On-Gauley,WV,90,240,0.625000
Erbacon,WV,90,240,0.625000
Deer,AR,92,240,0.616667
Parthenon,AR,92,240,0.616667
Johannesburg,CA,92,240,0.616667
Hudson,KS,92,240,0.616667
Palmer,KS,92,240,0.616667
Roseland,KS,92,240,0.616667
St. John,KS,92,240,0.616667
Stafford,KS,92,240,0.616667
Elizabeth,LA,92,240,0.616667
West Ferriday,LA,92,240,0.616667
Blanchard Plantation,ME,92,240,0.616667
Eolia,MO,92,240,0.616667
Northwoods,MO,92,240,0.616667
Vinita Terrace,MO,92,240,0.616667
Hunter,ND,92,240,0.616667
Santa Rosa,NM,92,240,0.616667
Baker,NV,92,240,0.616667
Robertsville,OH,92,240,0.616667
Calvin,OK,92,240,0.616667
Stuart,OK,92,240,0.616667
Midland,PA,92,240,0.616667
Danese,WV,92,240,0.616667
Winona,WV,92,240,0.616667
Southbury,CT,186,480,0.612500
Twain Harte,CA,140,360,0.611111
Fruithurst,AL,94,240,0.608333
Fulton,AR,94,240,0.608333
Hasty,AR,94,240,0.608333
Keo,AR,94,240,0.608333
Mount Judea,AR,94,240,0.608333
Vendor,AR,94,240,0.608333
Beaverville,IL,94,240,0.608333
Clay Center,KS,94,240,0.608333
Wakefield,KS,94,240,0.608333
Starks,LA,94,240,0.608333
Hammond Plantation,ME,94,240,0.608333
Trescott,ME,94,240,0.608333
Brooks,MN,94,240,0.608333
Bosworth,MO,94,240,0.608333
Couch,MO,94,240,0.608333
Powell,MO,94,240,0.608333
Princeton,MO,94,240,0.608333
Adams,ND,94,240,0.608333
Dwight,ND,94,240,0.608333
Jud,ND,94,240,0.608333
McLeod,ND,94,240,0.608333
Woodworth,ND,94,240,0.608333
Gerlach,NV,94,240,0.608333
Gadsden,SC,94,240,0.608333
Lennox,SD,94,240,0.608333
Spearman,TX,94,240,0.608333
Whitewood,VA,94,240,0.608333
Honeydew,CA,96,240,0.600000
Weott,CA,96,240,0.600000
Black Forest,CO,144,360,0.600000
Somers,CT,96,240,0.600000
Knoxville,GA,96,240,0.600000
Cotter,IA,96,240,0.600000
Prescott,IA,96,240,0.600000
Webbville,KY,96,240,0.600000
Montpelier,LA,96,240,0.600000
Saint James,LA,96,240,0.600000
Waterproof,LA,96,240,0.600000
Freetown,MA,96,240,0.600000
Eagle Harbor,MD,96,240,0.600000
Germfask,MI,96,240,0.600000
Avoca,MN,96,240,0.600000
Birchdale,MN,96,240,0.600000
Hadley,MN,96,240,0.600000
Annapolis,MO,96,240,0.600000
Arcadia,MO,96,240,0.600000
