Username,gender,Retweet Count,Follower Count,max_jaccard_score
holderlindsey,unknown,44,3304,0.1538
bradfordsamuel,unknown,62,939,0.0714
franciseric,unknown,0,7421,0.0833
cookeric,unknown,83,1946,0.0952
urodriguez,unknown,19,7292,0.1053
nlopez,unknown,45,9583,0.0952
marshallerin,unknown,90,7363,0.1429
fprice,unknown,10,8556,0.0909
robinwatts,unknown,83,8837,0.1429
dgarcia,unknown,48,547,0.125
williamrocha,unknown,26,8341,0.0909
lmedina,unknown,17,2256,0.1176
patelmartin,unknown,11,7732,0.1429
zjohnson,unknown,52,1759,0.1304
lisa14,unknown,3,7168,0.2
allenmark,unknown,68,1945,0.1333
gmartinez,unknown,100,37,0.1111
morrowjacqueline,unknown,5,3740,0.0833
davidwoods,unknown,32,1336,0.0909
smithashley,unknown,50,6316,0.0769
wardjennifer,unknown,33,8617,0.0952
blake50,unknown,7,5749,0.1
joyreid,unknown,61,9357,0.1538
smithricky,unknown,66,9452,0.1
hwu,unknown,100,7159,0.1818
guzmandeanna,unknown,68,3436,0.125
andersonsteven,unknown,98,1735,0.0741
gonzalezdenise,unknown,69,5501,0.0769
fgonzalez,unknown,51,2213,0.2222
nthornton,unknown,87,4323,0.1111
millerkatrina,unknown,49,448,0.1429
myerstimothy,unknown,90,2324,0.1154
jameslarson,unknown,16,9214,0.1538
kirkbaker,unknown,28,5823,0.2
youngjo,unknown,65,265,0.1071
catherinebates,unknown,91,7128,0.0909
yjohnston,unknown,42,1429,0.0625
kevin14,unknown,79,9602,0.125
nicholasfleming,unknown,59,1188,0.1
adamgray,unknown,29,9695,0.0769
nicolehiggins,unknown,39,4794,0.1053
johnwilliams,unknown,86,6187,0.125
danielcole,unknown,88,8683,0.1
shaffersara,unknown,32,7792,0.1333
castillobilly,unknown,76,6669,0.125
christopherbrown,unknown,79,7709,0.0952
hbenson,unknown,61,115,0.1
anthony51,unknown,27,7526,0.1176
ashley87,unknown,69,4436,0.2
dmckinney,unknown,78,8443,0.0714
brandy84,unknown,60,5986,0.0909
xcampbell,unknown,22,1152,0.1111
lkennedy,unknown,25,7675,0.1333
ogray,unknown,49,2114,0.125
kleindarren,unknown,48,6221,0.1111
rhonda16,unknown,66,7050,0.1
jasmine22,unknown,86,8775,0.0909
tammyschultz,unknown,94,4210,0.125
howellmaria,unknown,80,1297,0.1
mjohnson,unknown,76,678,0.125
floresjennifer,unknown,74,2626,0.0952
sharonchandler,unknown,80,7654,0.1
hunterricky,unknown,94,1426,0.1053
lisataylor,unknown,23,4349,0.087
christopherstevenson,unknown,96,3594,0.0667
greenjames,unknown,81,8596,0.0909
mitchellelizabeth,unknown,39,8717,0.0833
kelliblackwell,unknown,35,5188,0.0909
riveramatthew,unknown,69,9461,0.0909
tracy57,unknown,76,9721,0.0833
lbranch,unknown,72,319,0.1
ivalencia,unknown,28,4252,0.0833
laurapugh,unknown,28,5666,0.1053
clarkangelica,unknown,73,3687,0.1429
kevin76,unknown,17,1348,0.1176
xguzman,unknown,30,1019,0.1
jaredmoore,unknown,33,2173,0.125
jennifernunez,unknown,74,7242,0.1538
tuckerjennifer,unknown,6,7552,0.1111
bjohnson,unknown,11,9879,0.1333
traviscarr,unknown,79,901,0.125
joshuahughes,unknown,61,1826,0.1176
smithbarbara,unknown,73,9334,0.1111
fhall,unknown,61,8462,0.1111
baileybishop,unknown,77,7814,0.0909
vincent32,unknown,75,8373,0.1111
kimroberts,unknown,71,6561,0.1
anthony11,unknown,0,7734,0.1
rogerschristian,unknown,6,6662,0.0769
brownchristopher,unknown,80,2121,0.1429
collinsmichael,unknown,100,4530,0.0769
urose,unknown,87,1988,0.125
michael44,unknown,27,8792,0.1333
powelljeffrey,unknown,84,9872,0.1111
james47,unknown,68,5042,0.0909
jacksonbrian,unknown,32,9488,0.0741
vboyle,unknown,25,707,0.0833
jenniferbrown,unknown,92,8803,0.1176
charlesmiller,unknown,72,4502,0.087
wwilson,unknown,92,9332,0.1667
leroygrimes,unknown,6,37,0.0952
bauerchristopher,unknown,29,6261,0.0741
henrykline,unknown,15,7538,0.1579
johnsonjames,unknown,19,4892,0.1667
linda57,unknown,94,6679,0.1111
jeffreyford,unknown,39,8772,0.1111
garciacassandra,unknown,37,8128,0.1111
rjacobson,unknown,73,6881,0.1053
xleon,unknown,16,5570,0.1333
buckleysamantha,unknown,20,7528,0.1429
adriansmith,unknown,18,1841,0.1053
lindabowman,unknown,7,141,0.0667
erikwilliams,unknown,78,6513,0.1111
torreswilliam,unknown,92,2164,0.1176
mcollins,unknown,35,5410,0.0667
kstafford,unknown,75,1758,0.1304
mitchell65,unknown,98,2338,0.1
jennifersmith,unknown,92,3145,0.087
ericreeves,unknown,33,4820,0.1667
sarahnichols,unknown,51,2949,0.1818
jonathansalazar,unknown,13,9384,0.0833
qhopkins,unknown,50,7418,0.1429
kristenramos,unknown,17,991,0.1667
dmyers,unknown,80,1401,0.1053
ortizjocelyn,unknown,94,4607,0.0909
wweiss,unknown,82,9876,0.0909
ddiaz,unknown,42,3779,0.1111
burnettsamantha,unknown,94,800,0.1333
jonathan30,unknown,40,6905,0.0833
kendra97,unknown,44,9667,0.1
ricejudith,unknown,13,8888,0.1154
ashley34,unknown,5,704,0.1053
fisherbrandi,unknown,18,7880,0.0909
ygallagher,unknown,77,8786,0.0833
anthony39,unknown,96,9228,0.1
craigtravis,unknown,97,1148,0.1538
xmorrow,unknown,77,3064,0.1
joannepeterson,unknown,16,3594,0.0645
brandon62,unknown,98,9522,0.0769
rebeccapatrick,unknown,8,6068,0.1333
sullivanjoel,unknown,37,903,0.0833
mary21,unknown,96,4908,0.1176
ayoung,unknown,93,3304,0.1538
stephanieshepherd,unknown,2,460,0.0714
jameseverett,unknown,63,9083,0.1176
sheilalee,unknown,47,2306,0.1
benjaminwhite,unknown,99,2482,0.0769
gmoreno,unknown,68,4907,0.1111
tonya36,unknown,54,3360,0.0909
todd36,unknown,91,7802,0.0714
nsawyer,unknown,77,9020,0.1304
williejones,unknown,55,8951,0.2
saundersemma,unknown,66,3161,0.0714
zcarey,unknown,89,9475,0.1333
wolfekathleen,unknown,87,835,0.1429
xshah,unknown,91,6984,0.0714
estradakaylee,unknown,12,6768,0.0909
amber95,unknown,45,4478,0.1
williamsbecky,unknown,53,9017,0.0952
nicholas37,unknown,22,7757,0.0952
jboyd,unknown,38,9008,0.0909
xdavis,unknown,28,3485,0.1875
greenricardo,unknown,51,5386,0.0952
cynthiasmith,unknown,81,8753,0.0909
zacharydavis,unknown,8,941,0.1111
kimvalenzuela,unknown,2,5389,0.1111
henryjasmine,unknown,16,9836,0.0952
kevinadams,unknown,65,651,0.0909
ejones,unknown,66,9441,0.1333
bethstanton,unknown,62,6566,0.1
melissa32,unknown,29,6217,0.125
melissa54,unknown,44,2147,0.1053
jacqueline63,unknown,40,5663,0.08
jacobjones,unknown,7,7654,0.0625
klowery,unknown,21,3337,0.1176
ghoward,unknown,18,4945,0.1111
phillipsmichael,unknown,42,7215,0.1111
darrylmills,unknown,84,2021,0.0833
rebecca90,unknown,96,6172,0.125
codydorsey,unknown,18,7316,0.1053
allenjennifer,unknown,58,6131,0.1538
debramiller,unknown,55,1489,0.0833
marvinlove,unknown,83,4707,0.0909
imartin,unknown,54,9190,0.1071
millerjamie,unknown,17,9276,0.0714
wesley50,unknown,70,107,0.0714
walkerbenjamin,unknown,6,8174,0.125
nicoleferguson,unknown,45,3276,0.1111
lorinelson,unknown,4,4185,0.1053
jellis,unknown,64,1253,0.1
wattsjoshua,unknown,29,7136,0.0769
norma88,unknown,54,5683,0.1333
sandrafields,unknown,19,6967,0.1
taraestes,unknown,73,6862,0.1429
shanson,unknown,11,5779,0.1176
gnelson,unknown,89,4110,0.1111
matthewsbrady,unknown,55,9091,0.0909
todd19,unknown,29,1610,0.0833
taylor68,unknown,14,296,0.0909
melissa06,unknown,44,1093,0.1111
angelaporter,unknown,26,2548,0.1176
jill39,unknown,64,9499,0.1176
mcclurethomas,unknown,47,3074,0.1429
bsmith,unknown,83,537,0.1429
christinecarter,unknown,96,1130,0.1333
sarah09,unknown,60,3757,0.0909
flawrence,unknown,85,2229,0.1176
gonzalesjoseph,unknown,42,3284,0.08
tammy42,unknown,17,6566,0.1176
jamesjames,unknown,27,1822,0.0667
qhoover,unknown,18,9455,0.0909
dayandrea,unknown,26,9237,0.0909
thompsonalan,unknown,4,1996,0.0714
amberrobinson,unknown,93,5837,0.1111
gibsonkevin,unknown,51,9706,0.1
mario00,unknown,21,8427,0.1111
murphyjanet,unknown,79,2115,0.1053
marybrooks,unknown,6,1739,0.1053
pattonnicolas,unknown,49,6347,0.0714
hmelton,unknown,50,1501,0.1111
andersonalexandra,unknown,31,6290,0.0714
hflynn,unknown,11,5952,0.1111
woodardcarolyn,unknown,17,7405,0.125
rossmichael,unknown,21,3088,0.0714
austin23,unknown,58,6646,0.1
iwall,unknown,70,5275,0.1
vjohnston,unknown,32,8097,0.1176
jeffreyadams,unknown,37,8027,0.0909
jennifer72,unknown,33,2942,0.125
kathyjones,unknown,32,3734,0.0909
shannonmiller,unknown,59,3616,0.0909
pierceamber,unknown,16,9538,0.1176
loganrivas,unknown,54,9161,0.0909
mendozaryan,unknown,62,4340,0.1
renee58,unknown,30,5431,0.1429
adam77,unknown,22,9304,0.1667
david55,unknown,41,7861,0.1
jason10,unknown,86,2081,0.1053
tcunningham,unknown,64,6125,0.1538
jean84,unknown,79,5803,0.0909
karen57,unknown,90,368,0.1
michael16,unknown,16,1188,0.0769
walter08,unknown,72,2577,0.1053
wfletcher,unknown,52,3457,0.1053
langkimberly,unknown,71,6788,0.1429
jayewing,unknown,41,6506,0.0769
lynnalfred,unknown,67,1506,0.125
kbarber,unknown,23,4280,0.1111
jennifer56,unknown,79,8443,0.1429
anthonyluna,unknown,40,689,0.1
wtrujillo,unknown,88,5866,0.1333
alexiskeith,unknown,79,8673,0.125
pamela17,unknown,52,786,0.1
tiffanycooper,unknown,67,2497,0.125
daniel32,unknown,59,2506,0.1053
hmarquez,unknown,92,8758,0.1111
emilyconley,unknown,5,4133,0.1053
paulwalter,unknown,85,8786,0.1
burtondon,unknown,56,2497,0.087
darrell29,unknown,87,563,0.0833
michaelvaughn,unknown,97,9975,0.0833
stephaniesanchez,unknown,30,960,0.1176
gsmith,unknown,41,7505,0.1053
elizabethmcdaniel,unknown,48,3956,0.0769
lowen,unknown,51,487,0.0909
isabellashea,unknown,97,328,0.1
lisa12,unknown,50,1660,0.0741
jessicabrown,unknown,55,9357,0.1
rebeccale,unknown,22,360,0.1111
maureensmith,unknown,8,4083,0.0909
charrison,unknown,29,8127,0.2
lsmith,unknown,62,533,0.1429
qnewman,unknown,43,5413,0.0833
robertschristopher,unknown,26,1800,0.1333
lee02,unknown,59,7936,0.0769
williamsdennis,unknown,63,2090,0.1111
sarahhowell,unknown,64,1726,0.1053
allentyler,unknown,32,958,0.0667
ubarnes,unknown,52,8961,0.1667
ashley72,unknown,87,2327,0.0909
james07,unknown,92,2485,0.1
ortizmark,unknown,19,9274,0.125
morgantodd,unknown,13,8747,0.1111
qheath,unknown,14,5078,0.1111
brandonlyons,unknown,69,3952,0.0769
michael65,unknown,90,8398,0.0909
davisjoseph,unknown,98,6234,0.1481
wigginsruben,unknown,59,9142,0.087
lunaashley,unknown,82,2759,0.0952
pdavis,unknown,35,1245,0.1
valerietaylor,unknown,84,2330,0.1
johnsongina,unknown,61,731,0.0714
arielfreeman,unknown,89,5253,0.1333
alyssawest,unknown,85,795,0.0833
petersenmichael,unknown,21,4513,0.069
nathaniel57,unknown,97,4507,0.0833
kylefranklin,unknown,97,6021,0.1
emendoza,unknown,44,1430,0.0714
roberto70,unknown,17,6457,0.1304
joanna19,unknown,46,5805,0.0952
thompsonkatherine,unknown,54,7895,0.1111
tiffany01,unknown,77,9841,0.1429
sharpjennifer,unknown,56,6102,0.0833
paulanderson,unknown,32,4264,0.1429
sandersbeth,unknown,62,63,0.1053
adam48,unknown,2,6040,0.1071
csmith,unknown,53,8862,0.1176
caroline75,unknown,1,5324,0.0769
levyaaron,unknown,72,1918,0.125
ashley16,unknown,51,392,0.1053
ericjohnson,unknown,29,130,0.0769
courtneyhendrix,unknown,20,5222,0.0952
lvang,unknown,35,390,0.1111
robertjackson,unknown,18,1974,0.0833
kristieweiss,unknown,80,6526,0.0714
xgeorge,unknown,69,2096,0.0714
vluna,unknown,63,8390,0.1
sbarr,unknown,19,7886,0.1
scottbailey,unknown,42,6522,0.2
aguirresharon,unknown,12,6070,0.1111
randallthomas,unknown,99,7171,0.0769
walkermatthew,unknown,55,8691,0.1111
destinywatkins,unknown,87,6030,0.0769
jennifer04,unknown,70,5433,0.0625
davidsoto,unknown,30,2791,0.0625
sgillespie,unknown,55,7926,0.0833
heathalexander,unknown,97,4190,0.1429
egriffin,unknown,54,7764,0.0952
amanda67,unknown,17,5326,0.1
kristin59,unknown,33,3150,0.069
kevincastillo,unknown,45,7177,0.1333
morenocynthia,unknown,4,3648,0.0833
andreawiggins,unknown,4,5160,0.2143
edavis,unknown,20,1144,0.1
dana14,unknown,42,3621,0.1111
thompsoncorey,unknown,82,5664,0.1111
bryan75,unknown,19,1923,0.1333
james62,unknown,73,8420,0.1333
barnescole,unknown,82,3279,0.087
sgonzalez,unknown,20,5059,0.0909
tthompson,unknown,50,9335,0.1111
vickihall,unknown,94,6358,0.1111
lrandolph,unknown,47,3197,0.1176
heidi87,unknown,52,4040,0.0952
robert88,unknown,38,9852,0.2
llucas,unknown,49,4449,0.125
zmartinez,unknown,13,3950,0.1111
markkrause,unknown,41,6094,0.1
michellekim,unknown,67,2176,0.1
amy27,unknown,18,2460,0.1111
oreeves,unknown,58,6190,0.2143
larsonpatricia,unknown,21,3640,0.125
xlee,unknown,80,6254,0.1053
vhess,unknown,11,8317,0.1176
jason50,unknown,0,8388,0.1053
melissawalters,unknown,71,9486,0.1111
igonzalez,unknown,70,5601,0.0714
gallen,unknown,91,7482,0.1
allenmichael,unknown,8,8440,0.0952
jameshaynes,unknown,21,9217,0.1111
maria88,unknown,19,3047,0.1429
ymartin,unknown,13,5665,0.1667
perezanthony,unknown,3,7631,0.1111
fingram,unknown,87,1062,0.1
bwilliams,unknown,22,2089,0.1818
jeffreythomas,unknown,98,517,0.1667
brownlindsey,unknown,37,375,0.125
kimberlyperry,unknown,72,1133,0.1667
cathyward,unknown,17,2387,0.1333
harrismonica,unknown,79,3768,0.1
kyleclark,unknown,19,2780,0.0909
jlyons,unknown,16,2,0.0909
amyrogers,unknown,70,1537,0.1111
kelseymcgee,unknown,19,6104,0.0909
mcarroll,unknown,32,7771,0.125
holly95,unknown,64,9997,0.1
wheelermark,unknown,59,2892,0.1538
kathleen65,unknown,95,2805,0.1
pam96,unknown,55,3992,0.1
amanda06,unknown,94,3065,0.0833
kenneth91,unknown,52,2526,0.1429
gmeyer,unknown,81,451,0.1111
margaretbaker,unknown,78,7851,0.0909
sheri79,unknown,83,1811,0.1111
paul66,unknown,89,9550,0.1111
ewingkathleen,unknown,91,1952,0.1053
obailey,unknown,52,3130,0.0625
vernon69,unknown,55,6636,0.15
williamskimberly,unknown,21,5833,0.1053
smallkimberly,unknown,28,9448,0.0952
nathan52,unknown,71,7379,0.1538
aaron62,unknown,2,3448,0.0833
phillipsphilip,unknown,16,1958,0.1538
leslie86,unknown,86,3028,0.0833
david22,unknown,63,8660,0.125
craig08,unknown,81,6070,0.0833
melissafox,unknown,58,8201,0.0588
candace47,unknown,7,3748,0.0952
kenneth48,unknown,78,6533,0.1333
morrismichelle,unknown,52,7728,0.1538
bmarks,unknown,99,682,0.1333
hunterclark,unknown,35,943,0.1053
nathaniel22,unknown,81,464,0.0769
collinsamy,unknown,89,6213,0.1176
pughmark,unknown,8,5314,0.1
msteele,unknown,87,2055,0.0833
joeldiaz,unknown,98,374,0.1333
hunterjoseph,unknown,95,7373,0.1429
jrodriguez,unknown,8,9175,0.1538
kathryn72,unknown,89,4533,0.0952
monicajohnson,unknown,73,2732,0.087
maria68,unknown,54,5013,0.0833
ramseypamela,unknown,20,5944,0.125
xdavidson,unknown,8,587,0.1
hmoore,unknown,72,5444,0.1111
michelerobinson,unknown,57,7107,0.0909
victoriagibson,unknown,35,6597,0.1176
cowanedward,unknown,29,4816,0.0833
kimberlyjenkins,unknown,20,7209,0.1429
matthew72,unknown,90,6717,0.1
xferguson,unknown,61,5338,0.1
ashleystrong,unknown,88,8656,0.087
shellyfreeman,unknown,50,3837,0.1176
matthewbrown,unknown,12,3305,0.0769
morenopatrick,unknown,77,1078,0.125
connormiller,unknown,76,4835,0.1111
tinaturner,unknown,13,4000,0.0667
walkermisty,unknown,74,6623,0.1111
justinhunt,unknown,83,644,0.0833
silvaamber,unknown,57,2725,0.0833
joan99,unknown,90,9402,0.125
theresa04,unknown,65,8477,0.0769
ambernelson,unknown,77,442,0.1053
benjamin40,unknown,7,7765,0.125
skinnerfrank,unknown,68,7578,0.0667
brendawolfe,unknown,16,8112,0.1429
murphyjessica,unknown,80,8975,0.1
clarkwilliam,unknown,90,6869,0.1
vward,unknown,96,5543,0.0909
nicole48,unknown,91,3902,0.1053
janetreed,unknown,55,9959,0.0714
stephen89,unknown,58,7849,0.125
thomassweeney,unknown,20,1285,0.1364
michael61,unknown,67,1706,0.1111
anthony90,unknown,75,5071,0.0909
holly70,unknown,96,9523,0.125
larrynavarro,unknown,85,6123,0.1538
deborahturner,unknown,13,9134,0.0769
xcase,unknown,82,8806,0.0952
michael08,unknown,76,6853,0.125
bradley14,unknown,89,938,0.1111
ugross,unknown,62,1473,0.1
ashley98,unknown,83,8796,0.1538
alanmiller,unknown,72,3511,0.0909
robert80,unknown,16,4287,0.1176
davisjacob,unknown,1,9990,0.125
melaniecardenas,unknown,14,4657,0.087
marialewis,unknown,39,5297,0.1429
jessica80,unknown,20,100,0.1176
steven58,unknown,77,9732,0.1111
edwardskerry,unknown,11,2048,0.1333
sarahvillarreal,unknown,1,2190,0.1
tyleramy,unknown,62,297,0.1667
kurtwilkins,unknown,40,2472,0.087
kathrynjohnson,unknown,8,2865,0.1538
millermark,unknown,81,4633,0.1
schroederstephanie,unknown,71,6663,0.1
qyoung,unknown,46,7465,0.0909
yvonne39,unknown,42,7837,0.1111
garrett33,unknown,14,5651,0.0741
rwagner,unknown,83,1149,0.0769
kelly66,unknown,6,2542,0.0741
kwilliams,unknown,40,7163,0.1429
skelly,unknown,27,2118,0.125
courtney75,unknown,8,2265,0.125
sjohnson,unknown,79,6900,0.1429
kelsey28,unknown,68,9233,0.087
angela52,unknown,5,8447,0.1176
cpowers,unknown,73,9430,0.0833
benjamin88,unknown,83,5964,0.1333
eroth,unknown,34,1962,0.1538
william27,unknown,41,4942,0.1
oconnelljohnny,unknown,47,9225,0.0833
rromero,unknown,88,5514,0.0769
jonestodd,unknown,68,3790,0.0909
williamssara,unknown,12,8251,0.0909
travismichael,unknown,60,3435,0.125
erica81,unknown,20,9956,0.0714
melissabell,unknown,15,7888,0.125
howard53,unknown,50,5339,0.1
lauraallen,unknown,91,4562,0.1053
adavis,unknown,69,9207,0.1667
ricky26,unknown,9,3579,0.125
mark61,unknown,45,531,0.0909
kristinafigueroa,unknown,66,7154,0.1
derekshaw,unknown,44,4498,0.1333
nelsonoscar,unknown,99,5903,0.1053
cindy33,unknown,60,2499,0.1
dfleming,unknown,23,1723,0.1667
jeremymcdaniel,unknown,12,5822,0.1429
elliottkathleen,unknown,90,9654,0.1538
lholden,unknown,65,6097,0.1
xjohnson,unknown,51,9016,0.1818
shawnritter,unknown,3,2969,0.0625
daviddrake,unknown,51,5415,0.1053
tayloraustin,unknown,82,3494,0.0714
fwilliams,unknown,68,3393,0.1667
richard64,unknown,35,513,0.08
iholland,unknown,25,291,0.0714
sherryrodriguez,unknown,96,9605,0.0909
qsteele,unknown,81,8159,0.1
scombs,unknown,11,777,0.08
stewartjesse,unknown,29,5280,0.1429
hreed,unknown,64,8373,0.1481
markfranklin,unknown,64,1579,0.0952
gmoore,unknown,17,9255,0.1429
carla53,unknown,97,6740,0.1111
gdoyle,unknown,64,3977,0.1176
patrickmargaret,unknown,78,8879,0.1111
tjohnson,unknown,77,2841,0.125
joel75,unknown,7,4710,0.125
connie31,unknown,76,5074,0.1429
moorenicole,unknown,100,7798,0.125
tnguyen,unknown,45,2530,0.1333
iwheeler,unknown,63,9968,0.1429
clarkbrittany,unknown,88,8907,0.1
swilson,unknown,20,3226,0.1176
daniel08,unknown,96,3379,0.1
wilsonkatie,unknown,5,3375,0.0952
scott14,unknown,36,8526,0.0909
halltimothy,unknown,90,4399,0.0769
tranamy,unknown,36,6072,0.0833
zbaird,unknown,61,7997,0.1538
boyleelizabeth,unknown,61,9700,0.1333
jeffrey03,unknown,89,2533,0.1538
owoods,unknown,71,1339,0.1111
molly96,unknown,71,7134,0.15
michelle17,unknown,85,3787,0.1
keithcody,unknown,36,8746,0.1
sean13,unknown,94,2753,0.1429
nicholas73,unknown,18,6760,0.1176
janetlozano,unknown,76,9449,0.1053
castilloshelly,unknown,77,9217,0.1538
richardsonjeffrey,unknown,62,7856,0.087
michael40,unknown,88,8964,0.1053
garzajames,unknown,61,5255,0.0833
moonconnie,unknown,65,8760,0.0714
nsimpson,unknown,63,1752,0.1429
grahamashlee,unknown,78,8101,0.1
morganadam,unknown,45,3153,0.0952
tinamontgomery,unknown,79,3897,0.1333
bradley31,unknown,5,5688,0.1111
hallison,unknown,34,9870,0.1
sroberts,unknown,92,9762,0.0833
andrewfowler,unknown,22,6663,0.1333
ttorres,unknown,42,6033,0.1176
amandarobertson,unknown,11,1342,0.125
davidbauer,unknown,39,4524,0.1
wrobinson,unknown,89,870,0.1053
lmorales,unknown,72,2125,0.1
kmorrison,unknown,8,9277,0.0909
henry79,unknown,81,5108,0.1111
sharonhall,unknown,78,7394,0.1818
ngonzales,unknown,46,2990,0.0833
goodwinrobin,unknown,37,3147,0.0714
dwayne10,unknown,7,9537,0.1111
rowewesley,unknown,62,2541,0.087
sarahbaldwin,unknown,44,4779,0.1333
drodriguez,unknown,17,379,0.1176
mitchellpatricia,unknown,12,838,0.125
amandacruz,unknown,84,5472,0.0909
bonnieflores,unknown,73,8488,0.1
davidmcgrath,unknown,24,756,0.1111
andersoncindy,unknown,14,2392,0.1429
michael64,unknown,11,3763,0.1
jerry61,unknown,76,7594,0.125
martinstephen,unknown,0,8857,0.0833
stevenlutz,unknown,45,4255,0.1111
lisa26,unknown,77,5533,0.12
kyle58,unknown,39,6555,0.1111
mcuevas,unknown,10,1646,0.0769
rklein,unknown,9,8018,0.1053
richardsonandres,unknown,31,5353,0.1333
julia67,unknown,86,8566,0.125
randerson,unknown,67,4137,0.1176
johnhansen,unknown,23,459,0.1538
gina10,unknown,82,783,0.0833
lucasdonna,unknown,22,2598,0.1304
davidbrown,unknown,38,6876,0.1667
smithjeffrey,unknown,91,6414,0.1
vking,unknown,22,4202,0.1333
aaron37,unknown,49,7074,0.087
gevans,unknown,9,4755,0.1176
ehall,unknown,91,6321,0.125
