data_type,feature,bins,sample_size,good,bad,bin_bad_rate,total_bad_rate,woe,bin_iv,bin_ks,iv,ksmax,lift,cum_lift
train,aft_v5_f3,"(0.0, 0.326]",139618,112067,27551,19.733%,20.454%,-0.0449,0.0004,0.0088597293,0.0027,0.0253,0.9647583881,0.9647719008
train,aft_v5_f3,"(0.326, 0.365]",139624,111871,27753,19.877%,20.454%,-0.0358,0.0003,0.0159518664,0.0027,0.0253,0.9717900968,0.96828788
train,aft_v5_f3,"(0.365, 0.394]",139625,112126,27499,19.695%,20.454%,-0.0473,0.0004,0.025282006,0.0027,0.0253,0.9628892184,0.9664927874
train,aft_v5_f3,"(0.394, 0.424]",139624,109361,30263,21.675%,20.454%,0.0734,0.0011,0.0102762437,0.0027,0.0253,1.059679447,0.9897933715
train,aft_v5_f3,"(0.424, 0.95]",139625,109899,29726,21.290%,20.454%,0.0506,0.0005,0,0.0027,0.0253,1.040868574,1.000011459
train,aft_v5_f4,"(0.0769, 0.308]",139630,117576,22054,15.795%,20.454%,-0.3154,0.0181,0.0572768755,0.0346,0.0773,0.7722025674,0.7722025674
train,aft_v5_f4,"(0.308, 0.33]",139619,113149,26470,18.959%,20.454%,-0.0945,0.0017,0.0756562308,0.0346,0.0773,0.9268981752,0.8495473245
train,aft_v5_f4,"(0.33, 0.349]",139630,111257,28373,20.320%,20.454%,-0.0082,0,0.0773017063,0.0346,0.0773,0.9934571254,0.8975185178
train,aft_v5_f4,"(0.349, 0.373]",139624,107612,32012,22.927%,20.454%,0.1457,0.0044,0.0468992412,0.0346,0.0773,1.120921867,0.9533686551
train,aft_v5_f4,"(0.373, 0.981]",139620,105735,33885,24.269%,20.454%,0.2202,0.0103,0,0.0346,0.0773,1.186540223,1.000001432
train,aft_v5_f5,"(0.0353, 0.148]",139623,114819,24804,17.765%,20.454%,-0.1742,0.0058,0.0330548556,0.0174,0.0509,0.8685350844,0.8685350844
train,aft_v5_f5,"(0.148, 0.169]",139629,112433,27196,19.477%,20.454%,-0.0611,0.0007,0.0450617317,0.0174,0.0509,0.9522522638,0.9103945735
train,aft_v5_f5,"(0.169, 0.188]",139621,111724,27897,19.981%,20.454%,-0.0294,0.0002,0.0508827104,0.0174,0.0509,0.9768533433,0.9325469679
train,aft_v5_f5,"(0.188, 0.214]",139623,110699,28924,20.716%,20.454%,0.016,0.0001,0.0476657475,0.0174,0.0509,1.012800709,0.9526102594
train,aft_v5_f5,"(0.214, 0.797]",139624,105651,33973,24.332%,20.454%,0.2236,0.0107,0,0.0174,0.0509,1.189587611,1.00000573
train,aft_v5_f6,"(0.0325, 0.155]",139621,115313,24308,17.410%,20.454%,-0.1987,0.0074,0.0374179584,0.02,0.0561,0.8511793766,0.8511793766
train,aft_v5_f6,"(0.155, 0.183]",139632,112883,26749,19.157%,20.454%,-0.0817,0.0013,0.053365553,0.02,0.0561,0.9365806936,0.8938817171
train,aft_v5_f6,"(0.183, 0.209]",139623,111377,28246,20.230%,20.454%,-0.0138,0,0.0561175932,0.02,0.0561,0.9890599095,0.925607251
train,aft_v5_f6,"(0.209, 0.245]",139620,110166,29454,21.096%,20.454%,0.039,0.0003,0.0482291932,0.02,0.0561,1.031381312,0.9520500086
train,aft_v5_f6,"(0.245, 0.745]",139624,105587,34037,24.378%,20.454%,0.2261,0.0109,0,0.02,0.0561,1.191828614,1.00000573
train,aft_v5_f7,"(0.0226, 0.148]",139623,113514,26109,18.700%,20.454%,-0.1115,0.0024,0.0215658451,0.0068,0.0384,0.9142308708,0.9142308708
train,aft_v5_f7,"(0.148, 0.173]",139627,112258,27369,19.602%,20.454%,-0.0532,0.0006,0.0320460555,0.0068,0.0384,0.9583234858,0.9362774941
train,aft_v5_f7,"(0.173, 0.196]",139624,111791,27833,19.934%,20.454%,-0.0323,0.0002,0.0384358822,0.0068,0.0384,0.974591351,0.9490487188
train,aft_v5_f7,"(0.196, 0.225]",139624,109190,30434,21.797%,20.454%,0.0806,0.0013,0.0219269225,0.0068,0.0384,1.065667128,0.9782032167
train,aft_v5_f7,"(0.225, 0.736]",139622,108573,31049,22.238%,20.454%,0.1063,0.0023,0,0.0068,0.0384,1.087217343,1.00000573
train,aft_v5_f8,"(0.0253, 0.147]",139623,113900,25723,18.423%,20.454%,-0.1298,0.0032,0.0249641271,0.0095,0.0442,0.9007147225,0.9007147225
train,aft_v5_f8,"(0.147, 0.171]",139627,112621,27006,19.342%,20.454%,-0.0698,0.001,0.0386401312,0.0095,0.0442,0.945613068,0.9231642168
train,aft_v5_f8,"(0.171, 0.192]",139620,111693,27927,20.002%,20.454%,-0.028,0.0002,0.044195194,0.0095,0.0442,0.9779108402,0.9414126556
train,aft_v5_f8,"(0.192, 0.217]",139625,109351,30274,21.682%,20.454%,0.0739,0.0011,0.0290966494,0.0095,0.0442,1.060057027,0.9710740141
train,aft_v5_f8,"(0.217, 0.709]",139625,107761,31864,22.821%,20.454%,0.1397,0.0041,0,0.0095,0.0442,1.115731556,1.00000573
train,aft_v5_f9,"(0.0228, 0.171]",139626,113424,26202,18.766%,20.454%,-0.1071,0.0022,0.0207524903,0.0061,0.0307,0.917467639,0.917467639
train,aft_v5_f9,"(0.171, 0.197]",139623,111312,28311,20.277%,20.454%,-0.0109,0,0.0229322809,0.0061,0.0307,0.9913359448,0.9544013952
train,aft_v5_f9,"(0.197, 0.221]",139622,111941,27681,19.826%,20.454%,-0.0391,0.0003,0.0306566897,0.0061,0.0307,0.9692828522,0.9593618216
train,aft_v5_f9,"(0.221, 0.253]",139625,110629,28996,20.767%,20.454%,0.0191,0.0001,0.0268094518,0.0061,0.0307,1.015307312,0.9733482944
train,aft_v5_f9,"(0.253, 0.731]",139624,108020,31604,22.635%,20.454%,0.1291,0.0035,0,0.0061,0.0307,1.106635471,1.00000573
train,aft_v5_f10,"(0.0204, 0.133]",139621,113901,25720,18.421%,20.454%,-0.1299,0.0032,0.0249869372,0.0114,0.0402,0.9006225755,0.9006225755
train,aft_v5_f10,"(0.133, 0.158]",139632,111940,27692,19.832%,20.454%,-0.0387,0.0003,0.0326325111,0.0114,0.0402,0.9695985856,0.9351119391
train,aft_v5_f10,"(0.158, 0.178]",139617,111641,27976,20.038%,20.454%,-0.0258,0.0001,0.0377507835,0.0114,0.0402,0.9796477071,0.9499565217
train,aft_v5_f10,"(0.178, 0.203]",139627,111347,28280,20.254%,20.454%,-0.0123,0,0.0402106962,0.0114,0.0402,0.9902220826,0.9600231102
train,aft_v5_f10,"(0.203, 0.735]",139623,106497,33126,23.725%,20.454%,0.1904,0.0077,0,0.0114,0.0402,1.159937639,1.00000573
train,aft_v5_f11,"(0.0242, 0.133]",139628,113353,26275,18.818%,20.454%,-0.1037,0.0021,0.0201134115,0.0071,0.0315,0.9200105687,0.9200105687
train,aft_v5_f11,"(0.133, 0.157]",139620,111319,28301,20.270%,20.454%,-0.0114,0,0.0223758383,0.0071,0.0315,0.9910070788,0.9555078067
train,aft_v5_f11,"(0.157, 0.177]",139628,111626,28002,20.055%,20.454%,-0.0247,0.0001,0.0272850191,0.0071,0.0315,0.9804809113,0.9638323339
train,aft_v5_f11,"(0.177, 0.2]",139620,111538,28082,20.113%,20.454%,-0.0211,0.0001,0.0314754867,0.0071,0.0315,0.9833384257,0.9687087172
train,aft_v5_f11,"(0.2, 0.716]",139624,107490,32134,23.015%,20.454%,0.1507,0.0047,0,0.0071,0.0315,1.12519378,1.00000573
train,aft_v5_f12,"(0.0534, 0.171]",139624,116258,23366,16.735%,20.454%,-0.2464,0.0113,0.0457154465,0.0214,0.0601,0.8181763197,0.8181763197
train,aft_v5_f12,"(0.171, 0.191]",139632,112700,26932,19.288%,20.454%,-0.0733,0.0011,0.0600508421,0.0214,0.0601,0.9429881954,0.8805840453
train,aft_v5_f12,"(0.191, 0.211]",139619,110538,29081,20.829%,20.454%,0.0229,0.0001,0.0554433981,0.0214,0.0601,1.018327383,0.9264965183
train,aft_v5_f12,"(0.211, 0.24]",139628,109432,30196,21.626%,20.454%,0.0706,0.001,0.0410358906,0.0214,0.0601,1.057303107,0.9591986924
train,aft_v5_f12,"(0.24, 0.791]",139620,106401,33219,23.792%,20.454%,0.1941,0.008,0,0.0214,0.0601,1.163219114,1.000001432
train,aft_v5_f13,"(0.0358, 0.186]",139638,112797,26841,19.222%,20.454%,-0.0775,0.0012,0.0151473485,0.0032,0.0244,0.9397615697,0.9397615697
train,aft_v5_f13,"(0.186, 0.205]",139613,112102,27511,19.705%,20.454%,-0.0467,0.0004,0.0243511128,0.0032,0.0244,0.9633922018,0.951575828
train,aft_v5_f13,"(0.205, 0.223]",139623,109130,30493,21.840%,20.454%,0.0831,0.0014,0.0073198642,0.0032,0.0244,1.0677407,0.9902969899
train,aft_v5_f13,"(0.223, 0.25]",139626,110437,29189,20.905%,20.454%,0.0275,0.0002,0.0017742117,0.0032,0.0244,1.022057969,0.9982372916
train,aft_v5_f13,"(0.25, 0.86]",139623,110863,28760,20.598%,20.454%,0.0088,0,0,0.0032,0.0244,1.007058097,1.000001432
train,aft_v5_f14,"(0.0843, 0.177]",139643,118108,21535,15.421%,20.454%,-0.3438,0.0213,0.0618694726,0.041,0.0806,0.7539600156,0.7539600156
train,aft_v5_f14,"(0.177, 0.187]",139608,113180,26428,18.930%,20.454%,-0.0964,0.0018,0.0805987808,0.041,0.0806,0.9255003804,0.839719448
train,aft_v5_f14,"(0.187, 0.196]",139631,110725,28906,20.702%,20.454%,0.0152,0,0.0775536158,0.041,0.0806,1.012112431,0.8971852847
train,aft_v5_f14,"(0.196, 0.209]",139625,108988,30637,21.942%,20.454%,0.0891,0.0016,0.0592582172,0.041,0.0806,1.072767627,0.9410803202
train,aft_v5_f14,"(0.209, 0.352]",139616,104328,35288,25.275%,20.454%,0.2742,0.0162,0,0.041,0.0806,1.235704028,1.000001432
train,aft_v5_f15,"(0.0, 0.237]",139615,114775,24840,17.792%,20.454%,-0.1724,0.0056,0.0327252706,0.0158,0.0523,0.8698454975,0.8698515892
train,aft_v5_f15,"(0.237, 0.261]",139622,113116,26506,18.984%,20.454%,-0.0929,0.0017,0.0507958252,0.0158,0.0523,0.9281388418,0.8989991961
train,aft_v5_f15,"(0.261, 0.282]",139628,111235,28393,20.335%,20.454%,-0.0074,0,0.0522641979,0.0158,0.0523,0.994171649,0.930727107
train,aft_v5_f15,"(0.282, 0.309]",139621,109719,29902,21.417%,20.454%,0.0581,0.0007,0.0404348583,0.0158,0.0523,1.047061285,0.9598123805
train,aft_v5_f15,"(0.309, 0.947]",139625,106473,33152,23.744%,20.454%,0.1914,0.0077,0,0.0158,0.0523,1.160831425,1.000018622
train,aft_v5_f16,"(0.0775, 0.184]",139627,117296,22331,15.993%,20.454%,-0.3006,0.0165,0.0548328124,0.0304,0.0705,0.781918293,0.781918293
train,aft_v5_f16,"(0.184, 0.204]",139622,112848,26774,19.176%,20.454%,-0.0805,0.0013,0.0705412058,0.0304,0.0705,0.9375231778,0.8597193423
train,aft_v5_f16,"(0.204, 0.223]",139633,110770,28863,20.671%,20.454%,0.0133,0,0.0678782069,0.0304,0.0705,1.010592357,0.9100123883
train,aft_v5_f16,"(0.223, 0.25]",139618,108771,30847,22.094%,20.454%,0.098,0.002,0.047721399,0.0304,0.0705,1.080175021,0.9525509137
train,aft_v5_f16,"(0.25, 0.561]",139623,105644,33979,24.336%,20.454%,0.2238,0.0107,0,0.0304,0.0705,1.189806226,1.000001432
train,aft_v5_f17,"(0.0378, 0.173]",139628,115642,23986,17.179%,20.454%,-0.2149,0.0087,0.040264275,0.0169,0.0529,0.8398619791,0.8398619791
train,aft_v5_f17,"(0.173, 0.2]",139626,112503,27123,19.425%,20.454%,-0.0644,0.0008,0.0529073347,0.0169,0.0529,0.949716616,0.8947889042
train,aft_v5_f17,"(0.2, 0.228]",139620,110777,28843,20.658%,20.454%,0.0125,0,0.0503970029,0.0169,0.0529,1.00998612,0.9331866926
train,aft_v5_f17,"(0.228, 0.268]",139625,109570,30055,21.526%,20.454%,0.0646,0.0009,0.0372254332,0.0169,0.0529,1.052388649,0.9629872351
train,aft_v5_f17,"(0.268, 0.911]",139624,106837,32787,23.482%,20.454%,0.1769,0.0066,0,0.0169,0.0529,1.148059017,1.000001432
train,aft_v5_f18,"(0.0494, 0.184]",139627,115202,24425,17.493%,20.454%,-0.1929,0.007,0.036397593,0.0116,0.0479,0.8552395462,0.8552395462
train,aft_v5_f18,"(0.184, 0.206]",139625,112369,27256,19.521%,20.454%,-0.0584,0.0007,0.0478679426,0.0116,0.0479,0.9543804697,0.904809653
train,aft_v5_f18,"(0.206, 0.227]",139621,108830,30791,22.053%,20.454%,0.0956,0.0019,0.0282095513,0.0116,0.0479,1.078190891,0.9626020193
train,aft_v5_f18,"(0.227, 0.259]",139626,109852,29774,21.324%,20.454%,0.0527,0.0006,0.0175136585,0.0116,0.0479,1.042541847,0.9825871552
train,aft_v5_f18,"(0.259, 0.882]",139624,109076,30548,21.879%,20.454%,0.0854,0.0015,0,0.0116,0.0479,1.069658915,1.000001432
train,aft_v5_f19,"(0.0201, 0.142]",139626,113571,26055,18.661%,20.454%,-0.1141,0.0025,0.0220455498,0.0058,0.0341,0.9123204082,0.9123204082
train,aft_v5_f19,"(0.142, 0.174]",139631,112445,27186,19.470%,20.454%,-0.0616,0.0007,0.034142972,0.0058,0.0341,0.9518884851,0.9321048008
train,aft_v5_f19,"(0.174, 0.203]",139616,108696,30920,22.146%,20.454%,0.101,0.0021,0.0133398829,0.0058,0.0341,1.082746785,0.9823157987
train,aft_v5_f19,"(0.203, 0.245]",139626,110130,29496,21.125%,20.454%,0.0408,0.0003,0.0050914548,0.0058,0.0341,1.032807628,0.9949388691
train,aft_v5_f19,"(0.245, 0.875]",139624,110487,29137,20.868%,20.454%,0.0253,0.0001,0,0.0058,0.0341,1.020251794,1.000001432
train,aft_v5_f20,"(0.0494, 0.169]",139629,117013,22616,16.197%,20.454%,-0.2855,0.0149,0.0523273224,0.0266,0.0678,0.7918862038,0.7918862038
train,aft_v5_f20,"(0.169, 0.192]",139623,112819,26804,19.197%,20.454%,-0.0791,0.0012,0.0677734016,0.0266,0.0678,0.938566941,0.8652249966
train,aft_v5_f20,"(0.192, 0.216]",139624,110330,29294,20.981%,20.454%,0.0321,0.0002,0.0612997456,0.0266,0.0678,1.025749256,0.918732572
train,aft_v5_f20,"(0.216, 0.25]",139624,108896,30728,22.008%,20.454%,0.0929,0.0018,0.0422013977,0.0266,0.0678,1.075961737,0.9580395818
train,aft_v5_f20,"(0.25, 0.852]",139623,106271,33352,23.887%,20.454%,0.1993,0.0084,0,0.0266,0.0678,1.167851239,1.000001432
train,aft_v5_f21,"(0.0427, 0.16]",139625,116399,23226,16.635%,20.454%,-0.2536,0.0119,0.0469497834,0.0229,0.0605,0.8132683002,0.8132683002
train,aft_v5_f21,"(0.16, 0.183]",139625,112600,27025,19.355%,20.454%,-0.0689,0.0009,0.0604538177,0.0229,0.0605,0.9462919061,0.8797801032
train,aft_v5_f21,"(0.183, 0.208]",139627,110797,28830,20.648%,20.454%,0.0119,0,0.0580705408,0.0229,0.0605,1.009480291,0.9230139121
train,aft_v5_f21,"(0.208, 0.243]",139621,109431,30190,21.623%,20.454%,0.0704,0.001,0.0437032511,0.0229,0.0605,1.057146017,0.9565460977
train,aft_v5_f21,"(0.243, 0.865]",139625,106102,33523,24.009%,20.454%,0.206,0.009,0,0.0229,0.0605,1.173822149,1.000001432
train,aft_v5_f22,"(0.0417, 0.174]",139625,114934,24691,17.684%,20.454%,-0.1798,0.0061,0.0340521728,0.0127,0.0498,0.8645659003,0.8645659003
train,aft_v5_f22,"(0.174, 0.2]",139626,112851,26775,19.176%,20.454%,-0.0804,0.0013,0.0497589653,0.0127,0.0498,0.9375313348,0.9010487482
train,aft_v5_f22,"(0.2, 0.232]",139625,110623,29002,20.771%,20.454%,0.0194,0.0001,0.0458578283,0.0127,0.0498,1.015517405,0.9392048759
train,aft_v5_f22,"(0.232, 0.284]",139624,108922,30702,21.989%,20.454%,0.0919,0.0017,0.02698838,0.0127,0.0498,1.07505133,0.9731662461
train,aft_v5_f22,"(0.284, 0.94]",139623,107999,31624,22.650%,20.454%,0.13,0.0035,0,0.0127,0.0498,1.107343715,1.000001432
train,aft_v5_f23,"(0.0325, 0.151]",139627,114129,25498,18.262%,20.454%,-0.1406,0.0038,0.0269510837,0.0106,0.0416,0.8928105609,0.8928105609
train,aft_v5_f23,"(0.151, 0.17]",139624,112538,27086,19.399%,20.454%,-0.0661,0.0009,0.0399162837,0.0106,0.0416,0.9484346399,0.9206223016
train,aft_v5_f23,"(0.17, 0.187]",139622,111257,28365,20.316%,20.454%,-0.0085,0,0.041617784,0.0106,0.0416,0.9932339186,0.9448257695
train,aft_v5_f23,"(0.187, 0.213]",139626,110256,29370,21.035%,20.454%,0.0353,0.0003,0.0344786383,0.0106,0.0416,1.028395716,0.9657184432
train,aft_v5_f23,"(0.213, 0.779]",139624,107149,32475,23.259%,20.454%,0.1644,0.0057,0,0.0106,0.0416,1.137134126,1.000001432
train,aft_v5_f24,"(0.00552, 0.139]",139623,119909,19714,14.119%,20.454%,-0.4472,0.0348,0.0778656206,0.0669,0.1055,0.6903040096,0.6903040096
train,aft_v5_f24,"(0.139, 0.166]",139625,114206,25419,18.205%,20.454%,-0.1444,0.004,0.1055089758,0.0669,0.1055,0.8900571309,0.7901812856
train,aft_v5_f24,"(0.166, 0.19]",139628,110720,28908,20.704%,20.454%,0.0153,0,0.10244116,0.0669,0.1055,1.012204206,0.8641903393
train,aft_v5_f24,"(0.19, 0.219]",139627,107584,32043,22.949%,20.454%,0.147,0.0045,0.0717715271,0.0669,0.1055,1.121983246,0.9286391429
train,aft_v5_f24,"(0.219, 0.739]",139619,102909,36710,26.293%,20.454%,0.3274,0.0235,0,0.0669,0.1055,1.285471553,1.000002865
train,aft_v5_f25,"(0.0, 0.274]",139627,120028,19599,14.037%,20.454%,-0.4541,0.0358,0.0788852644,0.0713,0.1074,0.6862575176,0.6862575176
train,aft_v5_f25,"(0.274, 0.303]",139622,114304,25318,18.133%,20.454%,-0.1492,0.0043,0.1074124044,0.0713,0.1074,0.8865396211,0.7863967763
train,aft_v5_f25,"(0.303, 0.326]",139626,110928,28698,20.553%,20.454%,0.0061,0,0.1061897921,0.0713,0.1074,1.004865518,0.8592202118
train,aft_v5_f25,"(0.326, 0.353]",139622,107811,31811,22.784%,20.454%,0.1376,0.0039,0.0775536448,0.0713,0.1074,1.113899672,0.9228890507
train,aft_v5_f25,"(0.353, 0.832]",139625,102257,37368,26.763%,20.454%,0.3515,0.0273,0,0.0713,0.1074,1.308456464,1.000002865
train,aft_v5_f26,"(0.0122, 0.157]",139628,120564,19064,13.653%,20.454%,-0.4862,0.0406,0.0835967248,0.0802,0.1154,0.6675197519,0.6675197519
train,aft_v5_f26,"(0.157, 0.179]",139622,114676,24946,17.867%,20.454%,-0.1672,0.0053,0.1153985189,0.0802,0.1154,0.8735136025,0.7705144642
train,aft_v5_f26,"(0.179, 0.197]",139628,110872,28756,20.595%,20.454%,0.0086,0,0.1136685261,0.0802,0.1154,1.006881976,0.8493047633
train,aft_v5_f26,"(0.197, 0.218]",139624,107199,32425,23.223%,20.454%,0.1624,0.0055,0.0796300793,0.0802,0.1154,1.135383342,0.9208236396
train,aft_v5_f26,"(0.218, 0.672]",139621,102018,37603,26.932%,20.454%,0.3601,0.0287,0,0.0802,0.1154,1.316722811,1.000001432
train,aft_v5_f27,"(0.0319, 0.155]",139630,119180,20450,14.646%,20.454%,-0.4045,0.0289,0.0713986048,0.056,0.0964,0.7160398342,0.7160398342
train,aft_v5_f27,"(0.155, 0.176]",139619,113898,25721,18.422%,20.454%,-0.1298,0.0032,0.0963723979,0.056,0.0964,0.9006704936,0.8083515274
train,aft_v5_f27,"(0.176, 0.193]",139625,110922,28703,20.557%,20.454%,0.0063,0,0.0951039656,0.056,0.0964,1.005047792,0.8739171055
train,aft_v5_f27,"(0.193, 0.212]",139625,107672,31953,22.885%,20.454%,0.1433,0.0043,0.0652230763,0.056,0.0964,1.118847929,0.935149921
train,aft_v5_f27,"(0.212, 0.545]",139623,103656,35967,25.760%,20.454%,0.2997,0.0195,0,0.056,0.0964,1.259417892,1.000002865
train,aft_v5_f28,"(0.0734, 0.176]",139631,119678,19953,14.290%,20.454%,-0.4333,0.0328,0.0757755224,0.0745,0.1126,0.6986327868,0.6986327868
train,aft_v5_f28,"(0.176, 0.191]",139618,114950,24668,17.668%,20.454%,-0.1808,0.0062,0.1100175782,0.0745,0.1126,0.8638038516,0.7812144746
train,aft_v5_f28,"(0.191, 0.202]",139625,111354,28271,20.248%,20.454%,-0.0127,0,0.1125520407,0.0745,0.1126,0.9899211278,0.8507835251
train,aft_v5_f28,"(0.202, 0.215]",139630,107780,31850,22.810%,20.454%,0.1391,0.004,0.0835866003,0.0745,0.1126,1.115201404,0.9168898886
train,aft_v5_f28,"(0.215, 0.471]",139619,101567,38052,27.254%,20.454%,0.3764,0.0315,0,0.0745,0.1126,1.332464275,1.000001432
train,aft_v5_f29,"(0.022, 0.168]",139624,116531,23093,16.539%,20.454%,-0.2605,0.0125,0.048118892,0.0254,0.0644,0.8086170398,0.8086170398
train,aft_v5_f29,"(0.168, 0.186]",139629,112922,26707,19.127%,20.454%,-0.0836,0.0014,0.0644297471,0.0254,0.0644,0.9351302107,0.8718747578
train,aft_v5_f29,"(0.186, 0.202]",139628,110738,28890,20.691%,20.454%,0.0145,0,0.0615200412,0.0254,0.0644,1.011573942,0.9184414861
train,aft_v5_f29,"(0.202, 0.221]",139617,109440,30177,21.614%,20.454%,0.0699,0.001,0.0472599983,0.0254,0.0644,1.056721077,0.953009527
train,aft_v5_f29,"(0.221, 0.745]",139625,105698,33927,24.299%,20.454%,0.2218,0.0105,0,0.0254,0.0644,1.187968381,1.000001432
train,aft_v5_f30,"(0.0103, 0.165]",139626,118598,21028,15.060%,20.454%,-0.3717,0.0246,0.0663024018,0.0382,0.0793,0.7362991189,0.7362991189
train,aft_v5_f30,"(0.165, 0.187]",139632,112546,27086,19.398%,20.454%,-0.0662,0.0009,0.0792820076,0.0382,0.0793,0.9483803008,0.8423419882
train,aft_v5_f30,"(0.187, 0.206]",139621,110268,29353,21.023%,20.454%,0.0346,0.0002,0.0722835234,0.0382,0.0793,1.027837265,0.9041713854
train,aft_v5_f30,"(0.206, 0.222]",214209,163969,50240,23.454%,20.454%,0.1753,0.0099,0.015712621,0.0382,0.0793,1.146659638,0.9862186935
train,aft_v5_f30,"(0.222, 0.65]",65035,49948,15087,23.198%,20.454%,0.161,0.0025,0,0.0382,0.0793,1.13417052,1.000001432
train,aft_v5_f31,"(0.0325, 0.15]",139623,120434,19189,13.743%,20.454%,-0.4786,0.0395,0.0824876329,0.0758,0.1105,0.6719206473,0.6719206473
train,aft_v5_f31,"(0.15, 0.171]",139633,114256,25377,18.174%,20.454%,-0.1464,0.0041,0.110515155,0.0758,0.1105,0.8885355731,0.7802319886
train,aft_v5_f31,"(0.171, 0.19]",139625,110963,28662,20.528%,20.454%,0.0045,0,0.1096076799,0.0758,0.1105,1.00361216,0.8546909791
train,aft_v5_f31,"(0.19, 0.213]",139616,107422,32194,23.059%,20.454%,0.1532,0.0049,0.0775888601,0.0758,0.1105,1.127359314,0.9228540351
train,aft_v5_f31,"(0.213, 0.694]",139625,102253,37372,26.766%,20.454%,0.3516,0.0273,0,0.0758,0.1105,1.308596526,1.000002865
train,aft_v5_f32,"(0.0233, 0.123]",139628,120319,19309,13.829%,20.454%,-0.4714,0.0384,0.0814397865,0.0794,0.1139,0.6760983471,0.6760983471
train,aft_v5_f32,"(0.123, 0.154]",139625,114644,24981,17.891%,20.454%,-0.1656,0.0052,0.1129388487,0.0794,0.1139,0.874720374,0.7754082937
train,aft_v5_f32,"(0.154, 0.182]",139621,111171,28450,20.377%,20.454%,-0.0048,0,0.1138902228,0.0794,0.1139,0.996217429,0.8490094059
train,aft_v5_f32,"(0.182, 0.217]",139627,107593,32034,22.943%,20.454%,0.1466,0.0045,0.0832994755,0.0794,0.1139,1.121668112,0.9171749366
train,aft_v5_f32,"(0.217, 0.743]",139622,101602,38020,27.231%,20.454%,0.3752,0.0313,0,0.0794,0.1139,1.331315127,1.000001432
train,aft_v5_f33,"(0.0326, 0.153]",139626,120060,19566,14.013%,20.454%,-0.456,0.0361,0.0791739901,0.0693,0.1078,0.6851069317,0.6851069317
train,aft_v5_f33,"(0.153, 0.174]",139630,114317,25313,18.129%,20.454%,-0.1495,0.0043,0.1077595553,0.0693,0.1078,0.8863137566,0.7857117852
train,aft_v5_f33,"(0.174, 0.193]",139617,110590,29027,20.790%,20.454%,0.0206,0.0001,0.1036242752,0.0693,0.1078,1.016451029,0.8626208269
train,aft_v5_f33,"(0.193, 0.216]",139629,107607,32022,22.934%,20.454%,0.1461,0.0045,0.0731431243,0.0693,0.1078,1.121231872,0.9272752089
train,aft_v5_f33,"(0.216, 0.682]",139620,102754,36866,26.405%,20.454%,0.3331,0.0244,0,0.0693,0.1078,1.290924948,1.000002865
